date, balance_flow [cfs]
61011360,289.720753333,
61011420,298.709753334,
61011480,313.6970975,
61011540,262.051425416,
61011600,346.421580324,
61011660,192.005487963,
61011720,13.1650111111,
61011780,97.2219368518,
61011840,82.0012791668,
61011900,147.096246666,
61011960,236.9359025,
61012020,379.891983751,
61012080,337.318327917,
61012140,328.351655833,
61012200,49.1686070834,
61012260,176.585262917,
61012320,287.308065,
61012380,362.84182125,
61012440,655.585444583,
61012500,413.7740325,
61012560,414.708048751,
61012620,368.195720833,
61012680,323.964720833,
61012740,428.484785833,
61012800,359.817785834,
61012860,239.597785833,
61012920,376.140457917,
61012980,300.258457917,
61013040,396.801655417,
61013100,284.436981481,
61013160,-245.863499074,
61013220,446.949510185,
61013280,439.11751574,
61013340,413.254147917,
61013400,192.816279167,
61013460,-34.6313441668,
61013520,63.8979837506,
61013580,216.252311666,
61013640,-34.841,
61013700,171.103639583,
61013760,144.473574584,
61013820,-116.900243751,
61013880,537.50672375,
61013940,131.052474167,
61014000,819.984425417,
61014060,337.94917875,
61014120,654.733802083,
61014180,352.938522916,
61014240,572.232524167,
61014300,397.076983334,
61014360,232.403983333,
61014420,287.92548426,
61014480,294.202487963,
61014540,282.474491666,
61014600,242.146491667,
61014660,433.571996296,
61014720,420.216996297,
61014780,537.262497222,
61014840,431.840497222,
61014900,280.393495371,
61014960,407.228994445,
61015020,398.064990741,
61015080,689.593987037,
61015140,161.061979629,
61015200,-50.1330148146,
61015260,-689.023933334,
61015320,118.917081481,
61015380,858.276005556,
61015440,905.823003703,
61015500,556.232495371,
61015560,475.425988889,
61015620,290.752475,
61015680,648.470981481,
61015740,185.476974074,
61015800,434.574480555,
61015860,655.506970371,
61015920,688.270469444,
61015980,336.962467592,
61016040,109.327992593,
61016100,240.736037037,
61016160,496.086513889,
61016220,495.392512037,
61016280,195.851007408,
61016340,280.628504629,
61016400,215.161487963,
61016460,128.153988889,
61016520,406.403987037,
61016580,509.292972222,
61016640,-9.32901481456,
61016700,-926.164421296,
61016760,287.120608333,
61016820,1476.59779347,
61016880,543.201225046,
61016940,395.262467592,
61017000,400.530493519,
61017060,546.70248611,
61017120,807.063489816,
61017180,255.451480555,
61017240,435.611981481,
61017300,540.321983334,
61017360,544.354988889,
61017420,874.894497222,
61017480,486.925500926,
61017540,683.145530555,
61017600,986.170502778,
61017660,1033.5180037,
61017720,630.64449537,
61017780,567.533994445,
61017840,721.098994445,
61017900,248.709987036,
61017960,513.010987037,
61018020,414.96197963,
61018080,345.915983333,
61018140,-213.597966667,
61018200,325.78155463,
61018260,591.661031481,
61018320,476.629500926,
61018380,464.288482408,
61018440,626.980998148,
