date, balance_flow [cfs]
62589600,-125.424944444,
62589660,-35.2981555552,
62589720,150.621422222,
62589780,-34.2981555552,
62589840,148.790422222,
62589900,-33.4651555573,
62589960,-194.013155555,
62590020,65.6817333328,
62590080,-43.1180555539,
62590140,-197.200844445,
62590200,135.939099999,
62590260,-37.1266333336,
62590320,-10.1476333336,
62590380,-27.6142666651,
62590440,-87.0586888896,
62590500,68.907944444,
62590560,-195.4,
62590620,131.266211111,
62590680,-25.2801555552,
62590740,154.828155555,
62590800,222.258322223,
62590860,202.621422222,
62590920,-33.2981555573,
62590980,-34.2981555552,
62591040,-34.2981555552,
62591100,57.6616333336,
62591160,57.6616333336,
62591220,58.6616333336,
62591280,-34.2981555552,
62591340,-59.3913666685,
62591400,-111.701744443,
62591460,130.289577778,
62591520,74.5237888888,
62591580,-89.147055556,
62591640,141.527577778,
62591700,94.5567888888,
62591760,-111.795888888,
62591820,214.86268889,
62591880,33.9431111099,
62591940,-54.1276777769,
62592000,44.8941111099,
62592060,43.2841111119,
62592120,29.4730888897,
62592180,-75.333958335,
62592240,58.0916250002,
62592300,56.0916250003,
62592360,-32.5841666664,
62592420,-24.2753749997,
62592480,-60.4184166668,
62592540,-67.6814166668,
62592600,-154.634208333,
62592660,-67.8124166668,
62592720,-133.579416667,
62592780,-47.3318333337,
62592840,-290.385249998,
62592900,38.1139083325,
62592960,-36.1449000008,
62593020,60.1308888901,
62593080,138.493677777,
62593140,108.859677779,
62593200,100.852622221,
62593260,130.403211111,
62593320,332.71,
62593380,57.6616333336,
62593440,-34.2981555552,
62593500,-35.2981555552,
62593560,-34.2981555552,
62593620,149.621422222,
62593680,-35.2981555552,
62593740,56.6616333315,
62593800,-126.257944444,
62593860,57.6616333336,
62593920,149.621422222,
62593980,-34.2981555552,
62594040,57.6616333336,
62594100,57.6616333336,
62594160,57.6616333315,
62594220,-35.2981555552,
62594280,-34.2981555552,
62594340,148.621422222,
62594400,-122.627952777,
62594460,150.041416667,
62594520,-30.4581666663,
62594580,58.6706250002,
62594640,-45.1973750018,
62594700,-93.5524583318,
62594760,-182.738933334,
62594820,-17.371377777,
62594880,76.247622223,
62594940,183.657155555,
62595000,-47.8132111112,
62595060,269.542944444,
62595120,-44.7259555567,
62595180,218.212,
62595240,331.71,
62595300,-33.4651555552,
62595360,-35.2981555552,
62595420,-34.2981555552,
62595480,56.8306333336,
62595540,59.4946333336,
62595600,-34.2981555552,
62595660,55.8306333315,
62595720,56.6616333336,
62595780,-33.4651555552,
62595840,-35.2981555552,
62595900,239.750211111,
62595960,56.6616333336,
62596020,58.4946333336,
62596080,-36.1291555552,
62596140,148.621422222,
62596200,-95.5373666685,
62596260,27.8553111125,
62596320,57.9423111104,
62596380,-264.714788889,
62596440,130.302366666,
62596500,86.3923666664,
62596560,-40.3511666658,
62596620,238.202200001,
62596680,125.096211111,
62596740,241.581211109,
62596800,241.581211111,
62596860,-126.257944444,
62596920,-35.2981555552,
62596980,150.621422222,
62597040,57.6616333336,
62597100,58.6616333336,
62597160,-34.2981555552,
62597220,57.6616333315,
62597280,57.6616333336,
62597340,-180.112155555,
62597400,-162.851688887,
62597460,213.127466666,
62597520,270.985,
62597580,241.581211111,
62597640,57.6616333336,
62597700,-33.2981555552,
62597760,57.6616333336,
62597820,57.6616333315,
62597880,148.621422222,
62597940,-34.2981555552,
62598000,58.6616333336,
62598060,-33.2981555552,
62598120,58.6616333336,
62598180,57.6616333336,
62598240,55.6616333336,
62598300,-34.2981555573,
62598360,57.6616333336,
62598420,57.6616333336,
62598480,55.8306333336,
62598540,-29.8351638886,
62598600,60.4606250002,
62598660,60.2916250003,
62598720,-28.6251666684,
62598780,61.2916250002,
62598840,60.4606250003,
62598900,-29.4581666664,
62598960,63.1246250003,
62599020,61.2916250002,
62599080,57.4106250002,
62599140,-159.704375,
62599200,-417.808291668,
62599260,151.461458334,
62599320,167.053166666,
62599380,96.2683749998,
62599440,147.540622223,
62599500,287.129788889,
62599560,241.581211111,
62599620,-35.2981555573,
62599680,-34.2981555552,
62599740,57.6616333336,
62599800,-35.2981555552,
62599860,58.008627778,
62599920,60.2916250002,
62599980,152.041416667,
62600040,-121.257958333,
62600100,60.2916249982,
62600160,-21.5703749997,
62600220,-65.1234166668,
62600280,-159.667208333,
62600340,-65.0214166668,
62600400,24.4753750018,
62600460,-165.915208333,
62600520,-63.6652500005,
62600580,109.373319444,
62600640,82.8683111125,
62600700,-56.0831666679,
62600760,325.984622223,
62600820,72.9518888881,
62600880,192.986677779,
62600940,-34.6103666685,
62601000,149.720422222,
62601060,239.581211111,
62601120,57.6616333336,
62601180,57.6616333336,
62601240,56.6616333336,
62601300,149.621422222,
62601360,57.6616333336,
62601420,56.6616333336,
62601480,56.8306333336,
62601540,149.45442222,
62601600,57.6616333336,
62601660,-34.2981555552,
62601720,147.790422222,
62601780,56.6616333336,
62601840,57.4946333336,
62601900,147.621422222,
62601960,-37.1291555552,
62602020,150.454422222,
62602080,54.8306333315,
62602140,-146.750366666,
62602200,-209.910744443,
62602260,182.926200001,
62602320,140.036833332,
62602380,218.031,
62602440,332.541,
62602500,-35.2981555552,
62602560,-36.2981555552,
62602620,56.6616333336,
62602680,56.6616333336,
62602740,148.621422222,
62602800,56.6616333315,
62602860,-36.2981555552,
62602920,55.6616333336,
62602980,55.6616333336,
62603040,56.6616333336,
62603100,56.6616333336,
62603160,56.6616333336,
62603220,56.6616333336,
62603280,56.6616333315,
62603340,331.541,
62603400,-311.177522222,
62603460,57.6616333336,
62603520,24.8614166668,
62603580,-220.754316668,
62603640,189.234622223,
62603700,53.8050444454,
62603760,202.943944444,
62603820,71.7094222224,
62603880,148.621422222,
62603940,-35.2981555573,
62604000,-35.2981555552,
62604060,148.621422222,
62604120,55.6616333336,
62604180,-36.2981555552,
62604240,55.6616333336,
62604300,55.6616333336,
62604360,56.6616333336,
62604420,147.62142222,
62604480,56.6616333336,
62604540,-36.1291555552,
62604600,-35.2981555552,
62604660,59.914627778,
62604720,58.2036250002,
62604780,57.9006250002,
62604840,59.2306250002,
62604900,-29.9481666684,
62604960,-54.7563749997,
62605020,-312.912499999,
62605080,277.834005556,
62605140,154.064833332,
62605200,262.017677779,
62605260,41.6613111104,
62605320,61.3634222224,
62605380,241.581211111,
62605440,-35.2981555552,
62605500,56.6616333315,
62605560,-35.2981555552,
62605620,56.6616333336,
62605680,55.6616333336,
62605740,89.6616333336,
62605800,-46.257944444,
62605860,48.7018444448,
62605920,58.7018444427,
62605980,34.7018444448,
62606040,-22.2981555552,
62606100,55.6616333336,
62606160,60.2916250002,
62606220,60.2916250002,
62606280,-150.325166666,
62606340,-218.594716668,
62606400,-0.93416666583,
62606460,105.940366666,
62606520,49.4755777776,
62606580,85.0865777776,
62606640,403.818,
62606700,-185.549533334,
62606760,312.034788891,
62606820,239.581211109,
62606880,56.6616333336,
62606940,-127.257944444,
62607000,55.6616333336,
62607060,148.621422222,
62607120,56.6616333336,
62607180,-127.257944444,
62607240,56.6616333336,
62607300,56.6616333315,
62607360,55.6616333336,
62607420,-36.2981555552,
62607480,149.621422222,
62607540,59.250627778,
62607600,-28.6251666664,
62607660,-31.4961666663,
62607720,59.2426249982,
62607780,56.7886250002,
62607840,-67.6193749997,
62607900,-317.289499999,
62607960,78.0294305541,
62608020,85.8254111118,
62608080,155.132411112,
62608140,171.572944444,
62608200,29.2924222224,
62608260,239.750211111,
62608320,-127.257944444,
62608380,-36.2981555573,
62608440,57.4946333336,
62608500,55.8306333336,
62608560,55.6616333336,
62608620,-35.2981555552,
62608680,56.6616333336,
62608740,56.6616333336,
62608800,-35.2981555552,
62608860,57.6616333315,
62608920,56.6616333336,
62608980,56.6616333336,
62609040,56.6616333336,
62609100,-32.8781611108,
62609160,60.2916250002,
62609220,-57.1173749998,
62609280,-303.748511112,
62609340,89.5184111118,
62609400,5.00783333208,
62609460,204.140366669,
62609520,138.651577778,
62609580,204.693211111,
62609640,332.541,
62609700,-35.2981555573,
62609760,-34.2981555552,
62609820,-35.2981555552,
62609880,147.621422222,
62609940,57.6616333336,
62610000,56.6616333336,
62610060,-35.2981555552,
62610120,149.621422222,
62610180,-35.2981555573,
62610240,148.621422222,
62610300,55.6616333336,
62610360,56.6616333336,
62610420,-33.8781611108,
62610480,241.791208333,
62610540,-30.4581666663,
62610600,60.2916250003,
62610660,-29.4581666684,
62610720,-118.172375,
62610780,-212.669708332,
62610840,78.2674222229,
62610900,174.27441111,
62610960,318.257577778,
62611020,332.71,
62611080,-35.2981555552,
62611140,-34.2981555552,
62611200,57.4946333336,
62611260,55.8306333336,
62611320,148.621422222,
62611380,-35.2981555573,
62611440,56.6616333336,
62611500,56.6616333336,
62611560,149.621422222,
62611620,56.6616333336,
62611680,63.784627778,
62611740,71.6866250002,
62611800,151.041416667,
62611860,-29.4581666663,
62611920,151.041416665,
62611980,60.2916250002,
62612040,152.041416667,
62612100,152.041416667,
62612160,-69.1375833332,
62612220,-128.381916666,
62612280,265.50901111,
62612340,458.392566667,
62612400,247.202200001,
62612460,446.68931111,
62612520,246.204,
62612580,331.541,
62612640,148.621422222,
62612700,239.581211111,
62612760,148.621422222,
62612820,241.581211111,
62612880,149.621422222,
62612940,240.581211111,
62613000,56.6616333336,
62613060,333.541,
62613120,55.6616333336,
62613180,147.621422222,
62613240,240.750211111,
62613300,149.454422222,
62613360,240.581211109,
