date, balance_flow [cfs]
52642080,3154.98726111,
52642140,68.726375,
52642200,-3048.26851111,
52642260,71.1832083333,
52642320,66.543125,
52642380,3254.84384444,
52642440,3254.80176111,
52642500,3299.28767777,
52642560,217.382791667,
52642620,235.490708333,
52642680,685.924427773,
52642740,-2701.74745833,
52642800,2641.20026111,
52642860,1483.67217777,
52642920,-1906.17770833,
52642980,1244.25001111,
52643040,4397.21873055,
52643100,-1876.05395833,
52643160,1249.56876111,
52643220,1290.78767777,
52643280,4447.62839722,
52643340,-4966.55509444,
52643400,1275.29442777,
52643460,1320.26434444,
52643520,-1734.311375,
52643580,-1714.422125,
52643640,7705.9355334,
52643700,1450.05317777,
52643760,1462.56142777,
52643820,-4801.06492777,
52643880,4526.72773055,
52643940,3055.77598055,
52644000,-6490.21017777,
52644060,9224.1900861,
52644120,-2969.147875,
52644180,1293.35717777,
52644240,2187.83442778,
52644300,2192.96167777,
52644360,-4086.03167777,
52644420,8481.40778333,
52644480,-4032.82217778,
52644540,21044.2944944,
52644600,-903.920875,
52644660,-867.575625,
52644720,11577.7748361,
52644780,8470.78928339,
52644840,-5859.64348055,
52644900,3660.78117778,
52644960,3830.16101111,
52645020,3721.90142777,
52645080,3613.15784445,
52645140,367.980458333,
52645200,9654.74428333,
52645260,-2958.35251111,
52645320,2638.76551111,
52645380,6290.68753332,
52645440,2756.76414722,
52645500,-777.160238893,
52645560,1963.35698055,
52645620,1881.95939721,
52645680,-1255.64898889,
52645740,-1415.09157223,
52645800,1545.68564722,
52645860,-5590.23234445,
52645920,-4869.27892777,
52645980,1002.99309444,
52646040,-8593.21789721,
52646100,-8209.24948055,
52646160,-4917.29526111,
52646220,-8469.32864722,
52646280,-1653.982625,
52646340,4697.44939722,
52646400,-7521.39223055,
52646460,-1412.611875,
52646520,-4891.12392777,
52646580,1202.65242777,
52646640,1036.62917778,
52646700,3938.91673055,
52646760,-3334.269125,
52646820,11553.1606389,
52646880,-4128.293625,
52646940,-4474.848875,
52647000,11538.6068889,
52647060,-5220.231375,
52647120,7879.42338887,
52647180,20109.82135,
52647240,6496.61288887,
52647300,3042.0588361,
52647360,-3313.46301938,
52647420,11889.9049417,
52647480,-664.069519453,
52647540,11682.4884417,
52647600,-7362.153625,
52647660,21725.5581528,
52647720,-11586.407125,
52647780,25758.2092583,
52647840,-10837.4918639,
52647900,33249.3820417,
52647960,-1073.37912223,
52648020,17900.4863611,
52648080,-3928.56959167,
52648140,17266.1226945,
52648200,-1292.79445557,
52648260,21068.7080277,
52648320,-9911.79833333,
52648380,5914.86434721,
52648440,6067.10201395,
52648500,9357.34648331,
52648560,-6152.49886389,
52648620,-9114.31,
52648680,-8950.57733333,
52648740,54214.8073889,
52648800,1606.57660555,
52648860,-3615.38633333,
52648920,2829.44193888,
52648980,15507.3288167,
52649040,6273.86007499,
52649100,9130.19854443,
52649160,3027.34121117,
52649220,12494.2582861,
52649280,4578.80712777,
52649340,1605.43015833,
52649400,14248.6402028,
52649460,-1321.17097771,
52649520,5065.0224611,
52649580,5249.25429443,
52649640,7575.18612777,
52649700,-4846.93825,
52649760,9813.69759721,
52649820,7056.78962777,
52649880,4023.75965833,
52649940,4102.72149173,
52650000,-2571.67528056,
52650060,339.405355552,
52650120,16729.3732028,
52650180,7575.81462777,
52650240,1419.41885555,
52650300,-1371.84591667,
52650360,1922.44171944,
52650420,-3650.49925,
52650480,-1958.72841667,
52650540,21164.6258389,
52650600,5616.95765833,
52650660,-1274.98991667,
52650720,9058.22094999,
52650780,9111.90303333,
52650840,2936.15651111,
52650900,6157.36939722,
52650960,2919.97967777,
52651020,-3003.61004167,
52651080,-3160.22595833,
52651140,14884.0559417,
52651200,2505.74281388,
52651260,5721.75270007,
52651320,-3808.348625,
52651380,2758.87006388,
52651440,-3260.90745833,
52651500,63.767625,
52651560,346.018708333,
52651620,19248.9166083,
52651680,542.922875,
52651740,960.572958333,
52651800,1048.74004167,
52651860,13669.9373361,
52651920,1154.53120833,
52651980,10701.0047,
52652040,1417.259375,
52652100,1467.79545833,
52652160,1576.12079167,
52652220,14021.5285861,
52652280,1482.55095833,
52652340,1445.74854167,
52652400,5956.48192778,
52652460,1426.11690555,
52652520,4162.62729167,
52652580,125.814072227,
52652640,3860.69545833,
52652700,3813.97104167,
52652760,6231.290625,
52652820,7473.45820833,
52652880,7498.00279167,
52652940,7521.458375,
52653000,6264.49195833,
52653060,-17521.0438805,
52653120,7521.040125,
52653180,7398.44870833,
52653240,4310.38929167,
52653300,-23963.27135,
52653360,4146.03445833,
52653420,980.663238893,
52653480,4097.597625,
52653540,4069.87020833,
52653600,7186.93088611,
52653660,719.003447227,
52653720,3787.18541667,
52653780,3686.38458333,
52653840,3554.36575,
52653900,3442.31191667,
52653960,9223.66968888,
52654020,-224.48775,
52654080,8970.99882499,
52654140,-518.533416667,
52654200,-633.85425,
52654260,-732.961083333,
52654320,-845.619916667,
52654380,-944.00075,
52654440,-813.086583333,
52654500,1887.26258333,
52654560,2185.27775,
52654620,2101.17491667,
52654680,1966.61508333,
52654740,1859.64325,
52654800,20521.6642333,
52654860,1676.19158333,
52654920,1538.96975,
52654980,1448.09091667,
52655040,1282.80445833,
52655100,1129.141375,
52655160,4037.37609444,
52655220,675.889208333,
52655280,444.302125,
52655340,275.151041667,
52655400,1.69795833333,
52655460,-2873.739125,
52655520,-3890.61620833,
52655580,-3635.05729167,
52655640,30108.3824555,
52655700,-4792.16645833,
52655760,-4963.49554167,
52655820,-4209.779625,
52655880,-1969.82070833,
52655940,856.746208333,
52656000,9907.86574449,
52656060,8831.07685832,
52656120,14990.0713611,
52656180,17048.3842778,
52656240,15833.6557083,
52656300,21165.0121111,
52656360,19199.5025416,
52656420,9187.26599999,
52656480,15417.4299723,
52656540,11957.6975694,
52656600,11739.6686528,
52656660,14755.4782222,
52656720,14516.6373055,
52656780,7702.91341666,
52656840,17236.7359584,
52656900,10474.3160694,
52656960,10246.3651528,
52657020,13273.6697222,
52657080,3180.57377783,
52657140,6392.67540277,
52657200,9376.78297221,
52657260,18979.2125139,
52657320,8942.90313888,
52657380,11926.0427084,
52657440,14970.6502778,
52657500,14710.8763611,
52657560,17689.6599306,
52657620,7619.83355554,
52657680,13873.3536111,
52657740,16607.1196944,
52657800,19840.1242639,
52657860,26103.6873194,
52657920,12440.9845416,
52657980,11479.1067916,
52658040,26851.9494723,
52658100,16038.2742639,
52658160,24897.0969723,
52658220,20643.3007361,
52658280,13101.5790139,
52658340,18704.9042362,
52658400,21016.6739722,
52658460,16543.7467362,
52658520,6059.78901387,
52658580,5084.11726386,
52658640,-2446.47245828,
52658700,6403.27524998,
52658760,8710.68898608,
52658820,4470.44475005,
52658880,13280.5044583,
52658940,15271.6241945,
52659000,11386.0234444,
52659060,10396.4366945,
52659120,12668.3974305,
52659180,11638.2756806,
52659240,13852.2774166,
52659300,20280.9286111,
52659360,26319.2434583,
52659420,19987.0269861,
52659480,40406.2774028,
52659540,44454.5073889,
52659600,25599.4259722,
52659660,26435.3554722,
52659720,40500.4269167,
52659780,59955.9273611,
52659840,50360.8324028,
52659900,32811.3409861,
52659960,56582.7678889,
52660020,50858.6974167,
52660080,35328.9304861,
52660140,26275.9155278,
52660200,46472.9114861,
52660260,22695.6710695,
52660320,22285.5651111,
52660380,26946.0550973,
52660440,43408.6205416,
52660500,18027.5401528,
52660560,33130.9201111,
52660620,27529.0596389,
52660680,28369.5871389,
52660740,25879.8391528,
52660800,19787.2150139,
52660860,30053.2816389,
52660920,17197.6318612,
52660980,17427.2550278,
52661040,20939.4796805,
52661100,17924.8583611,
52661160,21441.5600139,
52661220,558.876208328,
52661280,16075.0268612,
52661340,12329.3235417,
52661400,9348.82422222,
52661460,12733.030875,
52661520,16034.3600417,
52661580,6928.25826389,
52661640,11475.5169167,
52661700,11941.4530833,
52661760,5438.89327778,
52661820,12356.1714167,
52661880,15883.0370694,
52661940,-243.961194433,
52662000,9800.55443056,
52662060,9949.83359722,
52662120,10162.2747639,
52662180,13375.2664167,
52662240,7477.76144445,
52662300,10922.2147639,
52662360,7878.42111112,
52662420,1547.66997216,
52662480,14842.58975,
52662540,8526.96361112,
52662600,11998.2789306,
52662660,2369.67279167,
52662720,11096.6080833,
52662780,11204.6149167,
52662840,8218.53826389,
52662900,8479.85209723,
52662960,11929.6294167,
52663020,8847.23676389,
52663080,9068.62059722,
52663140,6994.64194446,
52663200,7412.41629167,
52663260,14324.9640972,
52663320,14461.5269306,
52663380,8093.14479168,
52663440,11605.963111,
52663500,8463.55445834,
52663560,8697.28029168,
52663620,8914.79212501,
52663680,15611.4073056,
52663740,2576.04494446,
52663800,19033.2759583,
52663860,6011.22359723,
52663920,9356.07766667,
52663980,15983.4122222,
52664040,-286.756625056,
52664100,9596.31741667,
52664160,9715.68200001,
52664220,3245.88561113,
52664280,6589.16668057,
52664340,9929.30175001,
52664400,185.494874944,
52664460,3528.41294446,
52664520,6855.4800139,
52664580,393.064625017,
52664640,7025.96518057,
52664700,7116.41076383,
52664760,559.373375017,
52664820,4006.10944446,
52664880,6767.25200001,
52664940,2837.48009723,
52665000,6163.33716667,
52665060,2992.23526383,
52665120,-150.789805539,
52665180,6516.96841667,
52665240,3368.01918057,
52665300,11314.9894028,
52665360,18101.3351389,
52665420,7098.78244446,
52665480,9895.76569438,
52665540,6787.23045835,
52665600,6920.51970836,
52665660,7134.75795835,
52665720,10582.1086945,
52665780,7322.44445828,
52665840,9637.10668057,
52665900,9776.44593057,
52665960,70.4007222391,
52666020,3461.12345828,
52666080,6864.43019446,
52666140,-6024.39149997,
52666200,10495.8901806,
52666260,4046.18945828,
52666320,4215.29470835,
52666380,7614.12444446,
52666440,4459.48820836,
52666500,4712.80945835,
52666560,4670.84916661,
52666620,7673.92581946,
52666680,-342.679472194,
52666740,2549.32669439,
52666800,2551.36886113,
52666860,-874.390458305,
52666920,9136.74916668,
52666980,-818.760125051,
52667040,5690.88901391,
52667100,5671.39318058,
52667160,-908.465625051,
52667220,8780.20900002,
52667280,2308.76619447,
52667340,-863.619125051,
52667400,2244.7275278,
52667460,5402.32118058,
52667520,2230.17786106,
52667580,5476.22251391,
52667640,2162.38819447,
52667700,2137.93136113,
52667760,8668.39249994,
52667820,2082.96769447,
52667880,2091.54386113,
52667940,8609.17899994,
52668000,8306.41354168,
52668060,-2466.95951387,
52668120,825.652888911,
52668180,4033.92829161,
52668240,780.455722239,
52668300,4047.41612502,
52668360,-9104.92290282,
52668420,-2446.21901387,
52668480,859.098388911,
52668540,13842.33625,
52668600,10662.9156806,
52668660,-2515.80134727,
52668720,14088.233,
52668780,13877.6609167,
52668840,-2398.2855972,
52668900,10681.9942638,
52668960,4131.52120835,
52669020,924.875638911,
52669080,7485.20652779,
52669140,927.352472172,
52669200,4214.39887502,
52669260,10206.74825,
52669320,-3531.47277776,
52669380,6253.74259723,
52669440,-3677.01652783,
52669500,12434.1096528,
52669560,12184.0164028,
52669620,2137.05969446,
52669680,-673.862527755,
52669740,9394.90168057,
52669800,2587.34945828,
52669860,-935.423277755,
52669920,-1191.20352776,
52669980,8364.88368057,
52670040,-1816.98802783,
52670100,4558.50069446,
52670160,4297.51744446,
52670220,-2518.50477776,
52670280,515.092458277,
52670340,322.95820835,
52670400,110.737958356,
52670460,-171.90429165,
52670520,-3737.87402783,
52670580,-744.08579165,
52670640,-4281.49952776,
52670700,-1277.06329165,
52670760,-1514.69354172,
52670820,-6086.30179165,
52670880,-9791.03377776,
52670940,-6656.71504165,
52671000,-236.769819433,
52671060,-3649.50405561,
52671120,6045.66165278,
52671180,9179.25438889,
52671240,-4054.90630554,
52671300,-908.487569433,
52671360,2214.33616668,
52671420,-1194.40506943,
52671480,1947.7786666,
52671540,18182.1323473,
52671600,4959.10365271,
52671660,-20167.6855833,
52671720,12045.701125,
52671780,5727.65091667,
52671840,35120.2405416,
52671900,5543.97841668,
52671960,15225.955125,
52672020,33600.9122917,
52672080,20452.4120833,
52672140,42501.2772222,
52672200,22092.4365555,
52672260,12161.5683472,
52672320,28542.5394028,
52672380,15589.2714583,
52672440,22335.7264305,
52672500,21030.6219444,
52672560,7601.10551389,
52672620,17605.8409722,
52672680,14392.3244861,
52672740,4781.67402778,
52672800,17665.9599722,
52672860,13607.0164861,
52672920,4863.33102778,
52672980,18631.8849722,
52673040,9007.80351389,
52673100,9190.50751389,
52673160,12633.307,
52673220,9527.35951389,
52673280,9734.14251389,
52673340,13231.876,
52673400,10147.8295139,
52673460,10280.5605139,
52673520,10424.9075139,
52673580,7314.60402778,
52673640,10777.0055139,
52673700,4441.81754167,
52673760,7906.55990278,
52673820,14547.344625,
52673880,4786.85891668,
52673940,8179.76915271,
52674000,4995.37641667,
52674060,18200.2751111,
52674120,13331.925375,
52674180,1722.55966667,
52674240,7084.38190278,
52674300,5413.33616668,
52674360,12113.0478889,
52674420,8891.38715279,
52674480,5792.17841667,
52674540,8683.06716668,
52674600,3988.60194446,
52674660,10778.5796666,
52674720,7804.96893057,
52674780,4624.81119446,
52674840,1465.22345836,
52674900,8085.19618057,
52674960,14747.6399028,
52675020,4887.81319438,
52675080,5147.43594446,
52675140,1906.77820835,
52675200,1831.63987502,
52675260,1683.34245828,
52675320,1472.00404168,
52675380,629.892625023,
52675440,4012.11818057,
52675500,6463.6267639,
52675560,12965.4743195,
52675620,13388.7809027,
52675680,268.466541684,
52675740,16238.1785556,
52675800,-3516.67177776,
52675860,9342.25875001,
52675920,-3947.45561109,
52675980,2376.27994439,
52676040,2582.27804168,
52676100,-37.6788610886,
52676160,-3513.95276394,
52676220,-3739.93218053,
52676280,-252.793061092,
52676340,3276.45405835,
52676400,6020.29144439,
