date, balance_flow [cfs]
62064000,-1597.25041463,
62064060,-2072.97783813,
62064120,860.674606798,
62064180,2129.28106947,
62064240,-289.0,
62064300,-764.727423503,
62064360,-1597.25041463,
62064420,345.303231337,
62064480,2168.92502143,
62064540,-923.303231337,
62064600,-2112.62179009,
62064660,-289.0,
62064720,1534.62179009,
62064780,2129.28106947,
62064840,-1438.6746068,
62064900,-289.0,
62064960,-289.0,
62065020,969.293606798,
62065080,908.564768663,
62065140,-157.913838135,
62065200,-828.52702143,
62065260,1540.216,
62065320,-1332.2486068,
62065380,-923.303231337,
62065440,833.674606798,
62065500,-1465.6746068,
62065560,833.674606798,
62065620,-831.371375461,
62065680,-316.0,
62065740,-316.0,
62065800,199.371375461,
62065860,1626.55364597,
62065920,-316.0,
62065980,-989.947183295,
62066040,-316.0,
62066100,833.674606798,
62066160,357.947183295,
62066220,-316.0,
62066280,-1355.6206068,
62066340,842.991816705,
62066400,330.690537326,
62066460,-184.564838135,
62066520,-853.18102143,
62066580,-809.889069472,
62066640,2237.39723134,
62066700,-837.928069472,
62066760,364.535816705,
62066820,457.088183295,
62066880,-2090.13883813,
62066940,1424.72083813,
62067000,1969.28106947,
62067060,-3541.22825277,
62067120,-1083.30323134,
62067180,2643.22825277,
62067240,-449.0,
62067300,-449.0,
62067360,-1122.9471833,
62067420,1533.19759793,
62067480,26.7274235026,
62067540,-449.0,
62067600,-924.727423503,
62067660,-1755.88041463,
62067720,1036.52341463,
62067780,1389.593,
62067840,-2295.04243606,
62067900,351.790345161,
62067960,165.651585368,
62068020,2772.96841463,
62068080,-513.540597928,
62068140,-402.894838135,
62068200,-1401.09965484,
62068260,-281.342,
62068320,548.641069472,
62068380,-721.325393202,
62068440,-4963.22825277,
62068500,-1236.69676866,
62068560,-87.0221618652,
62068620,-1197.0528167,
62068680,-1871.0,
62068740,-3020.6746068,
62068800,-2505.30323134,
62068860,547.281069472,
62068920,-721.325393202,
62068980,-1871.0,
62069040,-1236.69676866,
62069100,-2505.30323134,
62069160,-1127.96476866,
62069220,636.561183295,
62069280,-3045.90025277,
62069340,-3522.79367627,
62069400,-628.713183295,
62069460,-588.857231337,
62069520,-1100.3856068,
62069580,-2458.34306947,
62069640,-1565.993,
62069700,-1264.6125765,
62069760,499.172414632,
62069820,-1055.727,
62069880,438.372606798,
62069940,-891.131,
62070000,21.2652313368,
62070060,834.501838135,
62070120,1115.46264597,
62070180,777.192838135,
62070240,62.674606798,
62070300,-1181.3074235,
62070360,1843.71949297,
62070420,5582.46250553,
62070480,1821.72706947,
62070540,122.711183295,
62070600,908.695,
62070660,149.842816705,
62070720,3285.14102143,
62070780,1982.3876068,
62070840,-948.091838135,
62070900,830.411,
62070960,2097.76546267,
62071020,-522.900462674,
62071080,839.485838135,
62071140,1331.28106947,
62071200,-570.696768663,
62071260,-1205.0,
62071320,578.977838135,
62071380,103.250414632,
62071440,-55.325393202,
62071500,1213.28106947,
62071560,-1205.0,
62071620,-531.052816705,
62071680,1887.22825277,
62071740,-1205.0,
62071800,-570.696768663,
62071860,578.977838135,
62071920,-1205.0,
62071980,578.977838135,
62072040,1213.28106947,
62072100,-1205.0,
62072160,-849.183231337,
62072220,688.598,
62072280,-1070.99283813,
62072340,716.166,
62072400,-1031.92883813,
62072460,-554.730414632,
62072520,400.505,
62072580,310.912183295,
62072640,-1507.28076866,
62072700,-1091.3253932,
62072760,-2241.0,
62072820,-2241.0,
62072880,-298.446354031,
62072940,-1130.96934516,
62073000,-4024.97783813,
62073060,-1567.0528167,
62073120,-1130.96934516,
62073180,-1488.8098167,
62073240,-1060.78576866,
62073300,-4751.66125277,
62073360,834.85402143,
62073420,1463.75425277,
62073480,-3630.55464597,
62073540,-2176.78037546,
62073600,-3132.42806947,
62073660,778.332654839,
62073720,-959.370231337,
62073780,1944.59626164,
62073840,2101.1792136,
62073900,605.684453803,
62073960,170.333261637,
62074020,67.8662135959,
62074080,552.705261637,
62074140,552.705261637,
62074200,592.349213596,
62074260,394.129453803,
62074320,552.705261637,
62074380,592.349213596,
62074440,552.705261637,
62074500,649.284261637,
62074560,1909.3012136,
62074620,2450.9514538,
62074680,2642.93926164,
62074740,2247.3302136,
62074800,908.568654839,
62074860,-962.267,
62074920,-2062.76665484,
62074980,600.922423503,
62075040,81.754,
62075100,-275.110423503,
62075160,-301.245375461,
62075220,-1148.29646267,
62075280,2601.35490761,
62075340,-557.325393202,
62075400,-398.749585368,
62075460,76.9778381348,
62075520,468.977838135,
62075580,468.977838135,
62075640,627.553645969,
62075700,-1315.0,
62075760,-165.325393202,
62075820,2887.25890761,
62075880,93.7934146322,
62075940,168.966,
62076000,228.759,
62076060,243.695,
62076120,1311.94065484,
62076180,1280.1281833,
62076240,-745.257606798,
62076300,-341.446231337,
62076360,1079.73323134,
62076420,-36.2972313368,
62076480,1232.28823134,
62076540,-1343.07564597,
62076600,68.0185764974,
62076660,1206.14483813,
62076720,3650.3190909,
62076780,-204.969345161,
62076840,-3733.28106947,
62076900,1777.22825277,
62076960,2674.5314841,
62077020,-1052.0,
62077080,97.674606798,
62077140,-1052.0,
62077200,216.606462674,
62077260,3189.90285956,
62077320,731.977838135,
62077380,-2201.6746068,
62077440,1405.92502143,
62077500,-465.491576497,
62077560,2084.79241463,
62077620,-451.831414632,
62077680,-2065.90244493,
62077740,818.291,
62077800,2651.10783813,
62077860,205.124768663,
62077920,-283.356606798,
62077980,-1086.41864597,
62078040,-288.786606798,
62078100,2589.15283813,
62078160,366.612183295,
62078220,-1652.71641463,
62078280,287.865231337,
62078340,-356.201,
62078400,-189.789816705,
62078460,833.977838135,
62078520,-315.696768663,
62078580,199.674606798,
62078640,992.553645969,
62078700,-950.0,
62078760,833.977838135,
62078820,833.977838135,
62078880,-950.0,
62078940,358.250414632,
62079000,-474.272576497,
62079060,358.250414632,
62079120,-315.696768663,
62079180,-1426.25723134,
62079240,1513.23323134,
62079300,-2091.24030081,
62079360,-2806.05143606,
62079420,-153.184654839,
62079480,3389.19806947,
62079540,342.145768663,
62079600,2660.83983813,
62079660,-209.134768663,
62079720,-276.052816705,
62079780,833.977838135,
62079840,517.606462674,
62079900,-235.628624539,
62079960,-1266.37137546,
62080020,1032.97783813,
