$Lewiston qdt year 2017 YC 06/22/22,
",,,",
JDAY,qdt
1,3.365393933
1.042,-11.72209273
1.083,1.1624966
1.125,5.637393933
1.167,-1.018400733
1.208,1.1112718
1.25,0.628086367
1.292,3.183890067
1.333,2.879929167
1.375,1.201357567
1.417,2.774418267
1.458,0.087076533
1.5,9.995305733
1.542,-6.090655433
1.583,-0.3603637
1.625,-4.054796533
1.667,2.2486363
1.708,39.86293927
1.75,-14.82286607
1.792,2.1477786
1.833,-0.991032067
1.875,-36.52627957
1.917,12.88864947
1.958,-0.903400733
2,-4.740298067
2.042,-5.1335034
2.083,5.928291267
2.125,0.8024966
2.167,-1.760400733
2.208,1.5364966
2.25,2.3794966
2.292,1.6304966
2.333,-0.483284733
2.375,0.9258446
2.417,0.9081005
2.458,3.1612996
2.5,2.2956363
2.542,1.8315292
2.583,0.232481667
2.625,3.366603033
2.667,29.54732393
2.708,-29.67074553
2.75,-2.214481133
2.792,1.3380303
2.833,7.876555733
2.875,-5.534001367
2.917,5.753097267
2.958,-0.303936733
3,-4.295936733
3.042,1.4668446
3.083,4.198625933
3.125,-0.474161533
3.167,0.9500694
3.208,-0.1630766
3.25,-1.263855933
3.292,4.314704733
3.333,-1.142853933
3.375,4.498251733
3.417,-0.444830233
3.458,1.1416509
3.5,0.8954655
3.542,37.35246473
3.583,-10.522744
3.625,9.39339783
3.667,0.5115598
3.708,-31.85148473
3.75,16.45872867
3.792,-19.21338007
3.833,4.777804
3.875,4.2955769
3.917,22.58452107
3.958,-33.0594439
4,13.05212293
4.042,1.4480291
4.083,1.157157567
4.125,-7.610842433
4.167,4.596952233
4.208,1.0600549
4.25,37.4917379
4.292,-14.10065157
4.333,10.26098723
4.375,-36.45931337
4.417,23.56176507
4.458,-8.524703667
4.5,-13.65305573
4.542,-25.78044183
4.583,26.2826056
4.625,-0.811539133
4.667,6.149164933
4.708,37.0367861
4.75,-13.3686035
4.792,-2.584425367
4.833,7.6550228
4.875,32.7308396
4.917,-37.3541373
4.958,5.8101598
5,-1.421552133
5.042,-2.277645533
5.083,-3.7628054
5.125,3.653852033
5.167,6.8167873
5.208,-1.233586733
5.25,1.3741946
5.292,1.9371946
5.333,-1.468558433
5.375,2.5646585
5.417,-0.193968833
5.458,2.9312229
5.5,1.9072146
5.542,-1.232612433
5.583,3.674224033
5.625,0.8886136
5.667,36.7904915
5.708,-19.37032327
5.75,-23.539159
5.792,10.23923747
5.833,-8.817632067
5.875,5.5528719
5.917,2.5303223
5.958,5.821596367
6,0.451242467
6.042,-3.633339767
6.083,3.575004233
6.125,1.0531946
6.167,1.9251946
6.208,-4.016558433
6.25,1.0531946
6.292,35.6721961
6.333,-13.28995727
6.375,7.743308933
6.417,-24.0226167
6.458,4.504328067
6.5,2.791838467
6.542,-9.115408667
6.583,2.311369
6.625,-5.1084613
6.667,-6.010516533
6.708,1.083684633
6.75,0.5790377
6.792,0.523655933
6.833,5.9831287
6.875,27.99079023
6.917,-37.84383893
6.958,2.973063767
7,0.994597
7.042,-1.550216633
7.083,2.1513045
7.125,1.1017878
7.167,1.149162
7.208,5.583743933
7.25,6.897282267
7.292,1.1024649
7.333,3.557492233
7.375,3.668378433
7.417,1.0531946
7.458,1.412253367
7.5,6.193445633
7.542,-1.239586733
7.583,2.3001946
7.625,0.889877167
7.667,2.9464209
7.708,1.577325433
7.75,0.833908333
7.792,2.607365933
7.833,5.6968648
7.875,30.65374027
7.917,-34.6678113
7.958,6.0288622
8,-6.343734567
8.042,-3.6743238
8.083,0.8919673
8.125,7.042392167
8.167,5.957975933
8.208,6.734757267
8.25,3.826897133
8.292,9.192170967
8.333,2.8694029
8.375,8.7487469
8.417,5.291169633
8.458,15.03632517
8.5,48.41175207
8.542,-20.2881532
8.583,18.0294709
8.625,7.763136633
8.667,8.48981663
8.708,-11.12771757
8.75,14.96258067
8.792,-2.666412067
8.833,-18.060108
8.875,21.63437533
8.917,8.06063037
8.958,3.756279733
9,14.9838572
9.042,9.51071033
9.083,2.848607233
9.125,6.200707067
9.167,8.7802448
9.208,6.266872467
9.25,6.295879967
9.292,5.078053333
9.333,10.67554637
9.375,4.549686233
9.417,12.6248363
9.458,3.3400895
9.5,-0.982833367
9.542,7.940938133
9.583,10.98937563
9.625,4.853448167
9.667,6.084260433
9.708,-16.21921493
9.75,20.26843023
9.792,-3.4363708
9.833,11.8746312
9.875,61.72009623
9.917,-18.52543133
9.958,8.7654156
10,8.634008433
10.042,6.165274933
10.083,0.6718613
10.125,6.106920333
10.167,-4.049397733
10.208,20.76207713
10.25,3.799936
10.292,11.29926317
10.333,8.6891855
10.375,15.25933803
10.417,6.576889167
10.458,16.4310909
10.5,9.88652823
10.542,10.63659073
10.583,17.7690909
10.625,11.59152823
10.667,13.79230957
10.708,40.3876719
10.75,9.8655071
10.792,22.96818783
10.833,6.10816523
10.875,-17.47173507
10.917,24.7561959
10.958,9.7642394
11,13.1913598
11.042,7.054254167
11.083,-7.861728
11.125,18.90491003
11.167,8.877033867
11.208,-7.5592354
11.25,43.90347317
11.292,4.63556713
11.333,41.66803077
11.375,-19.5438454
11.417,17.07364003
11.458,-1.036437533
11.5,3.078302267
11.542,10.9845386
11.583,9.3785386
11.625,9.3507765
11.667,5.359641267
11.708,40.98698937
11.75,-6.22868007
11.792,12.1393213
11.833,8.5943001
11.875,-35.24658187
11.917,19.98709963
11.958,3.6187469
12,-1.386047767
12.042,0.236952233
12.083,3.669952233
12.125,6.835849567
12.167,3.622952233
12.208,7.015849567
12.25,4.290952233
12.292,15.4900115
12.333,0.4395374
12.375,2.2640896
12.417,-6.438355933
12.458,7.154981933
12.5,8.130806167
12.542,3.341908833
12.583,1.3950986
12.625,6.560629067
12.667,1.416558033
12.708,3.860700533
12.75,-0.4718206
12.792,3.875558033
12.833,3.878444633
12.875,7.777908833
12.917,4.918908833
12.958,7.040908833
13,2.9120115
13.042,4.129908833
13.083,1.4280115
13.125,3.990908833
13.167,0.987558033
13.208,1.3333197
13.25,1.4540192
13.292,38.9236498
13.333,0.494912433
13.375,1.188305967
13.417,-29.63192497
13.458,12.45010627
13.5,6.535009933
13.542,-0.515974433
13.583,-4.2485058
13.625,6.675986367
13.667,3.860700533
13.708,27.80010147
13.75,-26.89743747
13.792,-0.5235848
13.833,6.017320533
13.875,6.729995467
13.917,1.6759761
13.958,0.8591794
14,27.06930003
14.042,-9.229049867
14.083,3.324650733
14.125,7.2247224
14.167,-0.004989567
14.208,1.519539433
14.25,-1.911543
14.292,-30.6166575
14.333,20.49584663
14.375,1.28534713
14.417,8.2624996
14.458,5.764073633
14.5,1.6345732
14.542,2.3645386
14.583,5.513377133
14.625,0.1993332
14.667,25.70654273
14.708,-6.7206422
14.75,-7.53304823
14.792,-0.062548033
14.833,6.649190933
14.875,10.247295
14.917,-1.5398243
14.958,2.2214326
15,-19.84629773
15.042,12.9061814
15.083,3.106164267
15.125,2.3099936
15.167,-4.8245951
15.208,6.440425767
15.25,3.886507333
15.292,33.71319033
15.333,-2.814138067
15.375,1.8587685
15.417,-13.89931133
15.458,10.29007213
15.5,4.6185141
15.542,2.2566812
15.583,-3.0523188
15.625,4.200462533
15.667,2.1963622
15.708,34.90095567
15.75,-9.11193647
15.792,7.201871833
15.833,4.743486633
15.875,-39.36662283
15.917,15.48645247
15.958,0.609780233
16,-7.322327533
16.042,-4.866299233
16.083,4.938495433
16.125,3.3555698
16.167,3.7755698
16.208,-0.070327533
16.25,2.1025698
16.292,0.895549167
16.333,0.390600867
16.375,4.718973267
16.417,0.073161233
16.458,3.754038667
16.5,3.834197067
16.542,5.2954647
16.583,-0.115124867
16.625,4.344789567
16.667,3.033745167
16.708,38.02809217
16.75,-11.49506033
16.792,-13.2537195
16.833,14.2185073
16.875,-29.5073694
16.917,8.750299467
16.958,10.42582537
17,-8.261722867
17.042,1.975758
17.083,4.346467133
17.125,-2.156644867
17.167,4.330699133
17.208,1.8299178
17.25,10.98588977
17.292,9.79046413
17.333,-22.656266
17.375,11.4077277
17.417,7.215462533
17.458,-2.916100133
17.5,-2.0073188
17.542,1.7543622
17.583,5.540462533
17.625,22.3276948
17.667,-6.545036667
17.708,18.28493673
17.75,-3.846646067
17.792,-2.105961333
17.833,-14.2567063
17.875,-8.718820033
17.917,-2.948455133
17.958,6.329782033
18,4.370090933
18.042,-3.489835933
18.083,0.5130248
18.125,5.282922133
18.167,-3.473109467
18.208,5.065661333
18.25,1.5875386
18.292,16.2701293
18.333,3.196499933
18.375,-1.082982067
18.417,3.347694367
18.458,-5.847084033
18.5,12.446174
18.542,7.174364467
18.583,-0.450327533
18.625,4.852467133
18.667,4.202495433
18.708,19.68920087
18.75,7.414178
18.792,-1.6431582
18.833,9.241681867
18.875,-17.81995777
18.917,15.457835
18.958,7.085364467
19,3.876467133
19.042,1.188467133
19.083,4.248467133
19.125,4.897467133
19.167,6.811364467
19.208,22.5013646
19.25,3.956586267
19.292,8.0709552
19.333,-5.1642276
19.375,-2.979368167
19.417,-9.6154572
19.458,11.01797113
19.5,7.5319273
19.542,5.2885537
19.583,-0.478301833
19.625,1.6201402
19.667,5.538109433
19.708,23.55369557
19.75,-0.571790433
19.792,5.6454169
19.833,8.375811933
19.875,-17.26963597
19.917,9.069665667
19.958,11.4652618
20,5.517364467
20.042,1.882467133
20.083,0.8045698
20.125,10.0232618
