$Lewiston spillway release year 2018 YC 06/23/22,
",,,",
Julian Date,Spillway
1,4.6843292
1.042,4.6843292
1.083,4.6843292
1.125,4.6843292
1.167,4.6843292
1.208,4.6843292
1.25,4.6843292
1.292,4.6843292
1.333,4.6843292
1.375,4.6843292
1.417,4.6843292
1.458,4.6843292
1.5,4.6843292
1.542,4.6843292
1.583,4.6843292
1.625,4.6843292
1.667,4.6843292
1.708,4.6843292
1.75,4.6843292
1.792,4.6843292
1.833,4.6843292
1.875,4.6843292
1.917,4.6843292
1.958,4.6843292
2,4.6843292
2.042,4.6843292
2.083,4.6843292
2.125,4.6843292
2.167,4.6843292
2.208,4.6843292
2.25,4.6843292
2.292,4.6843292
2.333,4.6713112
2.375,4.6843292
2.417,4.6843292
2.458,4.6843292
2.5,4.6843292
2.542,4.6973472
2.583,4.6843292
2.625,4.6843292
2.667,4.6843292
2.708,4.6843292
2.75,4.6843292
2.792,4.6843292
2.833,4.6843292
2.875,4.6843292
2.917,4.6843292
2.958,4.6713112
3,4.6843292
3.042,4.6843292
3.083,4.6843292
3.125,4.6843292
3.167,4.6843292
3.208,4.6843292
3.25,4.6843292
3.292,4.6843292
3.333,4.6843292
3.375,4.6843292
3.417,4.6843292
3.458,4.6843292
3.5,4.6843292
3.542,4.6843292
3.583,4.6843292
3.625,4.6843292
3.667,4.6843292
3.708,4.6843292
3.75,4.6843292
3.792,4.6843292
3.833,4.6843292
3.875,4.6843292
3.917,4.6843292
3.958,4.6843292
4,4.6843292
4.042,4.6843292
4.083,4.6843292
4.125,4.6843292
4.167,4.6843292
4.208,4.6843292
4.25,4.6843292
4.292,4.6843292
4.333,4.6843292
4.375,4.6843292
4.417,4.6843292
4.458,4.6843292
4.5,4.6843292
4.542,4.6843292
4.583,4.6843292
4.625,4.6843292
4.667,4.6843292
4.708,4.6713112
4.75,4.6843292
4.792,4.6843292
4.833,4.6843292
4.875,4.6843292
4.917,4.6843292
4.958,4.6843292
5,4.6843292
5.042,4.6843292
5.083,4.6973472
5.125,4.6843292
5.167,4.6713112
5.208,4.6843292
5.25,4.6843292
5.292,4.6843292
5.333,4.6843292
5.375,4.6843292
5.417,4.6843292
5.458,4.6843292
5.5,4.6843292
5.542,4.6843292
5.583,4.6843292
5.625,4.6548972
5.667,4.6843292
5.708,4.6843292
5.75,4.6843292
5.792,4.6843292
5.833,4.6843292
5.875,4.6843292
5.917,4.6843292
5.958,4.6843292
6,4.6843292
6.042,4.6843292
6.083,4.6843292
6.125,4.6843292
6.167,4.6843292
6.208,4.6843292
6.25,4.6843292
6.292,4.6843292
6.333,4.6843292
6.375,4.6843292
6.417,4.6843292
6.458,4.6843292
6.5,4.6843292
6.542,4.6843292
6.583,4.6843292
6.625,4.6843009
6.667,4.6712829
6.708,4.6843292
6.75,4.6843009
6.792,4.6972906
6.833,4.6842726
6.875,4.6842726
6.917,4.6842726
6.958,4.6842726
7,4.6842726
7.042,4.6842726
7.083,4.6843009
7.125,4.6843292
7.167,4.6842726
7.208,4.6712829
7.25,4.6972906
7.292,4.6842726
7.333,4.6712829
7.375,4.6842726
7.417,4.6842726
7.458,4.6842726
7.5,4.6842726
7.542,4.6842726
7.583,4.6842726
7.625,4.6842726
7.667,4.6842726
7.708,4.6842726
7.75,4.6842726
7.792,4.6842726
7.833,4.6842726
7.875,4.6842726
7.917,4.6842726
7.958,4.6842726
8,4.6842726
8.042,4.6842726
8.083,4.6842726
8.125,4.6842726
8.167,4.6842726
8.208,4.6842726
8.25,4.6842726
8.292,4.6842726
8.333,4.6842726
8.375,4.6842726
8.417,4.6842726
8.458,4.6842726
8.5,4.6842726
8.542,4.6842726
8.583,4.6842726
8.625,4.6842726
8.667,4.6842726
8.708,4.6842726
8.75,4.6712829
8.792,4.6842726
8.833,4.6842726
8.875,4.6842726
8.917,4.6842726
8.958,4.6842726
9,4.6842726
9.042,4.6842726
9.083,4.6842726
9.125,4.6842726
9.167,4.6842726
9.208,4.6842726
9.25,4.6842726
9.292,4.6842726
9.333,4.6842726
9.375,4.6842726
9.417,4.6842726
9.458,4.6842726
9.5,4.6843009
9.542,4.6843009
9.583,4.6843292
9.625,4.6843292
9.667,4.6843009
9.708,4.6842726
9.75,4.6842726
9.792,4.6842726
9.833,4.6842726
9.875,4.6842726
9.917,4.6842726
9.958,4.6842726
10,4.6842726
10.042,4.6843009
10.083,4.6843292
10.125,4.6843009
10.167,4.6843009
10.208,4.6843009
10.25,4.6843009
10.292,4.6843009
10.333,4.6843009
10.375,4.6843292
10.417,4.6843292
10.458,4.6843292
10.5,4.6843292
10.542,4.6843292
10.583,4.6843292
10.625,4.6843292
10.667,4.6843009
10.708,4.6712829
10.75,4.6842726
10.792,4.6842726
10.833,4.6842726
10.875,4.6842726
10.917,4.6843009
10.958,4.6842726
11,4.6843009
11.042,4.6843009
11.083,4.6843009
11.125,4.6842726
11.167,4.6842726
11.208,4.6842726
11.25,4.6842726
11.292,4.6842726
11.333,4.6842726
11.375,4.6687642
11.417,4.6697547
11.458,4.6842726
11.5,4.6842726
11.542,4.6843009
11.583,4.6842726
11.625,4.6842726
11.667,4.6842726
11.708,4.6842726
11.75,4.6842726
11.792,4.6842726
11.833,4.6842726
11.875,4.6842726
11.917,4.6842726
11.958,4.6842726
12,4.6842726
12.042,4.6842726
12.083,4.6842726
12.125,4.6842726
12.167,4.6842726
12.208,4.6842726
12.25,4.6842726
12.292,4.6842726
12.333,4.6842726
12.375,4.6842726
12.417,4.6842726
12.458,4.6842726
12.5,4.6842726
12.542,4.6712829
12.583,4.6842726
12.625,4.6542463
12.667,4.6843009
12.708,4.6842726
12.75,4.6842726
12.792,4.6972906
12.833,4.6842726
12.875,4.6842726
12.917,4.6842726
12.958,4.6712829
13,4.6842726
13.042,4.6842726
13.083,4.6842726
13.125,4.6842726
13.167,4.6843009
13.208,4.6843009
13.25,4.6843292
13.292,4.6843292
13.333,4.6843292
13.375,4.6843292
13.417,4.6843292
13.458,4.6843292
13.5,4.6843292
13.542,4.6843292
13.583,4.6843009
13.625,4.6843009
13.667,4.6843009
13.708,4.6843009
13.75,4.6843009
13.792,4.6843009
13.833,4.6843009
13.875,4.6843009
13.917,4.6843009
13.958,4.6843009
14,4.7143838
14.042,4.6842726
14.083,4.6843009
14.125,4.6843009
14.167,4.6843009
14.208,4.6843009
14.25,4.6843009
14.292,4.6843292
14.333,4.6843292
14.375,4.6843292
14.417,4.6843292
14.458,4.6843292
14.5,4.6843292
14.542,4.6843292
14.583,4.6713112
14.625,4.6843009
14.667,4.6843009
14.708,4.6842726
14.75,4.6843009
14.792,4.6972906
14.833,4.6843009
14.875,4.6843009
14.917,4.6843009
14.958,4.6843009
15,4.6843009
15.042,4.6843009
15.083,4.6712829
15.125,4.6843009
15.167,4.6843009
15.208,4.6843009
15.25,4.6843009
15.292,4.6843009
15.333,4.6842726
15.375,4.6842726
15.417,4.6842726
15.458,4.6842726
15.5,4.6842726
15.542,4.6842726
15.583,4.6842726
15.625,4.6842726
15.667,4.6842726
15.708,4.6842726
15.75,4.6842726
15.792,4.6842726
15.833,4.6842726
15.875,4.6842726
15.917,4.6842726
15.958,4.6842726
16,4.6842726
16.042,4.6842726
16.083,4.6842726
16.125,4.6842726
16.167,4.6842726
16.208,4.6842726
16.25,4.6842726
16.292,4.6842726
16.333,4.6842726
16.375,4.6842726
16.417,4.6842726
16.458,4.6842726
16.5,4.6842726
16.542,4.6842726
16.583,4.6843009
16.625,4.6842726
16.667,4.6842726
16.708,4.6842726
16.75,4.6712829
16.792,4.6842726
16.833,4.6842726
16.875,4.6842726
16.917,4.6842726
16.958,4.6972906
17,4.6842726
17.042,4.6842726
17.083,4.6842726
17.125,4.6842726
17.167,4.6842726
17.208,4.6712829
17.25,4.6842726
17.292,4.6842726
17.333,4.6972906
17.375,4.6712829
17.417,4.6842726
17.458,4.6842726
17.5,4.6842726
17.542,4.6842726
17.583,4.6842726
17.625,4.6843292
17.667,4.6843009
17.708,4.6842726
17.75,4.6843009
17.792,4.6842726
17.833,4.6842726
17.875,4.6842726
17.917,4.6842726
17.958,4.6842726
18,4.6842726
18.042,4.6842726
18.083,4.6842726
18.125,4.6842726
18.167,4.6842726
18.208,4.6842726
18.25,4.6842726
18.292,4.6842726
18.333,4.6842726
18.375,4.6842726
18.417,4.6842726
18.458,4.6842726
18.5,4.6842726
18.542,4.6842726
18.583,4.6842726
18.625,4.6842726
18.667,4.6842726
18.708,4.6842726
18.75,4.6842726
18.792,4.6712829
18.833,4.6842726
18.875,4.6842726
18.917,4.6842726
18.958,4.6842726
19,4.6843009
19.042,4.6843292
19.083,4.6842726
19.125,4.6972906
19.167,4.6842726
19.208,4.6843009
19.25,4.6713112
19.292,4.6843292
19.333,4.6973472
19.375,4.6843292
19.417,4.6712829
19.458,4.715063
19.5,4.6843292
19.542,4.6843292
19.583,4.6843292
19.625,4.6687642
19.667,4.6701226
19.708,4.6843292
19.75,4.6843292
19.792,4.6843292
19.833,4.6843292
19.875,4.6843292
19.917,4.6998376
19.958,4.7292696
20,4.7911334
20.042,4.8060192
20.083,4.7597204
20.125,4.7610788
20.167,4.6988754
20.208,4.7001772
20.25,4.6991584
20.292,4.6843009
20.333,4.7914447
20.375,4.6984792
20.417,4.730628
20.458,4.7463345
20.5,4.7448063
20.542,4.6843009
20.583,4.6972906
20.625,4.6712829
20.667,4.6843009
20.708,4.6843009
20.75,4.6843009
20.792,4.6972906
20.833,4.6843009
20.875,4.6843009
20.917,4.6843009
20.958,4.6843009
21,4.7150347
21.042,4.6843009
21.083,4.6712829
21.125,4.6843009
21.167,4.6843009
21.208,4.6843009
21.25,4.6843009
21.292,4.6843009
21.333,4.6843009
21.375,4.6843009
21.417,4.6843009
21.458,4.6843009
21.5,4.6843009
21.542,4.6843009
21.583,4.6843009
21.625,4.6843009
21.667,4.6843009
21.708,4.6843009
