 JDAY =    291.580844302622     
QIN:,13.071374,.000000,.000000,
QTR:,.000000,.000000,
QDT:,9.667285,.000000,.000000,
QWD:,2.688868,2.858696,16.371380,

SEG,BRANCH,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT
1,1,5,579.590000,-.800641,-2298.040064,13.071374,13.071374,.000000,1.300641,2298.540064,214793.277991,116.253909,7.770000,7.770000,.000000,.000000
2,1,5,2876.930064,-.800641,-2298.040064,-346127656.039034,-214677010.976841,37.977504,1.300641,2298.540064,-642409.472153,116.079349,7.870657,7.870657,.110161,-.012524
3,1,5,-16858.150420,-.800677,17437.040420,180865463.126756,1285051116.143392,-610.501106,1.300677,-17436.540420,-742928.415998,150.083968,7.870656,7.870656,.110170,-1729.853939
4,1,5,666.219095,-.800613,-87.329095,-13634252.266985,1271479989.045231,9425.630509,1.300613,87.829095,37482.480858,238.850843,7.870657,7.870657,.110166,34173.699222
5,1,5,840.819533,-.800705,-261.929533,-74435506.299511,1210563856.256779,1726.325817,1.300705,262.429533,37713.468019,239.462212,7.870656,7.870656,.110173,33932.064461
6,1,5,670.889770,-.800766,-91.999770,-89403210.747746,1196531977.572380,1438.354593,1.300766,92.499770,-68146.053608,186.946390,7.870657,7.870657,.110167,-18898.148059
7,1,5,-540.223689,-.800714,1119.113689,6967347.979157,1347229856.363713,-19236.336586,1.300714,-1118.613689,-61279.410985,189.319696,7.870656,7.870656,.110167,-21940.284677
8,1,5,760.989202,-.800761,-182.099202,-25902011.700567,1319469439.046054,5194.080932,1.300761,182.599202,128817.519116,149.478178,7.870656,7.870656,.110171,10401.088833
9,1,5,3284.303780,-.800789,-2705.413780,-250633945.188294,1089893774.573367,534.854813,1.300789,2705.913780,212793.802220,106.359463,7.870656,7.870656,.110167,6298.955734
10,1,5,2998.966194,-.800731,-2420.076194,-557933796.896165,894094553.591498,260.251012,1.300731,2420.576194,-533250.945464,102.358676,7.870656,7.870656,.110169,-2515.525806
11,1,5,-16738.790030,-.800731,17317.680030,76686969.106043,2156600382.911335,-2712.212307,1.300731,-17317.180030,-446847.319005,98.882666,7.870656,7.870656,.110171,-4888.160957
12,1,5,5222.469526,-.800687,-4643.579526,-452198770.751144,1787986956.991191,495.398456,1.300687,4644.079526,804277.533780,112.019034,7.870656,7.870656,.110168,2715.022470
13,1,5,12760.056237,-.800708,-12181.166237,-3644983738.729779,548269353.486565,115.041750,1.300708,12181.666237,-2077781.489798,119.753769,7.870656,7.870656,.110171,-1051.106192
14,1,5,-67874.744119,-.800717,68453.634119,-84914675377.157730,5943789444.197359,106.999720,1.300717,-68453.134119,-22694875.671139,117.879272,7.870657,7.870657,.110171,-310.658821
15,1,5,-458351.277850,-.800694,458930.167850,102392728750.509903,45938256454.380592,55.135236,1.300694,-458929.667850,-19286800.193286,128.865056,7.870657,7.870657,.110167,-2308.195580
16,1,5,13670.447243,-.800761,-13091.557243,74793147.042818,44517647560.958763,-59421.024748,1.300761,13092.057243,710428.449067,112.102929,7.870656,7.870656,.110173,62659.709234
17,1,5,580.025298,-.800763,-1.135298,-4908597.743049,44517623762.169754,907031.594165,1.300763,1.635298,128413.736890,87.448782,7.870656,7.870656,.110173,346588.339041
18,1,5,4408.085317,-.800685,-3829.195317,-252086419.181871,44260994984.792007,17657.865723,1.300685,3829.695317,162561.769637,86.183047,7.870656,7.870656,.110174,273762.061863
19,1,5,1575.078101,-.800701,-996.188101,-3739418220.976687,44192672589.038292,1281.806099,1.300701,996.688101,-3353453.370751,87.350481,7.870656,7.870656,.110172,-13275.568390
20,1,5,-100815.108063,-.800710,101393.998063,4055475102.094898,50968076427.304543,-1156.772022,1.300710,-101393.498063,-3132605.794416,91.129917,7.870656,7.870656,.110169,-16107.878164
21,1,5,7428.680046,-.800728,-6849.790046,16459459.379416,50458066437.756744,-306459.682640,1.300728,6850.290046,255100.924436,91.747952,7.870656,7.870656,.110174,197759.175947
22,1,5,579.806734,-.800726,-.916734,14.570812,50458058074.390015,-346295451065.880737,1.300726,1.416734,96.252872,92.071650,7.870656,7.870656,.110174,371908336.968177
23,1,5,579.690687,-.800699,-.800687,15.541819,50458058075.365921,-324659934845.307800,1.300699,1.300687,100.257684,100.257551,7.870656,7.870656,.110170,356418399.615568
24,1,5,579.690743,-.800728,-.800743,14.357467,50458058074.181564,-351441228650.217041,1.300728,1.300743,96.472103,96.469700,7.870656,7.870656,.110168,387135029.784112
25,1,5,579.690814,-.800764,-.800814,10.793735,50458058070.617836,-467475412218.436218,1.300764,1.300814,74.357355,74.355597,7.870656,7.870656,.110180,514968237.349136
26,1,5,579.690711,-.800713,-.800711,10.885077,50458058070.709167,-463552592289.114380,1.300713,1.300711,67.908329,67.906883,7.870657,7.870657,.110357,506911977.174644
