$Trinity Lake Br2 inflow Tw updated YC 06/01/23,
",,,",
Jday,EF Trinity R
1,3.37
1.042,3.37
1.083,3.37
1.125,3.37
1.167,3.37
1.208,3.37
1.25,3.37
1.292,3.37
1.333,3.37
1.375,3.37
1.417,3.37
1.458,3.37
1.5,3.37
1.542,3.37
1.583,3.37
1.625,3.37
1.667,3.37
1.708,3.37
1.75,3.37
1.792,3.37
1.833,3.37
1.875,3.37
1.917,3.37
1.958,3.37
2,2.81
2.042,2.81
2.083,2.81
2.125,2.81
2.167,2.81
2.208,2.81
2.25,2.81
2.292,2.81
2.333,2.81
2.375,2.81
2.417,2.81
2.458,2.81
2.5,2.81
2.542,2.81
2.583,2.81
2.625,2.81
2.667,2.81
2.708,2.81
2.75,2.81
2.792,2.81
2.833,2.81
2.875,2.81
2.917,2.81
2.958,2.81
3,2.21
3.042,2.21
3.083,2.21
3.125,2.21
3.167,2.21
3.208,2.21
3.25,2.21
3.292,2.21
3.333,2.21
3.375,2.21
3.417,2.21
3.458,2.21
3.5,2.21
3.542,2.21
3.583,2.21
3.625,2.21
3.667,2.21
3.708,2.21
3.75,2.21
3.792,2.21
3.833,2.21
3.875,2.21
3.917,2.21
3.958,2.21
4,2.53
4.042,2.53
4.083,2.53
4.125,2.53
4.167,2.53
4.208,2.53
4.25,2.53
4.292,2.53
4.333,2.53
4.375,2.53
4.417,2.53
4.458,2.53
4.5,2.53
4.542,2.53
4.583,2.53
4.625,2.53
4.667,2.53
4.708,2.53
4.75,2.53
4.792,2.53
4.833,2.53
4.875,2.53
4.917,2.53
4.958,2.53
5,2.03
5.042,2.03
5.083,2.03
5.125,2.03
5.167,2.03
5.208,2.03
5.25,2.03
5.292,2.03
5.333,2.03
5.375,2.03
5.417,2.03
5.458,2.03
5.5,2.03
5.542,2.03
5.583,2.03
5.625,2.03
5.667,2.03
5.708,2.03
5.75,2.03
5.792,2.03
5.833,2.03
5.875,2.03
5.917,2.03
5.958,2.03
6,1.33
6.042,1.33
6.083,1.33
6.125,1.33
6.167,1.33
6.208,1.33
6.25,1.33
6.292,1.33
6.333,1.33
6.375,1.33
6.417,1.33
6.458,1.33
6.5,1.33
6.542,1.33
6.583,1.33
6.625,1.33
6.667,1.33
6.708,1.33
6.75,1.33
6.792,1.33
6.833,1.33
6.875,1.33
6.917,1.33
6.958,1.33
7,2.39
7.042,2.39
7.083,2.39
7.125,2.39
7.167,2.39
7.208,2.39
7.25,2.39
7.292,2.39
7.333,2.39
7.375,2.39
7.417,2.39
7.458,2.39
7.5,2.39
7.542,2.39
7.583,2.39
7.625,2.39
7.667,2.39
7.708,2.39
7.75,2.39
7.792,2.39
7.833,2.39
7.875,2.39
7.917,2.39
7.958,2.39
8,3.34
8.042,3.34
8.083,3.34
8.125,3.34
8.167,3.34
8.208,3.34
8.25,3.34
8.292,3.34
8.333,3.34
8.375,3.34
8.417,3.34
8.458,3.34
8.5,3.34
8.542,3.34
8.583,3.34
8.625,3.34
8.667,3.34
8.708,3.34
8.75,3.34
8.792,3.34
8.833,3.34
8.875,3.34
8.917,3.34
8.958,3.34
9,4.44
9.042,4.44
9.083,4.44
9.125,4.44
9.167,4.44
9.208,4.44
9.25,4.44
9.292,4.44
9.333,4.44
9.375,4.44
9.417,4.44
9.458,4.44
9.5,4.44
9.542,4.44
9.583,4.44
9.625,4.44
9.667,4.44
9.708,4.44
9.75,4.44
9.792,4.44
9.833,4.44
9.875,4.44
9.917,4.44
9.958,4.44
10,4.97
10.042,4.97
10.083,4.97
10.125,4.97
10.167,4.97
10.208,4.97
10.25,4.97
10.292,4.97
10.333,4.97
10.375,4.97
10.417,4.97
10.458,4.97
10.5,4.97
10.542,4.97
10.583,4.97
10.625,4.97
10.667,4.97
10.708,4.97
10.75,4.97
10.792,4.97
10.833,4.97
10.875,4.97
10.917,4.97
10.958,4.97
11,6
11.042,6
11.083,6
11.125,6
11.167,6
11.208,6
11.25,6
11.292,6
11.333,6
11.375,6
11.417,6
11.458,6
11.5,6
11.542,6
11.583,6
11.625,6
11.667,6
11.708,6
11.75,6
11.792,6
11.833,6
11.875,6
11.917,6
11.958,6
12,5.3
12.042,5.3
12.083,5.3
12.125,5.3
12.167,5.3
12.208,5.3
12.25,5.3
12.292,5.3
12.333,5.3
12.375,5.3
12.417,5.3
12.458,5.3
12.5,5.3
12.542,5.3
12.583,5.3
12.625,5.3
12.667,5.3
