$Trinity Lake Br3 inflow year 2017 updated YC 06/01/23,
",,,",
Jday,Stuart
1,2.23
1.042,2.23
1.083,2.23
1.125,2.23
1.167,2.23
1.208,2.23
1.25,2.23
1.292,2.23
1.333,2.23
1.375,2.23
1.417,2.23
1.458,2.23
1.5,2.23
1.542,2.23
1.583,2.23
1.625,2.23
1.667,2.23
1.708,2.23
1.75,2.23
1.792,2.23
1.833,2.23
1.875,2.23
1.917,2.23
1.958,2.23
2,1.72
2.042,1.72
2.083,1.72
2.125,1.72
2.167,1.72
2.208,1.72
2.25,1.72
2.292,1.72
2.333,1.72
2.375,1.72
2.417,1.72
2.458,1.72
2.5,1.72
2.542,1.72
2.583,1.72
2.625,1.72
2.667,1.72
2.708,1.72
2.75,1.72
2.792,1.72
2.833,1.72
2.875,1.72
2.917,1.72
2.958,1.72
3,1.17
3.042,1.17
3.083,1.17
3.125,1.17
3.167,1.17
3.208,1.17
3.25,1.17
3.292,1.17
3.333,1.17
3.375,1.17
3.417,1.17
3.458,1.17
3.5,1.17
3.542,1.17
3.583,1.17
3.625,1.17
3.667,1.17
3.708,1.17
3.75,1.17
3.792,1.17
3.833,1.17
3.875,1.17
3.917,1.17
3.958,1.17
4,1.47
4.042,1.47
4.083,1.47
4.125,1.47
4.167,1.47
4.208,1.47
4.25,1.47
4.292,1.47
4.333,1.47
4.375,1.47
4.417,1.47
4.458,1.47
4.5,1.47
4.542,1.47
4.583,1.47
4.625,1.47
4.667,1.47
4.708,1.47
4.75,1.47
4.792,1.47
4.833,1.47
4.875,1.47
4.917,1.47
4.958,1.47
5,1.01
5.042,1.01
5.083,1.01
5.125,1.01
5.167,1.01
5.208,1.01
5.25,1.01
5.292,1.01
5.333,1.01
5.375,1.01
5.417,1.01
5.458,1.01
5.5,1.01
5.542,1.01
5.583,1.01
5.625,1.01
5.667,1.01
5.708,1.01
5.75,1.01
5.792,1.01
5.833,1.01
5.875,1.01
5.917,1.01
5.958,1.01
6,0.36
6.042,0.36
6.083,0.36
6.125,0.36
6.167,0.36
6.208,0.36
6.25,0.36
6.292,0.36
6.333,0.36
6.375,0.36
6.417,0.36
6.458,0.36
6.5,0.36
6.542,0.36
6.583,0.36
6.625,0.36
6.667,0.36
6.708,0.36
6.75,0.36
6.792,0.36
6.833,0.36
6.875,0.36
6.917,0.36
6.958,0.36
7,1.34
7.042,1.34
7.083,1.34
7.125,1.34
7.167,1.34
7.208,1.34
