$Trinity Lake updated withdrawals year 2017 YC 08/31/22,,
",,,",,
Jday,Power generation and Jet (cms),Auxiallary (cms)
1,0.0283,0.0283
1.042,0.0283,0.0283
1.083,0.0283,0.0283
1.125,0.0283,0.0283
1.167,0.0283,0.0283
1.208,0.0283,0.0283
1.25,0.0283,0.0283
1.292,0.0283,0.0283
1.333,0.0283,0.0283
1.375,0.0283,0.0283
1.417,0.0283,0.0283
1.458,0.0283,0.0283
1.5,0.0283,0.0283
1.542,0.0283,0.0283
1.583,0.0283,0.0283
1.625,0.0283,0.0283
1.667,0.0283,0.0283
1.708,3.2759797,0.0283
1.75,46.6973206,0.0283
1.792,48.7976617,0.0283
1.833,49.2729036,0.0283
1.875,47.8633655,0.0283
1.917,3.1086418,0.0283
1.958,0.0283,0.0283
2,0.0283,0.0283
2.042,0.0283,0.0283
2.083,0.0283,0.0283
2.125,0.0283,0.0283
2.167,0.0283,0.0283
2.208,0.0283,0.0283
2.25,0.0283,0.0283
2.292,0.0283,0.0283
2.333,0.0283,0.0283
2.375,0.0283,0.0283
2.417,0.0283,0.0283
2.458,0.0283,0.0283
2.5,0.0283,0.0283
2.542,0.0283,0.0283
2.583,0.0283,0.0283
2.625,0.0283,0.0283
2.667,3.7715127,0.0283
2.708,46.5590185,0.0283
2.75,49.1864471,0.0283
2.792,48.8840616,0.0283
2.833,48.7544759,0.0283
2.875,47.6431066,0.0283
2.917,3.3298629,0.0283
2.958,0.0283,0.0283
3,0.0283,0.0283
3.042,0.0283,0.0283
3.083,0.0283,0.0283
3.125,0.0283,0.0283
3.167,0.0283,0.0283
3.208,0.0283,0.0283
3.25,0.0283,0.0283
3.292,0.0283,0.0283
3.333,0.0283,0.0283
3.375,0.0283,0.0283
3.417,0.0283,0.0283
3.458,0.0283,0.0283
3.5,0.0283,0.0283
3.542,3.0428443,0.0283
3.583,52.7927727,0.0283
3.625,57.96123,0.0283
3.667,57.3925132,0.0283
3.708,58.6651359,0.0283
3.75,49.9135024,0.0283
3.792,49.1343185,0.0283
3.833,49.2386323,0.0283
3.875,49.2209448,0.0283
3.917,48.7170067,0.0283
3.958,39.3219444,0.0283
4,2.9124379,0.0283
4.042,0.0283,0.0283
4.083,0.0283,0.0283
4.125,0.0283,0.0283
4.167,0.0283,0.0283
4.208,0.0283,0.0283
4.25,2.212777,0.0283
4.292,46.0476658,0.0283
4.333,49.185117,0.0283
4.375,47.9771032,0.0283
4.417,3.3360323,0.0283
4.458,0.0283,0.0283
4.5,0.0283,0.0283
4.542,0.0283,0.0283
4.583,0.0283,0.0283
4.625,0.0283,0.0283
4.667,0.0283,0.0283
4.708,2.3052614,0.0283
4.75,46.367569,0.0283
4.792,48.9704615,0.0283
4.833,48.8999945,0.0283
4.875,48.7544759,0.0283
4.917,47.3854351,0.0283
4.958,3.1568367,0.0283
5,0.0283,0.0283
5.042,0.0283,0.0283
5.083,0.0283,0.0283
5.125,0.0283,0.0283
5.167,0.0283,0.0283
5.208,0.0283,0.0283
5.25,0.0283,0.0283
5.292,0.0283,0.0283
5.333,0.0283,0.0283
5.375,0.0283,0.0283
5.417,0.0283,0.0283
5.458,0.0283,0.0283
5.5,0.0283,0.0283
5.542,0.0283,0.0283
5.583,0.0283,0.0283
5.625,0.0283,0.0283
5.667,2.1580731,0.0283
5.708,46.303894,0.0283
5.75,48.8297822,0.0283
5.792,48.7210253,0.0283
5.833,48.9766026,0.0283
5.875,48.8408475,0.0283
5.917,47.3865954,0.0283
5.958,3.2651408,0.0283
6,0.0283,0.0283
6.042,0.0283,0.0283
6.083,0.0283,0.0283
6.125,0.0283,0.0283
6.167,0.0283,0.0283
6.208,0.0283,0.0283
6.25,0.0283,0.0283
6.292,2.6657468,0.0283
6.333,46.4540255,0.0283
6.375,48.7487593,0.0283
6.417,48.0548716,0.0283
6.458,15.6037144,0.0283
6.5,13.1044565,0.0283
6.542,13.2095627,0.0283
6.583,13.5277396,0.0283
6.625,14.0099999,0.0283
6.667,14.6751348,0.0283
6.708,46.8168032,0.0283
6.75,48.9042678,0.0283
6.792,48.8408758,0.0283
6.833,48.7976617,0.0283
6.875,48.8409041,0.0283
6.917,47.3768036,0.0283
6.958,3.3655775,0.0283
7,0.0283,0.0283
7.042,0.0283,0.0283
7.083,0.0283,0.0283
7.125,0.0283,0.0283
7.167,0.0283,0.0283
7.208,0.0283,0.0283
7.25,0.0283,0.0283
7.292,0.0283,0.0283
7.333,0.0283,0.0283
7.375,0.0283,0.0283
7.417,0.0283,0.0283
7.458,0.0283,0.0283
7.5,0.0283,0.0283
7.542,0.0283,0.0283
7.583,0.0283,0.0283
7.625,0.0283,0.0283
