$Trinity Lake Br3 inflow Tw year 2018 updated YC 06/01/23,
",,,",
Jday,Stuart
1,3.67
1.042,3.67
1.083,3.67
1.125,3.67
1.167,3.67
1.208,3.67
1.25,3.67
1.292,3.67
1.333,3.67
1.375,3.67
1.417,3.67
1.458,3.67
1.5,3.67
1.542,3.67
1.583,3.67
1.625,3.67
1.667,3.67
1.708,3.67
1.75,3.67
1.792,3.67
1.833,3.67
1.875,3.67
1.917,3.67
1.958,3.67
2,3.31
2.042,3.31
2.083,3.31
2.125,3.31
2.167,3.31
2.208,3.31
2.25,3.31
2.292,3.31
2.333,3.31
2.375,3.31
2.417,3.31
2.458,3.31
2.5,3.31
2.542,3.31
2.583,3.31
2.625,3.31
2.667,3.31
2.708,3.31
2.75,3.31
2.792,3.31
2.833,3.31
2.875,3.31
2.917,3.31
2.958,3.31
3,3.9
3.042,3.9
3.083,3.9
3.125,3.9
3.167,3.9
3.208,3.9
3.25,3.9
3.292,3.9
3.333,3.9
3.375,3.9
3.417,3.9
3.458,3.9
3.5,3.9
3.542,3.9
3.583,3.9
3.625,3.9
3.667,3.9
3.708,3.9
3.75,3.9
3.792,3.9
3.833,3.9
3.875,3.9
3.917,3.9
3.958,3.9
4,5.3
4.042,5.3
4.083,5.3
4.125,5.3
4.167,5.3
4.208,5.3
4.25,5.3
4.292,5.3
4.333,5.3
4.375,5.3
4.417,5.3
4.458,5.3
4.5,5.3
4.542,5.3
4.583,5.3
4.625,5.3
4.667,5.3
4.708,5.3
4.75,5.3
4.792,5.3
4.833,5.3
4.875,5.3
4.917,5.3
4.958,5.3
5,5.78
5.042,5.78
5.083,5.78
5.125,5.78
5.167,5.78
5.208,5.78
5.25,5.78
5.292,5.78
5.333,5.78
5.375,5.78
5.417,5.78
5.458,5.78
5.5,5.78
5.542,5.78
5.583,5.78
5.625,5.78
5.667,5.78
5.708,5.78
5.75,5.78
5.792,5.78
5.833,5.78
5.875,5.78
5.917,5.78
5.958,5.78
6,4.69
6.042,4.69
6.083,4.69
6.125,4.69
6.167,4.69
6.208,4.69
6.25,4.69
6.292,4.69
6.333,4.69
6.375,4.69
6.417,4.69
6.458,4.69
6.5,4.69
6.542,4.69
6.583,4.69
6.625,4.69
6.667,4.69
6.708,4.69
6.75,4.69
6.792,4.69
6.833,4.69
6.875,4.69
6.917,4.69
6.958,4.69
7,3.82
7.042,3.82
7.083,3.82
7.125,3.82
7.167,3.82
7.208,3.82
