$Swift Cr flowyear 2019 YC updated 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
1,0.651281325
1.042,0.651281325
1.083,0.651281325
1.125,0.651281325
1.167,0.651281325
1.208,0.651281325
1.25,0.651281325
1.292,0.651281325
1.333,0.651281325
1.375,0.651281325
1.417,0.651281325
1.458,0.651281325
1.5,0.651281325
1.542,0.651281325
1.583,0.651281325
1.625,0.651281325
1.667,0.651281325
1.708,0.651281325
1.75,0.651281325
1.792,0.651281325
1.833,0.651281325
1.875,0.651281325
1.917,0.651281325
1.958,0.651281325
2,0.849497381
2.042,0.849497381
2.083,0.849497381
2.125,0.849497381
2.167,0.849497381
2.208,0.849497381
2.25,0.849497381
2.292,0.849497381
2.333,0.849497381
2.375,0.849497381
2.417,0.849497381
2.458,0.849497381
2.5,0.849497381
2.542,0.849497381
2.583,0.849497381
2.625,0.849497381
2.667,0.849497381
2.708,0.849497381
2.75,0.849497381
2.792,0.849497381
2.833,0.849497381
2.875,0.849497381
2.917,0.849497381
2.958,0.849497381
3,1.160979754
3.042,1.160979754
3.083,1.160979754
3.125,1.160979754
3.167,1.160979754
3.208,1.160979754
3.25,1.160979754
3.292,1.160979754
3.333,1.160979754
3.375,1.160979754
3.417,1.160979754
3.458,1.160979754
3.5,1.160979754
3.542,1.160979754
3.583,1.160979754
3.625,1.160979754
3.667,1.160979754
3.708,1.160979754
3.75,1.160979754
3.792,1.160979754
3.833,1.160979754
3.875,1.160979754
3.917,1.160979754
3.958,1.160979754
4,0.991080278
4.042,0.991080278
4.083,0.991080278
4.125,0.991080278
4.167,0.991080278
4.208,0.991080278
4.25,0.991080278
4.292,0.991080278
4.333,0.991080278
4.375,0.991080278
4.417,0.991080278
4.458,0.991080278
4.5,0.991080278
4.542,0.991080278
4.583,0.991080278
4.625,0.991080278
4.667,0.991080278
4.708,0.991080278
4.75,0.991080278
4.792,0.991080278
4.833,0.991080278
4.875,0.991080278
4.917,0.991080278
4.958,0.991080278
5,2.010477134
5.042,2.010477134
5.083,2.010477134
5.125,2.010477134
5.167,2.010477134
5.208,2.010477134
5.25,2.010477134
5.292,2.010477134
5.333,2.010477134
5.375,2.010477134
5.417,2.010477134
5.458,2.010477134
5.5,2.010477134
5.542,2.010477134
5.583,2.010477134
5.625,2.010477134
5.667,2.010477134
5.708,2.010477134
5.75,2.010477134
5.792,2.010477134
5.833,2.010477134
5.875,2.010477134
5.917,2.010477134
5.958,2.010477134
6,3.228090047
6.042,3.228090047
6.083,3.228090047
6.125,3.228090047
6.167,3.228090047
6.208,3.228090047
6.25,3.228090047
6.292,3.228090047
6.333,3.228090047
6.375,3.228090047
