$Trinity Lake Br3 inflow year 2019 updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
1,0.679597905
1.042,0.679597905
1.083,0.679597905
1.125,0.679597905
1.167,0.679597905
1.208,0.679597905
1.25,0.679597905
1.292,0.679597905
1.333,0.679597905
1.375,0.679597905
1.417,0.679597905
1.458,0.679597905
1.5,0.679597905
1.542,0.679597905
1.583,0.679597905
1.625,0.679597905
1.667,0.679597905
1.708,0.679597905
1.75,0.679597905
1.792,0.679597905
1.833,0.679597905
1.875,0.679597905
1.917,0.679597905
1.958,0.679597905
2,0.87781396
2.042,0.87781396
2.083,0.87781396
2.125,0.87781396
2.167,0.87781396
2.208,0.87781396
2.25,0.87781396
2.292,0.87781396
2.333,0.87781396
2.375,0.87781396
2.417,0.87781396
2.458,0.87781396
2.5,0.87781396
2.542,0.87781396
2.583,0.87781396
2.625,0.87781396
2.667,0.87781396
2.708,0.87781396
2.75,0.87781396
2.792,0.87781396
2.833,0.87781396
2.875,0.87781396
2.917,0.87781396
2.958,0.87781396
3,1.217612912
3.042,1.217612912
3.083,1.217612912
3.125,1.217612912
3.167,1.217612912
3.208,1.217612912
3.25,1.217612912
3.292,1.217612912
3.333,1.217612912
3.375,1.217612912
3.417,1.217612912
3.458,1.217612912
3.5,1.217612912
3.542,1.217612912
3.583,1.217612912
3.625,1.217612912
3.667,1.217612912
3.708,1.217612912
3.75,1.217612912
3.792,1.217612912
3.833,1.217612912
3.875,1.217612912
3.917,1.217612912
3.958,1.217612912
4,1.047713436
4.042,1.047713436
4.083,1.047713436
4.125,1.047713436
4.167,1.047713436
4.208,1.047713436
4.25,1.047713436
4.292,1.047713436
4.333,1.047713436
4.375,1.047713436
4.417,1.047713436
4.458,1.047713436
4.5,1.047713436
4.542,1.047713436
4.583,1.047713436
4.625,1.047713436
4.667,1.047713436
4.708,1.047713436
4.75,1.047713436
4.792,1.047713436
4.833,1.047713436
4.875,1.047713436
4.917,1.047713436
4.958,1.047713436
5,2.095426872
5.042,2.095426872
5.083,2.095426872
5.125,2.095426872
5.167,2.095426872
5.208,2.095426872
5.25,2.095426872
5.292,2.095426872
5.333,2.095426872
5.375,2.095426872
5.417,2.095426872
5.458,2.095426872
5.5,2.095426872
5.542,2.095426872
5.583,2.095426872
5.625,2.095426872
5.667,2.095426872
5.708,2.095426872
5.75,2.095426872
5.792,2.095426872
5.833,2.095426872
5.875,2.095426872
5.917,2.095426872
5.958,2.095426872
6,3.397989523
6.042,3.397989523
6.083,3.397989523
6.125,3.397989523
6.167,3.397989523
6.208,3.397989523
6.25,3.397989523
6.292,3.397989523
6.333,3.397989523
6.375,3.397989523
