$Trinity Lake qdt 2019 calculated using updated data on Grabdata2 YC updated 08/07/2023,
",,,",
JDAY,QDT 
1,-0.505272682
1.042,-27.48927268
1.083,-16.61327268
1.125,-45.54927268
1.167,7.677727318
1.208,-0.505272682
1.25,-25.17927268
1.292,-0.505272682
1.333,10.37072732
1.375,-0.505272682
1.417,-0.505272682
1.458,-0.505272682
1.5,-0.505272682
1.542,40.33772732
1.583,35.14072732
1.625,-0.505272682
1.667,1.152727318
1.708,-4.158272682
1.75,-16.06127268
1.792,-13.08827268
1.833,-0.505272682
1.875,24.43172732
1.917,-0.505272682
1.958,2.499727318
2,-0.080961678
2.042,-0.080961678
2.083,-0.080961678
2.125,-7.840961678
2.167,-7.525961678
2.208,-11.82396168
2.25,-42.62096168
2.292,-0.080961678
2.333,48.87503832
2.375,-0.080961678
2.417,-40.18696168
2.458,-0.080961678
2.5,78.83303832
2.542,48.20803832
2.583,-35.61496168
2.625,-26.25396168
2.667,-0.080961678
2.708,55.38103832
2.75,-0.080961678
2.792,-3.360961678
2.833,-28.31696168
2.875,-0.080961678
2.917,-0.080961678
2.958,-0.080961678
3,-10.49116384
3.042,-8.698163844
3.083,-0.239163844
3.125,12.97583616
3.167,-0.239163844
3.208,-0.239163844
3.25,-33.17716384
3.292,-0.239163844
3.333,-0.239163844
3.375,-32.92116384
3.417,4.079836156
3.458,38.43483616
3.5,-0.239163844
3.542,-0.239163844
3.583,22.27483616
3.625,0.571836156
3.667,-0.239163844
3.708,-0.239163844
3.75,-29.46616384
3.792,-0.239163844
3.833,69.94483616
3.875,-0.239163844
3.917,-29.69216384
3.958,-0.239163844
4,-10.19680875
4.042,-3.064808751
4.083,3.848191249
4.125,1.027191249
4.167,1.027191249
4.208,14.85119125
4.25,1.027191249
4.292,1.027191249
4.333,1.027191249
4.375,1.027191249
4.417,1.027191249
4.458,-9.689808751
4.5,1.354191249
4.542,1.027191249
4.583,-11.87380875
4.625,1.027191249
4.667,1.027191249
4.708,-46.11180875
4.75,-53.78780875
4.792,1.027191249
4.833,3.421191249
4.875,10.02219125
4.917,64.91719125
4.958,1.027191249
5,-0.846846547
5.042,-0.035846547
5.083,-0.846846547
5.125,-24.58584655
5.167,-17.21384655
5.208,-20.21884655
5.25,-0.846846547
5.292,-2.469846547
5.333,-21.80384655
5.375,9.566153453
5.417,-0.846846547
5.458,-0.846846547
5.5,65.81515345
5.542,-0.846846547
5.583,52.81815345
5.625,-0.846846547
5.667,-0.846846547
5.708,28.88815345
5.75,-0.846846547
5.792,-72.87584655
5.833,-0.846846547
5.875,-2.437846547
5.917,-2.60484655
5.958,-3.375846547
6,-1.279089402
6.042,42.9539106
6.083,-1.279089402
6.125,-30.7320894
6.167,-1.279089402
6.208,-11.3810894
6.25,-1.279089402
6.292,42.9539106
6.333,-1.279089402
6.375,-29.3420894
6.417,-26.6410894
6.458,-1.279089402
6.5,81.4559106
6.542,-1.279089402
6.583,27.3389106
6.625,-6.581089402
6.667,-1.279089402
6.708,3.191910598
6.75,21.6489106
6.792,-7.505089402
6.833,-62.8880894
6.875,-1.279089402
6.917,-31.5170894
6.958,-1.279089402
7,0.836274184
7.042,0.836274184
7.083,-14.51572582
7.125,-17.96472582
7.167,-22.09172582
7.208,0.836274184
7.25,31.58327418
7.292,0.836274184
7.333,-2.882725816
7.375,0.836274184
7.417,0.417274184
7.458,0.836274184
7.5,7.550274184
7.542,0.836274184
7.583,0.836274184
7.625,0.836274184
7.667,9.307274184
7.708,0.836274184
7.75,-40.18072582
7.792,-45.83072582
7.833,6.362274184
7.875,57.88027418
7.917,57.30927418
7.958,0.836274184
8,-72.75283417
8.042,-16.52983417
8.083,0.027165831
8.125,-4.215834169
8.167,-89.99083417
8.208,-47.77683417
8.25,-8.967834169
8.292,-14.71683417
8.333,-76.89783417
8.375,-53.97583417
8.417,0.027165831
8.458,0.027165831
8.5,4.353165831
8.542,-44.11183417
8.583,-102.5488342
8.625,0.027165831
8.667,110.4691658
8.708,0.027165831
8.75,0.027165831
8.792,43.95916583
8.833,45.98416583
8.875,117.1001658
8.917,72.79616583
8.958,0.027165831
9,-1.120529395
9.042,84.64647061
9.083,106.1594706
9.125,2.05147061
9.167,-10.1145294
9.208,-11.1655294
9.25,-1.120529395
9.292,6.591470605
9.333,53.36847061
9.375,-11.8075294
9.417,-1.120529395
9.458,-0.515529395
9.5,-1.120529395
9.542,-1.120529395
9.583,0.896470605
9.625,-1.120529395
9.667,-27.0815294
9.708,13.45547061
9.75,-1.120529395
9.792,-60.9335294
9.833,-75.7725294
9.875,-1.120529395
9.917,56.99847061
9.958,-1.120529395
10,-0.116819362
10.042,21.02018064
10.083,23.87518064
10.125,35.08618064
10.167,21.96418064
10.208,-0.116819362
10.25,-16.08781936
10.292,-0.116819362
10.333,34.14718064
10.375,77.73218064
10.417,-0.116819362
10.458,-29.61981936
10.5,-0.116819362
10.542,20.55318064
10.583,-0.116819362
10.625,-4.686819362
10.667,-47.38781936
10.708,-45.18581936
10.75,-0.116819362
10.792,-1.774819362
10.833,-1.140819362
10.875,-0.116819362
10.917,-24.91381936
10.958,-13.93381936
11,14.43723848
11.042,0.398238479
11.083,17.23923848
11.125,16.90623848
11.167,31.01523848
11.208,-9.040761521
11.25,0.398238479
11.292,0.398238479
11.333,-5.416761521
11.375,-40.97776152
11.417,0.398238479
11.458,0.398238479
11.5,2.726238479
11.542,22.72623848
11.583,0.398238479
11.625,0.398238479
11.667,0.398238479
11.708,-20.06276152
11.75,-52.54776152
11.792,-81.40076152
11.833,9.896238479
11.875,32.28123848
11.917,29.25123848
11.958,73.24323848
12,-9.214935432
12.042,-0.486935432
12.083,39.63906457
12.125,-0.486935432
12.167,-13.71493543
12.208,27.03606457
12.25,-0.486935432
12.292,-0.486935432
12.333,-0.486935432
12.375,-11.91493543
12.417,-0.486935432
12.458,26.50706457
12.5,-0.486935432
12.542,-0.486935432
12.583,-1.324935432
12.625,-66.44893543
12.667,-18.68893543
12.708,-14.03693543
12.75,-1.333935432
12.792,-0.486935432
12.833,-28.26193543
12.875,11.13906457
12.917,-0.486935432
12.958,20.61806457
13,-0.013625555
13.042,66.12437445
13.083,14.40337445
13.125,1.287374445
13.167,14.83637445
13.208,1.720374445
13.25,-1.932625555
13.292,0.762374445
13.333,-0.763625555
13.375,-26.98162556
13.417,-0.013625555
13.458,11.80237445
13.5,-0.013625555
13.542,-0.013625555
13.583,-38.94462556
13.625,-0.013625555
13.667,40.48037445
13.708,-0.013625555
13.75,-74.42562556
13.792,-40.50762556
13.833,-0.013625555
13.875,70.13437445
13.917,42.17337445
13.958,-0.013625555
14,-33.49150147
14.042,-0.993501473
14.083,-0.993501473
14.125,-0.993501473
14.167,4.504498527
14.208,17.54049853
14.25,1.475498527
14.292,-0.993501473
14.333,-0.993501473
14.375,-0.993501473
14.417,9.432498527
14.458,-0.162501473
14.5,-0.993501473
14.542,-0.993501473
14.583,-0.993501473
14.625,-0.066501473
14.667,-0.993501473
14.708,-49.81850147
14.75,-38.59050147
14.792,-17.53650147
14.833,-0.993501473
14.875,-0.993501473
14.917,-0.993501473
14.958,50.12349853
15,0.504268983
15.042,-25.95073102
15.083,0.504268983
15.125,40.38926898
15.167,0.504268983
15.208,-20.56273102
15.25,0.504268983
15.292,0.504268983
15.333,33.55026898
15.375,0.504268983
15.417,22.19626898
15.458,1.335268983
15.5,38.52926898
15.542,-26.36973102
15.583,-80.17073102
15.625,0.504268983
15.667,0.504268983
15.708,0.504268983
15.75,0.504268983
15.792,-20.85073102
15.833,0.504268983
15.875,51.76226898
15.917,14.54326898
15.958,0.504268983
16,-55.59913854
16.042,-44.44313854
16.083,-129.2681385
16.125,-97.38913854
16.167,-125.4311385
16.208,-0.633138538
16.25,-133.7201385
16.292,-84.97213854
16.333,-9.919138538
16.375,-126.2771385
16.417,-14.68913854
16.458,-47.24513854
16.5,-66.73613854
16.542,-51.66313854
16.583,-46.37813854
16.625,-36.05313854
16.667,26.66886146
16.708,-0.633138538
16.75,0.599861462
16.792,109.6048615
16.833,252.5168615
16.875,128.0888615
16.917,334.9238615
16.958,230.5478615
17,136.3365226
17.042,38.52752263
17.083,103.6565226
17.125,23.64152263
17.167,174.8595226
17.208,0.502522625
17.25,-15.21447738
17.292,2.951522625
17.333,177.4475226
17.375,-29.36447738
17.417,45.15952263
17.458,-51.13247738
17.5,0.502522625
17.542,-70.82047738
17.583,-22.43247738
17.625,-113.5014774
17.667,-64.01247738
17.708,41.39152263
17.75,-29.26847738
17.792,-64.82447738
17.833,-12.78547738
17.875,-113.5724774
17.917,0.502522625
17.958,-20.83747738
18,-81.50500426
18.042,-0.517004259
18.083,-6.585004259
18.125,10.91199574
18.167,-0.517004259
18.208,-0.517004259
18.25,-30.66100426
18.292,-0.517004259
18.333,-0.517004259
18.375,-0.517004259
18.417,5.304995741
18.458,-0.517004259
18.5,6.836995741
18.542,91.77399574
18.583,-0.517004259
18.625,-30.31700426
18.667,-0.517004259
18.708,106.1369957
18.75,-0.517004259
18.792,-66.37300426
18.833,8.124995741
18.875,-46.68100426
18.917,16.16699574
18.958,-0.517004259
19,-44.32486428
19.042,-2.153864283
19.083,-6.694864283
19.125,-28.00886428
19.167,-30.87886428
19.208,-105.5318643
19.25,-2.153864283
19.292,-2.153864283
19.333,4.84013572
19.375,-29.70286428
