 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
    1.0000,      0.00,      0.40,    327.66,
    1.0420,      8.99,      0.40,    327.66,
    1.0835,      8.99,      0.40,    327.66,
    1.1257,      8.98,      0.40,    327.66,
    1.1670,      8.97,      0.40,    327.66,
    1.2085,      8.97,      0.40,    327.66,
    1.2507,      8.96,      0.40,    327.66,
    1.2920,      8.96,      0.40,    327.66,
    1.3337,      8.95,      0.40,    327.66,
    1.3757,      8.95,      0.40,    327.66,
    1.4170,      8.95,      0.40,    327.66,
    1.4587,      8.95,      0.40,    327.66,
    1.5007,      8.95,      0.40,    327.66,
    1.5427,      8.95,      0.40,    327.66,
    1.5839,      8.95,      0.40,    327.66,
    1.6257,      8.95,      0.40,    327.66,
    1.6677,      8.95,      0.40,    327.66,
    1.7089,      8.95,      0.50,    327.66,
    1.7507,      8.95,      0.40,    327.66,
