WHI dam release allocation the same as Cal/Val year 2019 YC 08/14/2023,,,
",,,",,,
JDAY,Wdaml,Wdamu,Spill
1.000,0,6.94,0
1.042,0,6.93,0
1.083,0,6.94,0
1.125,0,6.93,0
1.167,0,6.94,0
1.208,0,6.93,0
1.250,0,6.924,0
1.292,0,6.93,0
1.333,0,6.93,0
1.375,0,6.94,0
1.417,0,6.93,0
1.458,0,6.94,0
1.500,0,6.93,0
1.542,0,6.956,0
1.583,0,6.93,0
1.625,0,6.924,0
1.667,0,6.93,0
1.708,0,6.94,0
1.750,0,6.93,0
1.792,0,6.93,0
1.833,0,6.94,0
1.875,0,6.93,0
1.917,0,6.94,0
1.958,0,6.93,0
2.000,0,6.94,0
2.042,0,6.93,0
2.083,0,6.94,0
2.125,0,6.93,0
2.167,0,6.94,0
2.208,0,6.93,0
2.250,0,6.94,0
2.292,0,6.93,0
2.333,0,6.94,0
2.375,0,6.93,0
2.417,0,6.93,0
2.458,0,6.94,0
2.500,0,6.93,0
2.542,0,6.94,0
2.583,0,6.93,0
2.625,0,6.94,0
2.667,0,6.93,0
2.708,0,6.94,0
2.750,0,6.93,0
2.792,0,6.94,0
2.833,0,6.93,0
2.875,0,6.93,0
2.917,0,6.94,0
2.958,0,6.93,0
3.000,0,6.94,0
3.042,0,6.93,0
3.083,0,6.94,0
3.125,0,6.914,0
3.167,0,6.94,0
3.208,0,6.93,0
3.250,0,6.94,0
3.292,0,6.93,0
3.333,0,6.93,0
3.375,0,6.94,0
3.417,0,6.946,0
3.458,0,6.94,0
3.500,0,6.93,0
3.542,0,6.924,0
3.583,0,6.93,0
3.625,0,6.94,0
3.667,0,6.93,0
3.708,0,6.93,0
3.750,0,6.94,0
3.792,0,6.93,0
3.833,0,6.94,0
3.875,0,6.93,0
3.917,0,6.94,0
3.958,0,6.93,0
4.000,0,6.94,0
4.042,0,6.93,0
4.083,0,6.94,0
4.125,0,6.93,0
4.167,0,6.94,0
4.208,0,6.93,0
4.250,0,6.94,0
4.292,0,6.93,0
4.333,0,6.93,0
4.375,0,6.94,0
4.417,0,6.93,0
4.458,0,6.94,0
4.500,0,6.93,0
4.542,0,6.924,0
4.583,0,6.93,0
4.625,0,6.956,0
4.667,0,6.914,0
4.708,0,6.956,0
4.750,0,6.93,0
4.792,0,6.93,0
4.833,0,6.94,0
4.875,0,6.93,0
4.917,0,6.94,0
4.958,0,6.93,0
5.000,0,6.924,0
5.042,0,6.93,0
5.083,0,6.94,0
5.125,0,6.93,0
5.167,0,6.94,0
5.208,0,6.93,0
5.250,0,6.93,0
5.292,0,6.94,0
5.333,0,6.93,0
5.375,0,6.94,0
5.417,0,6.93,0
5.458,0,6.94,0
