 Branch:,           3 , # of structures:,           3 , outlet temperatures
      JDAY,      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,
    1.0000,      0.00,      0.00,      0.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    1.0420,    -99.00,      8.99,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    1.0838,    -99.00,      8.98,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    1.1257,    -99.00,      8.98,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    1.1670,    -99.00,      8.97,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    1.2088,    -99.00,      8.96,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    1.2507,    -99.00,      8.95,    -99.00,      0.00,      6.92,      0.00,    301.90,    340.05,    368.81,
    1.2920,    -99.00,      8.94,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    1.3338,    -99.00,      8.93,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    1.3757,    -99.00,      8.93,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    1.4170,    -99.00,      8.92,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    1.4588,    -99.00,      8.92,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    1.5007,    -99.00,      8.93,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    1.5427,    -99.00,      8.93,    -99.00,      0.00,      6.96,      0.00,    301.90,    340.05,    368.81,
    1.5842,    -99.00,      8.96,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    1.6257,    -99.00,      9.02,    -99.00,      0.00,      6.92,      0.00,    301.90,    340.05,    368.81,
    1.6677,    -99.00,      9.03,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    1.7092,    -99.00,      9.03,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    1.7507,    -99.00,      9.02,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    1.7925,    -99.00,      9.01,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    1.8342,    -99.00,      9.00,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    1.8762,    -99.00,      8.99,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    1.9176,    -99.00,      8.98,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    1.9594,    -99.00,      8.98,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    2.0014,    -99.00,      8.97,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    2.0427,    -99.00,      8.96,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    2.0843,    -99.00,      8.95,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    2.1264,    -99.00,      8.95,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    2.1677,    -99.00,      8.94,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    2.2098,    -99.00,      8.93,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    2.2514,    -99.00,      8.92,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    2.2927,    -99.00,      8.92,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    2.3347,    -99.00,      8.91,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    2.3764,    -99.00,      8.91,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    2.4184,    -99.00,      8.91,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    2.4599,    -99.00,      8.91,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    2.5014,    -99.00,      8.90,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    2.5434,    -99.00,      8.90,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    2.5850,    -99.00,      8.90,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    2.6264,    -99.00,      8.90,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    2.6684,    -99.00,      8.90,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    2.7100,    -99.00,      8.89,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    2.7514,    -99.00,      8.89,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    2.7934,    -99.00,      8.89,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    2.8350,    -99.00,      8.88,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    2.8771,    -99.00,      8.88,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    2.9184,    -99.00,      8.88,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    2.9604,    -99.00,      8.87,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    3.0021,    -99.00,      8.87,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    3.0434,    -99.00,      8.86,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    3.0854,    -99.00,      8.86,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    3.1268,    -99.00,      8.85,    -99.00,      0.00,      6.91,      0.00,    301.90,    340.05,    368.81,
    3.1684,    -99.00,      8.85,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    3.2104,    -99.00,      8.84,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    3.2521,    -99.00,      8.84,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    3.2941,    -99.00,      8.83,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    3.3356,    -99.00,      8.83,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
