$Lewiston qdt year 2016 YC 06/21/22 upd.,
",,,",
JDAY,qdt
1.000,-22.069549630
1.042,-4.089472600
1.083,-15.643640130
1.125,32.546154530
1.167,-4.128537467
1.208,8.879257200
1.250,-0.196845467
1.292,3.149926533
1.333,4.119386533
1.375,-3.220501300
1.417,6.042149033
1.458,30.920413330
1.500,1.532577333
1.542,-0.197920200
1.583,6.386358433
1.625,-13.146003670
1.667,-31.242692930
1.708,13.345966970
1.750,-21.383527230
1.792,2.460019400
1.833,3.835190733
1.875,6.821447067
1.917,-7.818330367
1.958,5.464312767
2.000,5.141257200
2.042,3.281445400
2.083,-10.323537470
2.125,1.970964300
2.167,4.109114700
2.208,4.370257200
2.250,-1.323335933
2.292,-0.662394800
2.333,-1.550214333
2.375,4.845386533
2.417,-1.115695433
2.458,1.081531367
2.500,3.873829433
2.542,28.995589400
2.583,-11.969873200
2.625,10.422777630
2.667,-3.986202833
2.708,-25.420678230
2.750,13.326233000
2.792,-14.991688700
2.833,-3.427271700
2.875,-0.913360700
2.917,-2.178829767
2.958,8.662382567
3.000,7.407154533
3.042,-3.619054633
3.083,-4.856194967
3.125,2.515386533
3.167,-0.595157300
3.208,1.672367700
3.250,1.120605200
3.292,-1.347719967
3.333,3.768605200
3.375,1.273586367
3.417,-0.512176133
3.458,1.889624033
3.500,-3.087194967
3.542,3.617624033
3.583,26.106275930
3.625,1.673935000
3.667,3.478771900
3.708,1.558305233
3.750,-6.595544400
3.792,-1.628386867
3.833,-3.075967400
3.875,-3.050177200
3.917,-34.824381770
3.958,6.261880830
4.000,0.083154533
4.042,-6.216537467
4.083,-5.936640133
4.125,2.224257200
4.167,7.450257200
4.208,1.751257200
4.250,-0.035299900
4.292,-0.617640133
4.333,2.281359867
4.375,5.732154533
4.417,-0.227640133
4.458,-5.252537467
4.500,36.876163730
4.542,-13.834986800
4.583,7.869810300
4.625,3.055851033
4.667,-3.507547267
4.708,-26.039683730
4.750,12.634254300
4.792,0.184912533
4.833,-0.128123300
4.875,-39.387603600
4.917,18.953901570
4.958,8.248285633
5.000,0.975191667
5.042,-0.207654600
5.083,3.814445400
5.125,6.371947933
5.167,0.927159367
5.208,3.552456500
5.250,-4.005537467
5.292,-22.051494070
5.333,28.625344300
5.375,4.310914200
5.417,1.611605200
5.458,3.742198100
5.500,0.954012067
5.542,0.891981600
5.583,31.334332470
5.625,-5.135611200
5.667,6.819453533
5.708,-43.550314030
5.750,21.606001930
5.792,8.499895800
5.833,-19.233158170
5.875,14.963413530
5.917,-33.337911530
5.958,10.584459270
6.000,0.573257200
6.042,2.245318430
6.083,0.153256400
6.125,7.206747433
6.167,2.836548067
6.208,-11.223606670
6.250,8.711595930
6.292,-16.218716930
6.333,32.029414400
6.375,8.628779000
6.417,-2.082927230
6.458,6.533641167
6.500,3.325041767
6.542,2.761386533
6.583,1.782048100
6.625,33.473200270
6.667,-19.636475770
6.708,-14.231598070
6.750,12.206348030
6.792,-11.366425870
6.833,10.330535900
6.875,11.974019730
6.917,2.581474230
6.958,4.269888967
7.000,16.596309630
7.042,-3.161573200
7.083,-2.096713670
7.125,-3.697072467
7.167,1.740328500
7.208,-5.058079333
7.250,-38.816843800
7.292,6.978636870
7.333,0.912597433
7.375,-3.236451933
7.417,-1.894451933
7.458,-3.168404200
7.500,2.777565467
7.542,8.965462833
7.583,-0.488132933
7.625,-0.610640133
7.667,1.776257200
7.708,1.691494700
7.750,2.220019700
7.792,3.131257200
7.833,0.970494700
7.875,-1.395640133
7.917,2.911019700
7.958,3.883392033
8.000,-0.757451933
8.042,0.298122367
8.083,0.845494700
8.125,1.856019700
8.167,0.974494700
8.208,3.597257200
8.250,-3.293774967
8.292,-0.631132933
8.333,2.944565600
8.375,2.192692533
8.417,6.524719400
8.458,-0.797136800
8.500,4.706913767
8.542,-4.754296300
8.583,0.315210700
8.625,8.056902367
8.667,-0.815446800
8.708,33.910992470
8.750,-11.621991330
8.792,12.899533130
8.833,4.544583233
8.875,0.221626433
8.917,-0.674652167
8.958,2.865540533
9.000,-31.190802430
9.042,5.841386470
9.083,-3.386394800
9.125,-7.301957467
9.167,0.048605200
9.208,3.728605200
9.250,6.339386533
9.292,2.445823867
9.333,-11.698540930
9.375,11.393888970
9.417,26.433048870
9.458,-12.624743170
9.500,7.709444000
9.542,3.792505567
9.583,-0.892609367
9.625,0.661773967
9.667,-4.587460067
9.708,-9.472463430
9.750,7.312861933
9.792,0.360053933
9.833,-9.170769000
9.875,3.599169067
9.917,5.790889130
9.958,-2.559863367
10.000,-20.092090500
10.042,19.652588400
10.083,2.134454967
10.125,-6.685799733
10.167,0.041198100
10.208,4.082200267
10.250,6.756386533
10.292,-1.432799733
10.333,-0.610545033
10.375,3.642386533
10.417,0.196823867
10.458,1.735605200
10.500,30.298116530
10.542,-9.496806870
10.583,7.351366300
10.625,-1.769351800
10.667,1.355246033
10.708,-5.057843300
10.750,-0.859375867
10.792,-4.678672333
10.833,-39.645878100
10.875,9.048502630
10.917,-3.736392170
10.958,-7.400709133
11.000,8.787071030
11.042,0.577507600
11.083,11.710392030
11.125,-0.693727633
11.167,2.409494700
11.208,0.307810533
11.250,-6.898186400
11.292,-9.108050800
11.333,-7.822458130
11.375,16.144997000
11.417,18.325432700
11.458,16.313994200
11.500,3.756027900
11.542,17.587189130
11.583,0.869211600
11.625,5.019629067
11.667,-4.216533000
11.708,-4.213186667
11.750,-0.034995567
11.792,-8.284293500
11.833,-0.608476200
11.875,-7.239421400
11.917,-26.248472770
11.958,4.162618900
12.000,2.302793933
12.042,-7.063000733
12.083,-1.775000733
12.125,3.396896600
12.167,4.561793933
12.208,2.011999267
12.250,5.318524633
12.292,13.996942970
12.333,-4.233251700
12.375,2.943744000
12.417,-11.177063970
12.458,12.772715570
12.500,-2.844357233
12.542,-32.839205270
12.583,15.035749130
12.625,2.867051000
12.667,1.534771400
12.708,-1.768035900
12.750,-5.367053033
12.792,6.395114100
12.833,11.586861100
12.875,1.395190067
12.917,4.868011433
12.958,-2.157783233
13.000,30.882255170
13.042,6.213407267
13.083,16.539525230
13.125,-9.248352567
13.167,-42.559898030
13.208,16.521240430
13.250,-10.996597000
13.292,-15.736687200
13.333,-1.096364600
13.375,10.073277830
13.417,27.366088330
13.458,0.207527667
13.500,25.366462100
13.542,0.861462100
13.583,2.458680767
13.625,17.836024770
13.667,-4.820537900
13.708,-3.728975233
13.750,23.638423170
13.792,6.894363567
13.833,9.012403933
13.875,1.210670067
13.917,0.488950767
13.958,-32.274157100
14.000,6.424857470
14.042,1.409011433
14.083,-6.850783233
14.125,-0.170537900
14.167,3.331243433
14.208,4.423462100
14.250,21.770999930
14.292,5.912442900
14.333,-0.960009267
14.375,5.963782000
14.417,-2.474204000
14.458,2.038104200
14.500,0.611810167
14.542,3.839473000
14.583,-31.958767000
14.625,13.502968770
14.667,2.798932930
14.708,-5.325676567
14.750,-2.984511000
14.792,14.736542300
14.833,4.733580567
14.875,12.570984730
14.917,-0.650783233
14.958,4.284066433
15.000,8.214998067
15.042,-1.846319233
15.083,2.478462100
15.125,5.339243433
15.167,-0.611537900
15.208,0.861462100
15.250,30.133947170
15.292,1.620189000
15.333,6.082303933
15.375,-35.673272100
15.417,10.416081170
15.458,-0.142885900
15.500,-6.879783233
15.542,-5.429885900
15.583,38.212519730
15.625,-1.865182300
15.667,7.624170900
15.708,1.147924500
15.750,-41.080598430
15.792,7.288830970
15.833,2.442908767
15.875,-3.371885900
15.917,-3.450885900
15.958,5.535011433
16.000,7.914011433
16.042,2.571114100
16.083,4.397984733
16.125,2.533066433
16.167,1.893011433
16.208,6.330882067
16.250,4.018066433
16.292,2.337087400
16.333,7.170963767
16.375,-0.199783233
16.417,5.666882067
16.458,0.845169100
16.500,8.402779400
16.542,22.853272730
16.583,1.565067900
16.625,9.214460033
16.667,1.524802667
16.708,-25.753497700
16.750,9.598640900
16.792,-0.409988567
16.833,1.011011433
16.875,0.177011433
16.917,2.036114100
16.958,5.961011433
17.000,5.846011433
17.042,3.856011433
17.083,1.303114100
17.125,0.688114100
17.167,6.163908767
17.208,5.629011433
17.250,6.697908767
17.292,7.915806100
17.333,5.392908767
17.375,6.650908767
17.417,2.358438167
17.458,20.956772130
17.500,16.891120530
17.542,11.105821900
17.583,15.954653230
17.625,14.873348200
17.667,23.195562170
17.708,26.506692930
17.750,20.789623570
17.792,15.269600770
17.833,14.301498100
17.875,13.244600770
17.917,9.274703430
17.958,11.650703430
18.000,11.111703430
18.042,7.157806100
18.083,10.632676730
18.125,5.392963767
18.167,10.158779400
18.208,5.299963767
18.250,9.513806100
18.292,5.357908767
18.333,6.003882067
18.375,6.036908767
18.417,7.394908767
18.458,6.649908767
18.500,3.461066433
18.542,7.398882067
18.583,3.538011433
18.625,7.347908767
18.667,3.081908767
18.708,20.240213000
18.750,5.562712867
18.792,6.050565967
18.833,4.101555233
18.875,4.590341667
18.917,1.139631633
18.958,3.337454967
19.000,14.712752970
19.042,1.515451767
19.083,-24.467021670
19.125,15.297579930
19.167,0.159011433
19.208,0.356011433
19.250,4.670806100
19.292,5.908908767
19.333,13.735703430
19.375,4.148011433
19.417,3.269011433
19.458,5.863908767
19.500,9.922908767
19.542,3.044181233
19.583,10.119334300
19.625,9.517806100
19.667,9.246806100
19.708,3.109011433
19.750,3.035984733
19.792,5.888861100
