$Lewiston qdt year 2017 YC 06/22/22,
",,,",
JDAY,qdt
1.000,3.365393933
1.042,-11.722092730
1.083,1.162496600
1.125,5.637393933
1.167,-1.018400733
1.208,1.111271800
1.250,0.628086367
1.292,3.183890067
1.333,2.879929167
1.375,1.201357567
1.417,2.774418267
1.458,0.087076533
1.500,9.995305733
1.542,-6.090655433
1.583,-0.360363700
1.625,-4.054796533
1.667,2.248636300
1.708,39.862939270
1.750,-14.822866070
1.792,2.147778600
1.833,-0.991032067
1.875,-36.526279570
1.917,12.888649470
1.958,-0.903400733
2.000,-4.740298067
2.042,-5.133503400
2.083,5.928291267
2.125,0.802496600
2.167,-1.760400733
2.208,1.536496600
2.250,2.379496600
2.292,1.630496600
2.333,-0.483284733
2.375,0.925844600
2.417,0.908100500
2.458,3.161299600
2.500,2.295636300
2.542,1.831529200
2.583,0.232481667
2.625,3.366603033
2.667,29.547323930
2.708,-29.670745530
2.750,-2.214481133
2.792,1.338030300
2.833,7.876555733
2.875,-5.534001367
2.917,5.753097267
2.958,-0.303936733
3.000,-4.295936733
3.042,1.466844600
3.083,4.198625933
3.125,-0.474161533
3.167,0.950069400
3.208,-0.163076600
3.250,-1.263855933
3.292,4.314704733
3.333,-1.142853933
3.375,4.498251733
3.417,-0.444830233
3.458,1.141650900
3.500,0.895465500
3.542,37.352464730
3.583,-10.522744000
3.625,9.393397830
3.667,0.511559800
3.708,-31.851484730
3.750,16.458728670
3.792,-19.213380070
3.833,4.777804000
3.875,4.295576900
3.917,22.584521070
3.958,-33.059443900
4.000,13.052122930
4.042,1.448029100
4.083,1.157157567
4.125,-7.610842433
4.167,4.596952233
4.208,1.060054900
4.250,37.491737900
4.292,-14.100651570
4.333,10.260987230
4.375,-36.459313370
4.417,23.561765070
4.458,-8.524703667
4.500,-13.653055730
4.542,-25.780441830
4.583,26.282605600
4.625,-0.811539133
4.667,6.149164933
4.708,37.036786100
4.750,-13.368603500
4.792,-2.584425367
4.833,7.655022800
4.875,32.730839600
4.917,-37.354137300
4.958,5.810159800
5.000,-1.421552133
5.042,-2.277645533
5.083,-3.762805400
5.125,3.653852033
5.167,6.816787300
5.208,-1.233586733
5.250,1.374194600
5.292,1.937194600
5.333,-1.468558433
5.375,2.564658500
5.417,-0.193968833
5.458,2.931222900
5.500,1.907214600
5.542,-1.232612433
5.583,3.674224033
5.625,0.888613600
5.667,36.790491500
5.708,-19.370323270
5.750,-23.539159000
5.792,10.239237470
5.833,-8.817632067
5.875,5.552871900
5.917,2.530322300
5.958,5.821596367
6.000,0.451242467
6.042,-3.633339767
6.083,3.575004233
6.125,1.053194600
6.167,1.925194600
6.208,-4.016558433
6.250,1.053194600
6.292,35.672196100
6.333,-13.289957270
6.375,7.743308933
6.417,-24.022616700
6.458,4.504328067
6.500,2.791838467
6.542,-9.115408667
6.583,2.311369000
6.625,-5.108461300
6.667,-6.010516533
6.708,1.083684633
6.750,0.579037700
6.792,0.523655933
6.833,5.983128700
6.875,27.990790230
6.917,-37.843838930
6.958,2.973063767
7.000,0.994597000
7.042,-1.550216633
7.083,2.151304500
7.125,1.101787800
7.167,1.149162000
7.208,5.583743933
7.250,6.897282267
7.292,1.102464900
7.333,3.557492233
7.375,3.668378433
7.417,1.053194600
7.458,1.412253367
7.500,6.193445633
7.542,-1.239586733
7.583,2.300194600
7.625,0.889877167
7.667,2.946420900
7.708,1.577325433
7.750,0.833908333
7.792,2.607365933
7.833,5.696864800
7.875,30.653740270
7.917,-34.667811300
7.958,6.028862200
8.000,-6.343734567
8.042,-3.674323800
8.083,0.891967300
8.125,7.042392167
8.167,5.957975933
8.208,6.734757267
8.250,3.826897133
8.292,9.192170967
8.333,2.869402900
8.375,8.748746900
8.417,5.291169633
8.458,15.036325170
8.500,48.411752070
8.542,-20.288153200
8.583,18.029470900
8.625,7.763136633
8.667,8.489816630
8.708,-11.127717570
8.750,14.962580670
8.792,-2.666412067
8.833,-18.060108000
8.875,21.634375330
8.917,8.060630370
8.958,3.756279733
9.000,14.983857200
9.042,9.510710330
9.083,2.848607233
9.125,6.200707067
9.167,8.780244800
9.208,6.266872467
9.250,6.295879967
9.292,5.078053333
9.333,10.675546370
9.375,4.549686233
9.417,12.624836300
9.458,3.340089500
9.500,-0.982833367
9.542,7.940938133
9.583,10.989375630
9.625,4.853448167
9.667,6.084260433
9.708,-16.219214930
9.750,20.268430230
9.792,-3.436370800
9.833,11.874631200
9.875,61.720096230
9.917,-18.525431330
9.958,8.765415600
10.000,8.634008433
10.042,6.165274933
10.083,0.671861300
10.125,6.106920333
10.167,-4.049397733
10.208,20.762077130
10.250,3.799936000
10.292,11.299263170
10.333,8.689185500
10.375,15.259338030
10.417,6.576889167
10.458,16.431090900
10.500,9.886528230
10.542,10.636590730
10.583,17.769090900
10.625,11.591528230
10.667,13.792309570
10.708,40.387671900
10.750,9.865507100
10.792,22.968187830
10.833,6.108165230
10.875,-17.471735070
10.917,24.756195900
10.958,9.764239400
11.000,13.191359800
11.042,7.054254167
11.083,-7.861728000
11.125,18.904910030
11.167,8.877033867
11.208,-7.559235400
11.250,43.903473170
11.292,4.635567130
11.333,41.668030770
11.375,-19.543845400
11.417,17.073640030
11.458,-1.036437533
11.500,3.078302267
11.542,10.984538600
11.583,9.378538600
11.625,9.350776500
11.667,5.359641267
11.708,40.986989370
11.750,-6.228680070
11.792,12.139321300
11.833,8.594300100
11.875,-35.246581870
11.917,19.987099630
11.958,3.618746900
12.000,-1.386047767
12.042,0.236952233
12.083,3.669952233
12.125,6.835849567
12.167,3.622952233
12.208,7.015849567
12.250,4.290952233
12.292,15.490011500
12.333,0.439537400
12.375,2.264089600
12.417,-6.438355933
12.458,7.154981933
12.500,8.130806167
12.542,3.341908833
12.583,1.395098600
12.625,6.560629067
12.667,1.416558033
12.708,3.860700533
12.750,-0.471820600
12.792,3.875558033
12.833,3.878444633
12.875,7.777908833
12.917,4.918908833
12.958,7.040908833
13.000,2.912011500
13.042,4.129908833
13.083,1.428011500
13.125,3.990908833
13.167,0.987558033
13.208,1.333319700
13.250,1.454019200
13.292,38.923649800
13.333,0.494912433
13.375,1.188305967
13.417,-29.631924970
13.458,12.450106270
13.500,6.535009933
13.542,-0.515974433
13.583,-4.248505800
13.625,6.675986367
13.667,3.860700533
13.708,27.800101470
13.750,-26.897437470
13.792,-0.523584800
13.833,6.017320533
13.875,6.729995467
13.917,1.675976100
13.958,0.859179400
14.000,27.069300030
14.042,-9.229049867
14.083,3.324650733
14.125,7.224722400
14.167,-0.004989567
14.208,1.519539433
14.250,-1.911543000
14.292,-30.616657500
14.333,20.495846630
14.375,1.285347130
14.417,8.262499600
14.458,5.764073633
14.500,1.634573200
14.542,2.364538600
14.583,5.513377133
14.625,0.199333200
14.667,25.706542730
14.708,-6.720642200
14.750,-7.533048230
14.792,-0.062548033
14.833,6.649190933
14.875,10.247295000
14.917,-1.539824300
14.958,2.221432600
15.000,-19.846297730
15.042,12.906181400
15.083,3.106164267
15.125,2.309993600
15.167,-4.824595100
15.208,6.440425767
15.250,3.886507333
15.292,33.713190330
15.333,-2.814138067
15.375,1.858768500
15.417,-13.899311330
15.458,10.290072130
15.500,4.618514100
15.542,2.256681200
15.583,-3.052318800
15.625,4.200462533
15.667,2.196362200
15.708,34.900955670
15.750,-9.111936470
15.792,7.201871833
15.833,4.743486633
15.875,-39.366622830
15.917,15.486452470
15.958,0.609780233
16.000,-7.322327533
16.042,-4.866299233
16.083,4.938495433
16.125,3.355569800
16.167,3.775569800
16.208,-0.070327533
16.250,2.102569800
16.292,0.895549167
16.333,0.390600867
16.375,4.718973267
16.417,0.073161233
16.458,3.754038667
16.500,3.834197067
16.542,5.295464700
16.583,-0.115124867
16.625,4.344789567
16.667,3.033745167
16.708,38.028092170
16.750,-11.495060330
16.792,-13.253719500
16.833,14.218507300
16.875,-29.507369400
16.917,8.750299467
16.958,10.425825370
17.000,-8.201722867
17.042,2.035758000
17.083,4.406467133
17.125,-2.096644867
17.167,4.390699133
17.208,1.889917800
17.250,11.045889770
17.292,9.850464130
17.333,-22.596266000
17.375,11.467727700
17.417,7.275462533
17.458,-2.856100133
17.500,-1.947318800
17.542,1.814362200
17.583,5.600462533
17.625,22.387694800
17.667,-6.485036667
17.708,18.344936730
17.750,-3.786646067
17.792,-2.045961333
17.833,-14.196706300
17.875,-8.658820033
17.917,-2.888455133
17.958,6.389782033
18.000,4.430090933
18.042,-3.429835933
18.083,0.573024800
18.125,5.342922133
18.167,-3.413109467
18.208,5.125661333
18.250,1.647538600
18.292,16.330129300
18.333,3.256499933
18.375,-1.022982067
18.417,3.407694367
18.458,-5.787084033
18.500,12.506174000
18.542,7.234364467
18.583,-0.390327533
18.625,4.912467133
18.667,4.262495433
18.708,19.749200870
18.750,7.474178000
18.792,-1.583158200
18.833,9.301681867
18.875,-17.759957770
18.917,15.517835000
18.958,7.145364467
19.000,3.936467133
19.042,1.248467133
19.083,4.308467133
19.125,4.957467133
19.167,6.871364467
19.208,22.561364600
19.250,4.016586267
19.292,8.130955200
19.333,-5.104227600
19.375,-2.919368167
19.417,-9.555457200
19.458,11.077971130
19.500,7.591927300
19.542,5.348553700
19.583,-0.418301833
19.625,1.680140200
19.667,5.598109433
19.708,23.613695570
19.750,-0.511790433
19.792,5.705416900
19.833,8.435811933
19.875,-17.209635970
