$Lewiston qdt year 2018 YC 06/23/22 modified from old qdt,
",,,",
JDAY,qdt
1.000,0.540898667
1.042,54.702986600
1.083,-0.736341667
1.125,4.043641167
1.167,1.324641167
1.208,-0.830256167
1.250,1.503226567
1.292,2.005893500
1.333,-0.786218533
1.375,2.569678800
1.417,-3.252115867
1.458,1.082490600
1.500,-0.013218533
1.542,2.129678800
1.583,1.926755200
1.625,-1.505942733
1.667,-0.422978533
1.708,-0.148566100
1.750,34.568314400
1.792,-19.756501130
1.833,12.150231130
1.875,-5.864442633
1.917,-45.472744030
1.958,20.986110300
2.000,-6.789735033
2.042,-9.614039867
2.083,-7.086406733
2.125,3.476605200
2.167,-0.452923233
2.208,0.277481067
2.250,-0.232623233
2.292,-0.374914100
2.333,1.465957300
2.375,-0.434000033
2.417,-0.486480733
2.458,-0.870623233
2.500,-0.520216133
2.542,2.478431300
2.583,1.226838600
2.625,31.511729200
2.667,-17.986293570
2.708,4.640551700
2.750,-33.610906400
2.792,-3.710852033
2.833,-2.536798233
2.875,0.403083400
2.917,22.554390200
2.958,-28.837105230
3.000,13.263492300
3.042,-6.981729367
3.083,-7.367945433
3.125,-4.278660633
3.167,2.195528000
3.208,-0.473368533
3.250,-2.670558767
3.292,-8.442694000
3.333,11.857018930
3.375,2.324055067
3.417,-0.388726700
3.458,-1.576406733
3.500,-0.179811433
3.542,1.720274100
3.583,3.666251233
3.625,33.977361830
3.667,-21.383858470
3.708,2.646997670
3.750,-69.137392400
3.792,18.020227530
3.833,49.111308300
3.875,0.329750400
3.917,-40.369270800
3.958,13.755540200
4.000,-1.073230800
4.042,-10.623299430
4.083,-5.222520567
4.125,2.261416600
4.167,-1.553480733
4.208,0.939490600
4.250,-1.314660233
4.292,-1.830999633
4.333,1.663974100
4.375,0.121263767
4.417,0.881680000
4.458,-1.480405533
4.500,-0.941405533
4.542,0.873376767
4.583,0.362436300
4.625,28.132287630
4.667,-31.689132600
4.708,-9.375373567
4.750,-1.537394933
4.792,5.305510633
4.833,-3.770398767
4.875,3.335182533
4.917,-10.194553300
4.958,2.202362600
5.000,1.501892200
5.042,-6.257765267
5.083,0.271616900
5.125,-4.403189733
5.167,-5.193388467
5.208,-9.889543667
5.250,-0.545029100
5.292,-1.063579133
5.333,1.952952867
5.375,2.905400633
5.417,-7.185929500
5.458,2.212405267
5.500,-6.506085667
5.542,-13.731218370
5.583,23.668374530
5.625,-12.438417130
5.667,-3.227828230
5.708,-25.617355570
5.750,-3.782932133
5.792,-5.127933833
5.833,13.043888100
5.875,-1.517065867
5.917,-43.793072800
5.958,17.628045470
6.000,-0.710038870
6.042,-3.145382533
6.083,-5.434708767
6.125,3.780387933
6.167,-1.320518533
6.208,-0.591811433
6.250,-0.671999633
6.292,-1.691999633
6.333,3.028490600
6.375,-0.046623633
6.417,-0.289999233
6.458,1.655087900
6.500,1.019652800
6.542,-1.547939933
6.583,2.297802800
6.625,-0.389373333
6.667,1.565314800
6.708,0.204107200
6.750,-3.201179867
6.792,-3.258963033
6.833,1.118827000
6.875,12.576696400
6.917,-13.774477770
6.958,-3.744210300
7.000,-15.521867370
7.042,9.618266233
7.083,-3.039170433
7.125,-8.295859167
7.167,-0.150894300
7.208,-0.759375833
7.250,-8.884930630
7.292,8.213042933
7.333,-6.527269667
7.375,1.481934867
7.417,23.110700900
7.458,-12.881677770
7.500,5.252940267
7.542,1.954053633
7.583,-3.491830533
7.625,-5.294998000
7.667,11.128857630
7.708,-21.533477300
7.750,-3.586748733
7.792,0.198457800
7.833,16.656129430
7.875,-11.828318400
7.917,-15.861177170
7.958,-4.420619100
8.000,6.951158233
8.042,-8.848477867
8.083,1.202669800
8.125,-0.693665833
8.167,1.478934400
8.208,1.314746200
8.250,-1.534808733
8.292,0.908784400
8.333,22.655419370
8.375,-12.245861300
8.417,11.488942130
8.458,1.461495633
8.500,-11.705081900
8.542,-22.157375430
8.583,13.139762030
8.625,20.314220700
8.667,-31.063999500
8.708,-18.270753870
8.750,12.035389900
8.792,-9.831598267
8.833,-4.515418067
8.875,2.997975033
8.917,0.911217500
8.958,-0.403435067
9.000,-5.897855700
9.042,0.885217500
9.083,3.666700200
9.125,-2.581765367
9.167,5.561446333
9.208,-2.999877967
9.250,-6.647084370
9.292,30.547943670
9.333,-7.033019800
9.375,0.081603333
9.417,-20.244279330
9.458,7.123985433
9.500,-1.636105900
9.542,-1.157276567
9.583,-3.175124800
9.625,9.307961400
9.667,13.945528200
9.708,-14.898267300
9.750,15.005374770
9.792,-24.410972700
9.833,-17.015728370
9.875,4.020335567
9.917,-1.503270333
9.958,-7.425329600
10.000,1.470212400
10.042,2.495467100
10.083,0.827683600
10.125,-1.540316833
10.167,-1.152760133
10.208,0.908278900
10.250,-0.848430233
10.292,-0.964627967
10.333,3.957099500
10.375,-6.810753900
10.417,7.123519067
10.458,-3.579702567
10.500,2.727547267
10.542,-2.348136733
10.583,-1.719363233
10.625,-3.357550233
10.667,-6.378911100
10.708,-1.199278333
10.750,-1.468161933
10.792,-0.147271000
10.833,-8.844809133
10.875,7.164709200
10.917,7.873515370
10.958,-3.414799833
11.000,-17.768460000
11.042,7.231230133
11.083,-0.592356233
11.125,-3.135538533
11.167,-3.373981033
11.208,1.744358800
11.250,-1.078002967
11.292,2.408223567
11.333,2.020934467
11.375,-2.528580333
11.417,0.976784600
11.458,0.063673167
11.500,1.214710167
11.542,1.001632000
11.583,31.298358900
11.625,-18.952218170
11.667,12.531347870
11.708,-5.876626730
11.750,-32.395573900
11.792,-6.209961167
11.833,-1.973916700
11.875,-15.210863130
11.917,4.893524230
11.958,2.567099830
12.000,-3.165725567
12.042,-5.736053833
12.083,2.149843500
12.125,4.488031700
12.167,0.162134367
12.208,-1.889418133
12.250,-0.929326033
12.292,0.958191500
12.333,1.287304100
12.375,-2.782447967
12.417,1.317861200
12.458,1.344005467
12.500,1.705114700
12.542,-1.587871233
12.583,31.280086600
12.625,-13.891789430
12.667,5.921617900
12.708,-70.359600370
12.750,35.149537270
12.792,0.039927933
12.833,1.314449700
12.875,26.046365370
12.917,-6.765346467
12.958,-4.305321367
13.000,-32.526392200
13.042,9.710035930
13.083,-5.017537333
13.125,-6.033865633
13.167,-4.843763733
13.208,1.631869400
13.250,2.644304800
13.292,-0.479585033
13.333,-1.122480733
13.375,-0.711923233
13.417,1.181493000
13.458,-0.961290133
13.500,-1.392903933
13.542,27.265484000
13.583,-8.273848830
13.625,5.609750267
13.667,-9.025111700
13.708,-1.845659567
13.750,-30.944317200
13.792,2.193525533
13.833,-14.734798030
13.875,3.099228533
13.917,-15.581271200
13.958,7.461434200
14.000,-3.317311467
14.042,0.585102167
14.083,-10.277922870
14.125,-0.320025533
14.167,2.373060000
14.208,-1.055582633
14.250,0.486165467
14.292,-0.407295467
14.333,-4.433919333
14.375,4.079133300
14.417,-0.387091433
14.458,-0.652417733
14.500,0.351243867
14.542,-0.558784800
14.583,40.886953200
14.625,-18.653149630
14.667,10.834127670
14.708,-7.008469830
14.750,-30.108020970
14.792,-3.605321333
14.833,-4.961145833
14.875,10.579798300
14.917,-26.062705200
14.958,4.984363733
15.000,7.450359233
15.042,-7.186105567
15.083,-7.168376233
15.125,-1.677651533
15.167,0.892462300
15.208,2.902237067
15.250,-0.665509433
15.292,-1.692509033
15.333,3.171181700
15.375,1.169217500
15.417,-1.699272733
15.458,-1.229536533
15.500,-0.181980633
15.542,3.493888433
15.583,-4.014802767
15.625,0.847069100
15.667,28.598789770
15.708,-24.038809600
15.750,-8.769402767
15.792,2.305041033
15.833,23.651998270
15.875,-38.089911170
15.917,2.612513133
15.958,8.404700233
16.000,-2.830056233
16.042,-0.432715200
16.083,0.868180900
16.125,-0.243234533
16.167,-0.126562800
16.208,-1.560131033
16.250,1.203029300
16.292,-1.692056233
16.333,-1.221790833
16.375,2.384804500
16.417,-1.406868033
16.458,2.607248200
16.500,-1.105589833
16.542,0.747784400
16.583,-1.542223333
16.625,0.217927867
16.667,3.727314833
16.708,29.391170600
16.750,-27.845412100
16.792,-3.761020133
16.833,-4.761874567
16.875,17.160430930
16.917,-14.068404900
16.958,6.944616230
17.000,-41.387872700
17.042,7.213513333
17.083,2.610350867
17.125,0.187350867
17.167,-2.300902633
17.208,4.254410900
17.250,1.167031700
17.292,-1.717979033
17.333,-0.144978833
17.375,-0.905930533
17.417,2.022325400
17.458,-0.705818833
17.500,1.787153300
17.542,-1.563363433
17.583,29.213644600
17.625,-7.805485400
17.667,4.041827130
17.708,-4.631116200
17.750,-31.190734300
17.792,8.025300533
17.833,-21.800116800
17.875,3.805895433
17.917,-14.525082000
17.958,8.669664500
18.000,2.862693500
18.042,-2.108470067
18.083,-7.483270333
18.125,2.436250600
18.167,3.397740833
18.208,1.751627000
18.250,2.582438800
18.292,0.544172567
18.333,1.556956100
18.375,0.959438800
18.417,-0.848978233
18.458,1.539993500
18.500,-1.267203833
18.542,2.539881700
18.583,0.834843500
18.625,31.861525070
18.667,-19.476011370
18.708,-15.590319530
18.750,-3.337575033
18.792,-4.320455067
18.833,3.196189933
18.875,-14.135345970
18.917,17.933251300
18.958,-8.563507867
19.000,-9.718139767
19.042,-1.638731000
19.083,1.452843500
19.125,3.698588600
19.167,-2.642544067
19.208,0.527910000
19.250,2.262997500
19.292,-1.093401933
19.333,-1.125571633
19.375,1.703843400
