$inflow Tw is used for Tw of qdt year 2018 YC 03/14/2023,
",,,",
Julian Date,Inflow_Temp
1,10
1.042,10
1.083,10
1.125,10
1.167,10
1.208,10
1.25,10
1.292,10
1.333,10
1.375,10
1.417,10
1.458,10
1.5,10
1.542,10
1.583,10
1.625,10
1.667,10
1.708,10
1.75,10
1.792,10
1.833,10
1.875,10
1.917,10
1.958,10
2,10
2.042,10
2.083,10
2.125,10
2.167,10
2.208,10
2.25,10
2.292,10
2.333,10
2.375,10
2.417,10
2.458,10
2.5,10
2.542,10
2.583,10
2.625,10
2.667,10
2.708,10
2.75,10
2.792,10
2.833,10
2.875,10
2.917,10
2.958,10
3,10
3.042,10
3.083,10
3.125,10
3.167,10
3.208,10
3.25,10
3.292,10
3.333,10
3.375,10
3.417,10
3.458,10
3.5,10
3.542,10
3.583,10
3.625,10
3.667,10
3.708,10
3.75,10
3.792,10
3.833,10
3.875,10
3.917,10
3.958,10
4,10
4.042,10
4.083,10
4.125,10
4.167,10
4.208,10
4.25,10
4.292,10
4.333,10
4.375,10
4.417,10
4.458,10
4.5,10
4.542,10
4.583,10
4.625,10
4.667,10
4.708,10
4.75,10
4.792,10
4.833,10
4.875,10
4.917,10
4.958,10
5,10
5.042,10
5.083,10
5.125,10
5.167,10
5.208,10
5.25,10
5.292,10
5.333,10
5.375,10
5.417,10
5.458,10
5.5,10
5.542,10
5.583,10
5.625,10
5.667,10
5.708,10
5.75,10
5.792,10
5.833,10
5.875,10
5.917,10
5.958,10
6,10
6.042,10
6.083,10
6.125,10
6.167,10
6.208,10
6.25,10
6.292,10
6.333,10
6.375,10
6.417,10
6.458,10
6.5,10
6.542,10
6.583,10
6.625,10
6.667,10
6.708,10
6.75,10
6.792,10
6.833,10
6.875,10
6.917,10
6.958,10
7,10
7.042,10
7.083,10
7.125,10
7.167,10
7.208,10
7.25,10
7.292,10
7.333,10
7.375,10
7.417,10
7.458,10
7.5,10
7.542,10
7.583,10
7.625,10
7.667,10
7.708,10
7.75,10
7.792,10
7.833,10
7.875,10
7.917,10
7.958,10
8,10
8.042,10
8.083,10
8.125,10
8.167,10
8.208,10
8.25,10
8.292,10
8.333,10
8.375,10
8.417,10
8.458,10
8.5,10
8.542,10
8.583,10
8.625,10
8.667,10
8.708,10
8.75,10
8.792,10
8.833,10
8.875,10
8.917,10
8.958,10
9,10
9.042,10
9.083,10
9.125,10
9.167,10
9.208,10
9.25,10
9.292,10
9.333,10
9.375,10
