$Lewiston inflow sum of individual outflows from Trinity Lake year 2019 YC updated 8/7/23,
",,,",
Julian Date,Inflow
1,0.085
1.042,0.085
1.083,0.085
1.125,0.085
1.167,0.085
1.208,0.085
1.25,0.085
1.292,4.5250001
1.333,23.2520008
1.375,23.7520008
1.417,25.4860001
1.458,29.0470009
1.5,18.382
1.542,17.6140003
1.583,25.8640003
1.625,32.7560005
1.667,23.8969994
1.708,24.6189995
1.75,40.6150017
1.792,41.3790016
1.833,40.8810005
1.875,3.1619999
1.917,0.085
1.958,0.085
2,0.085
2.042,0.085
2.083,0.085
2.125,0.085
2.167,0.085
2.208,0.085
2.25,3.369
2.292,48.2999992
2.333,27.9370003
2.375,27.4220009
2.417,42.8600006
2.458,28.0720005
2.5,26.7989998
2.542,4.1810002
2.583,0.085
2.625,0.085
2.667,0.085
2.708,0.085
2.75,0.085
2.792,0.085
2.833,0.085
2.875,0.085
2.917,0.085
2.958,0.085
3,2.434
3.042,16.2959995
3.083,16.4209995
3.125,16.3589993
3.167,16.4319992
3.208,18.3110008
3.25,22.7019997
3.292,49.7200012
3.333,51.6399994
3.375,51.6570015
3.417,51.6430016
3.458,51.7260017
3.5,51.7389984
3.542,49.5830002
3.583,3.227
3.625,0.085
3.667,0.085
3.708,0.085
3.75,0.085
3.792,0.085
3.833,0.085
3.875,0.085
3.917,0.085
3.958,0.085
4,0.085
4.042,0.085
4.083,0.085
4.125,0.085
4.167,0.085
4.208,0.085
4.25,0.085
4.292,0.085
4.333,0.085
4.375,0.085
4.417,0.085
4.458,0.085
4.5,0.085
4.542,2.9619999
4.583,30.0020008
4.625,50.6809998
4.667,51.5079994
4.708,51.7919998
4.75,51.5830002
4.792,51.7980003
4.833,51.5569992
4.875,49.487999
4.917,3.3199999
4.958,0.085
5,0.085
5.042,0.085
5.083,0.085
5.125,0.085
5.167,0.085
5.208,0.085
5.25,0.085
5.292,0.085
5.333,0.085
5.375,0.085
5.417,0.085
5.458,0.085
5.5,0.085
5.542,0.085
5.583,0.085
5.625,4.3639998
5.667,29.5510006
5.708,31.1140003
5.75,50.637001
5.792,51.7639999
5.833,51.5870018
5.875,51.7169991
5.917,49.5709991
5.958,3.325
6,0.085
6.042,0.085
6.083,0.085
6.125,0.085
6.167,0.085
6.208,0.085
6.25,0.085
6.292,0.085
6.333,0.085
6.375,0.085
6.417,5.9380002
6.458,49.4990005
6.5,49.5509987
6.542,3.214
6.583,0.085
6.625,0.085
6.667,0.085
6.708,0.085
6.75,0.085
6.792,0.085
6.833,0.085
6.875,0.085
6.917,0.085
6.958,0.085
7,0.085
7.042,0.085
7.083,0.085
7.125,0.085
7.167,0.085
7.208,0.085
7.25,0.085
7.292,0.085
7.333,0.085
7.375,0.085
7.417,0.085
7.458,0.085
7.5,0.085
7.542,0.085
7.583,0.085
7.625,0.085
7.667,6.3109999
7.708,49.5629997
7.75,51.4199982
7.792,51.7459984
7.833,50.8419991
7.875,49.1339989
7.917,3.921
7.958,0.085
8,0.085
8.042,0.085
8.083,0.085
8.125,0.085
8.167,0.085
8.208,0.085
8.25,0.085
8.292,0.085
8.333,0.085
8.375,2.3559999
8.417,16.4009991
8.458,16.5529995
8.5,16.4720001
8.542,16.5079994
8.583,16.7590008
8.625,26.6790009
8.667,27.118
8.708,27.9139996
8.75,50.0919991
8.792,41.882
8.833,33.4560013
8.875,32.6329994
8.917,2.668
8.958,0.085
9,0.085
9.042,0.085
9.083,0.085
9.125,0.085
9.167,0.085
9.208,0.085
9.25,0.085
9.292,0.085
9.333,0.085
9.375,0.085
9.417,0.085
9.458,0.085
9.5,0.085
9.542,0.085
9.583,0.085
9.625,0.085
9.667,0.085
9.708,0.085
9.75,5.8130002
9.792,49.2680016
9.833,51.1590004
9.875,44.5180016
9.917,3.2969999
9.958,0.085
10,0.085
10.042,0.085
10.083,0.085
10.125,0.085
10.167,0.085
10.208,0.085
10.25,0.085
10.292,0.085
10.333,0.085
10.375,0.085
10.417,0.085
10.458,0.085
10.5,0.085
10.542,0.085
10.583,0.085
10.625,0.085
10.667,0.085
10.708,3.599
10.75,44.2449989
10.792,45.7229996
10.833,44.4080009
10.875,16.7080002
10.917,2.233
10.958,0.085
11,0.085
11.042,0.085
11.083,0.085
11.125,0.085
11.167,0.085
11.208,0.085
11.25,0.085
11.292,0.085
11.333,0.085
11.375,0.085
11.417,0.085
11.458,0.085
11.5,0.085
11.542,0.085
11.583,0.085
11.625,0.085
11.667,0.085
11.708,3.336
11.75,49.1419983
11.792,50.8230019
11.833,44.144001
11.875,30.7029991
11.917,29.1079998
11.958,2.5020001
12,0.085
12.042,0.085
12.083,0.085
12.125,0.085
12.167,0.085
12.208,0.085
12.25,0.085
12.292,0.085
12.333,0.085
12.375,0.085
12.417,0.085
12.458,0.085
12.5,0.085
12.542,0.085
12.583,0.085
12.625,3.421
12.667,49.1269989
12.708,51.3170013
12.75,51.2649994
12.792,51.3359985
12.833,50.3279991
12.875,34.3769989
12.917,48.269001
12.958,3.211
13,0.085
13.042,0.085
13.083,0.085
13.125,0.085
13.167,0.085
13.208,0.085
13.25,0.085
13.292,0.085
13.333,0.085
13.375,0.085
13.417,0.085
13.458,0.085
13.5,0.085
13.542,0.085
13.583,0.085
13.625,0.085
13.667,0.085
13.708,3.5580001
13.75,49.1419983
13.792,51.2179985
13.833,51.257
13.875,49.3190002
13.917,17.6240005
13.958,3.4289999
14,0.085
14.042,0.085
14.083,0.085
14.125,0.085
14.167,0.085
14.208,0.085
14.25,0.085
14.292,0.085
14.333,0.085
14.375,0.085
14.417,0.085
14.458,0.085
14.5,0.085
14.542,0.085
14.583,0.085
14.625,0.085
14.667,3.3510001
14.708,49.019001
14.75,51.1759987
14.792,51.2210007
14.833,51.2879982
14.875,49.1520004
14.917,3.1659999
14.958,0.085
15,0.085
15.042,0.085
15.083,0.085
15.125,0.085
15.167,0.085
15.208,0.085
15.25,0.085
15.292,0.085
15.333,0.085
15.375,0.085
15.417,0.085
15.458,0.085
15.5,0.085
15.542,0.085
15.583,0.085
15.625,0.085
15.667,0.085
15.708,5.1069999
15.75,48.848999
15.792,51.3569984
15.833,48.8009987
15.875,5.6659999
15.917,0.085
15.958,0.085
16,0.085
16.042,0.085
16.083,0.085
16.125,0.085
16.167,0.085
16.208,0.085
16.25,0.085
16.292,0.085
16.333,0.085
16.375,0.085
16.417,0.085
16.458,0.085
16.5,0.085
16.542,0.085
16.583,0.085
16.625,0.085
16.667,0.085
16.708,6.2880001
16.75,49.0270004
16.792,51.1259995
16.833,51.1930008
16.875,49.3600006
16.917,17.6459999
16.958,2.4719999
17,0.085
17.042,0.085
17.083,0.085
17.125,0.085
17.167,0.085
17.208,0.085
17.25,0.085
17.292,0.085
17.333,0.085
17.375,0.085
17.417,0.085
17.458,0.085
17.5,0.085
17.542,0.085
17.583,4.1599998
17.625,29.1989994
17.667,29.5799999
17.708,16.8700008
17.75,16.4960003
17.792,17.75
17.833,47.0499992
17.875,3.1860001
17.917,0.085
17.958,0.085
18,0.085
18.042,0.085
18.083,0.085
18.125,0.085
18.167,0.085
18.208,0.085
18.25,4.2259998
18.292,16.3349991
18.333,16.441
18.375,16.3589993
18.417,16.3059998
18.458,16.3570004
18.5,16.4169998
18.542,16.4899998
18.583,16.5090008
18.625,5.0079999
18.667,0.085
18.708,0.085
18.75,0.085
18.792,0.085
18.833,0.085
18.875,0.085
18.917,0.085
18.958,0.085
19,0.085
19.042,0.085
19.083,0.085
19.125,0.085
19.167,0.085
19.208,0.085
19.25,0.085
19.292,0.085
19.333,0.085
19.375,0.085
19.417,0.085
19.458,2.8239999
19.5,16.993
19.542,15.8149996
19.583,15.665
19.625,21.5109997
19.667,5.7249999
19.708,6.4489999
19.75,26.4330006
19.792,26.9190006
19.833,29.9500008
19.875,29.448
19.917,16.8910007
19.958,16.4090004
20,16.1389999
20.042,2.0710001
20.083,0.085
20.125,0.085
20.167,0.085
20.208,0.085
20.25,0.085
20.292,0.085
20.333,0.085
20.375,0.085
20.417,0.085
20.458,0.085
20.5,0.085
20.542,2.369
20.583,10.7869997
20.625,10.4619999
20.667,29.059
20.708,29.5310001
20.75,16.8850002
20.792,16.1940002
20.833,16.3439999
20.875,16.2959995
20.917,16.2830009
