$Lewiston Spillway release 2019 YC 06/15/22,
",,,",
Julian Date,Spillway
1,5.3487
1.042,5.3784999
1.083,5.3635858
1.125,5.3635858
1.167,5.3635858
1.208,5.3487
1.25,5.3784999
1.292,5.3487
1.333,5.3635858
1.375,5.3784999
1.417,5.3635858
1.458,5.3487
1.5,5.3635858
1.542,5.3784999
1.583,5.3635858
1.625,5.3487
1.667,5.3635858
1.708,5.3635858
1.75,5.3784999
1.792,5.3487
1.833,5.3635858
1.875,5.3635858
1.917,5.3635858
1.958,5.3635858
2,5.3635858
2.042,5.3635858
2.083,5.3635858
2.125,5.3635858
2.167,5.3635858
2.208,5.3635858
2.25,5.3635858
2.292,5.3635858
2.333,5.3635858
2.375,5.3635858
2.417,5.3635858
2.458,5.3635858
2.5,5.3635858
2.542,5.3635858
2.583,5.3635858
2.625,5.3635858
2.667,5.3038445
2.708,5.3338991
2.75,5.2883361
2.792,5.2744408
2.833,5.27512
2.875,5.2447258
2.917,5.2447258
2.958,5.27512
3,5.3196925
3.042,5.3177115
3.083,5.245688
3.125,5.2735069
3.167,5.2447258
3.208,5.2906284
3.25,5.2876569
3.292,5.3203434
3.333,5.3487
3.375,5.3635858
3.417,5.3784999
3.458,5.3487
3.5,5.3635858
3.542,5.3635858
3.583,5.3784999
3.625,5.3487
3.667,5.3635858
3.708,5.3635858
3.75,5.3635858
3.792,5.3635858
3.833,5.3635858
3.875,5.3635858
3.917,5.3635858
3.958,5.3635858
4,5.3635858
4.042,5.3635858
4.083,5.3635858
4.125,5.3635858
4.167,5.3635858
4.208,5.3635858
4.25,5.3635858
4.292,5.3635858
4.333,5.3635858
4.375,5.3635858
4.417,5.3635858
4.458,5.3635858
4.5,5.3177115
4.542,5.2549704
4.583,5.2447258
4.625,5.2447258
4.667,5.2447258
4.708,5.3196925
4.75,5.3635858
4.792,5.3635858
4.833,5.3635858
4.875,5.3635858
4.917,5.3635858
4.958,5.3487
5,5.3784999
5.042,5.3635858
5.083,5.3635858
5.125,5.3487
5.167,5.3784999
5.208,5.3635858
5.25,5.3487
5.292,5.3635858
5.333,5.3784999
5.375,5.3635858
5.417,5.3487
5.458,5.3635858
5.5,5.3784999
5.542,5.3487
5.583,5.3635858
5.625,5.3635858
5.667,5.3784999
5.708,5.3487
5.75,5.3635858
5.792,5.3635858
5.833,5.3784999
5.875,5.3487
5.917,5.3635858
5.958,5.3635858
6,5.3635858
6.042,5.3635858
6.083,5.3635858
6.125,5.3635858
6.167,5.3635858
6.208,5.3635858
6.25,5.3635858
6.292,5.3635858
6.333,5.3635858
6.375,5.3635858
6.417,5.3635858
6.458,5.3635858
6.5,5.3635858
6.542,5.3635858
6.583,5.3635858
6.625,5.3635858
6.667,5.3635858
6.708,5.3635858
6.75,5.3635858
6.792,5.3635858
6.833,5.3635858
6.875,5.3635858
6.917,5.3635858
6.958,5.3635858
7,5.3635858
7.042,5.3635858
7.083,5.3635858
7.125,5.3635858
7.167,5.3635858
7.208,5.3487
7.25,5.3784999
7.292,5.3487
7.333,5.3635858
7.375,5.3784999
7.417,5.3635858
7.458,5.3487
7.5,5.3635858
7.542,5.3784999
7.583,5.3635858
7.625,5.318985
7.667,5.3635858
7.708,5.348134
7.75,5.318985
7.792,5.3635858
7.833,5.3635858
7.875,5.3784999
7.917,5.3487
7.958,5.3635858
8,5.3635858
8.042,5.3635858
8.083,5.3635858
8.125,5.3635858
8.167,5.3332199
8.208,5.3635858
8.25,5.3635858
8.292,5.3338708
8.333,5.3635858
8.375,5.3177115
8.417,5.2896379
8.458,5.3335595
8.5,5.3635858
8.542,5.3635858
8.583,5.3635858
8.625,5.3635858
8.667,5.3635858
8.708,5.3635858
8.75,5.3635858
8.792,5.3635858
8.833,5.3635858
8.875,5.3635858
8.917,5.3635858
8.958,5.3946875
9,5.3635858
9.042,5.3635858
9.083,5.3635858
9.125,5.3635858
9.167,5.3635858
9.208,5.3635858
9.25,5.3635858
9.292,5.3487
9.333,5.3784999
9.375,5.3635858
9.417,5.3635858
9.458,5.3487
9.5,5.3635858
9.542,5.3784999
9.583,5.3635858
9.625,5.3487
9.667,5.3784999
9.708,5.3487
9.75,5.3635858
9.792,5.3635858
9.833,5.3784999
9.875,5.3487
9.917,5.3635858
9.958,5.3635858
10,5.3635858
10.042,5.3635858
10.083,5.3635858
10.125,5.3635858
10.167,5.3635858
10.208,5.3635858
10.25,5.3635858
10.292,5.3635858
10.333,5.3635858
10.375,5.3635858
10.417,5.3635858
10.458,5.3635858
10.5,5.3635858
10.542,5.3635858
10.583,5.3635858
10.625,5.3635858
10.667,5.3635858
10.708,5.3635858
10.75,5.3635858
10.792,5.3635858
10.833,5.3635858
10.875,5.3635858
10.917,5.3635858
10.958,5.3635858
11,5.3635858
11.042,5.3635858
11.083,5.3635858
11.125,5.3635858
11.167,5.3635858
11.208,5.3635858
11.25,5.3635858
11.292,5.3635858
11.333,5.3635858
11.375,5.3635858
11.417,5.3487
11.458,5.3635858
11.5,5.3784999
11.542,5.3044954
11.583,5.332852
11.625,5.3335595
11.667,5.3497188
11.708,5.3784999
11.75,5.3635858
11.792,5.3487
11.833,5.3635858
11.875,5.3784999
11.917,5.3635858
11.958,5.3487
12,5.3635858
12.042,5.3635858
12.083,5.3635858
12.125,5.3635858
12.167,5.3635858
12.208,5.3635858
12.25,5.3635858
12.292,5.3635858
12.333,5.3635858
12.375,5.3635858
12.417,5.3635858
12.458,5.3635858
12.5,5.3635858
12.542,5.3635858
12.583,5.3635858
12.625,5.3635858
12.667,5.3477661
12.708,5.3200038
12.75,5.3635858
12.792,5.3635858
12.833,5.3635858
12.875,5.3635858
12.917,5.3635858
12.958,5.3635858
13,5.3635858
13.042,5.3635858
13.083,5.3635858
13.125,5.3635858
13.167,5.3635858
13.208,5.3635858
13.25,5.3635858
13.292,5.3635858
13.333,5.3635858
13.375,5.3635858
13.417,5.3635858
13.458,5.3635858
13.5,5.3487
13.542,5.3784999
13.583,5.3342104
13.625,5.3338991
13.667,5.2730824
13.708,5.2447258
13.75,5.2593003
13.792,5.3196925
13.833,5.3487
13.875,5.3635858
13.917,5.3635858
13.958,5.3784999
14,5.3487
14.042,5.3635858
14.083,5.3635858
14.125,5.3784999
14.167,5.3487
14.208,5.3635858
14.25,5.3635858
14.292,5.3635858
14.333,5.3635858
14.375,5.3635858
14.417,5.3635858
14.458,5.3635858
14.5,5.3635858
14.542,5.3635858
14.583,5.3635858
14.625,5.3635858
14.667,5.3348896
14.708,5.3635858
14.75,5.3635858
14.792,5.3635858
14.833,5.3635858
14.875,5.3635858
14.917,5.3635858
14.958,5.3635858
15,5.3635858
15.042,5.3635858
15.083,5.3635858
15.125,5.3635858
15.167,5.3635858
15.208,5.3635858
15.25,5.3635858
15.292,5.3635858
15.333,5.3635858
15.375,5.3635858
15.417,5.3635858
15.458,5.3635858
15.5,5.3635858
15.542,5.3635858
15.583,5.3635858
15.625,5.3635858
15.667,5.3635858
15.708,5.3635858
15.75,5.3487
15.792,5.3635858
15.833,5.3784999
15.875,5.3635858
15.917,5.3487
15.958,5.3635858
16,5.3635858
16.042,5.3784999
16.083,5.3487
16.125,5.3635858
16.167,5.3635858
16.208,5.3635858
16.25,5.3635858
16.292,5.3635858
16.333,5.3635858
16.375,5.4966807
16.417,5.6860643
16.458,5.3635858
16.5,5.3635858
16.542,5.3635858
16.583,5.3635858
16.625,5.3635858
16.667,5.3635858
16.708,5.3635858
16.75,5.3635858
16.792,5.3635858
16.833,5.4102525
16.875,5.4079036
16.917,5.3635858
16.958,5.3635858
17,5.3635858
17.042,5.3635858
17.083,5.3635858
17.125,5.3635858
17.167,5.3635858
17.208,5.3635858
17.25,5.3635858
17.292,5.3635858
17.333,5.3635858
17.375,5.3635858
17.417,5.3635858
17.458,5.3487
17.5,5.3784999
17.542,5.3635858
17.583,5.3635858
17.625,5.3487
17.667,5.3635858
17.708,5.3784999
17.75,5.3635858
17.792,5.3487
17.833,5.3635858
17.875,5.3784999
17.917,5.3635858
17.958,5.3487
18,5.3635858
18.042,5.3784999
18.083,5.3487
18.125,5.3635858
18.167,5.3635858
18.208,5.3784999
18.25,5.3635858
18.292,5.3487
18.333,5.3635858
18.375,5.3635858
18.417,5.3635858
18.458,5.3635858
18.5,5.3635858
18.542,5.3635858
18.583,5.3635858
18.625,5.3635858
18.667,5.3635858
18.708,5.3635858
18.75,5.3635858
18.792,5.3635858
18.833,5.3635858
18.875,5.3635858
18.917,5.3635858
18.958,5.3635858
19,5.3635858
19.042,5.3635858
19.083,5.3635858
19.125,5.3635858
19.167,5.3635858
19.208,5.3635858
19.25,5.3635858
19.292,5.3635858
19.333,5.3635858
19.375,5.3635858
19.417,5.3635858
19.458,5.3487
19.5,5.3635858
19.542,5.3784999
19.583,5.3487
19.625,5.3635858
19.667,5.3784999
19.708,5.3635858
19.75,5.3487
19.792,5.3635858
19.833,5.3784999
19.875,5.3635858
19.917,5.3487
19.958,5.3635858
20,5.3635858
20.042,5.3635858
20.083,5.3635858
20.125,5.3635858
20.167,5.3635858
20.208,5.3635858
20.25,5.3635858
20.292,5.3635858
20.333,5.3635858
20.375,5.3635858
20.417,5.3635858
20.458,5.3635858
20.5,5.3635858
20.542,5.3635858
20.583,5.3635858
20.625,5.3635858
20.667,5.3635858
20.708,5.3635858
20.75,5.3635858
20.792,5.3635858
20.833,5.3635858
20.875,5.3635858
20.917,5.3635858
20.958,5.3635858
21,5.3635858
21.042,5.3635858
21.083,5.3635858
21.125,5.3635858
21.167,5.3635858
21.208,5.3635858
21.25,5.3635858
21.292,5.3487
21.333,5.3784999
21.375,5.3635858
21.417,5.3635858
21.458,5.3487
21.5,5.3635858
21.542,5.3784999
21.583,5.3635858
21.625,5.3487
21.667,5.3635858
21.708,5.3784999
21.75,5.3487
21.792,5.3635858
21.833,5.3635858
21.875,5.3635858
21.917,5.3635858
