$inflow Tw for qdt Tw year 2019 YC 03/13/2023,
",,,",
Julian Date,Inflow_Temp
1,8.045
1.042,8.07
1.083,8.095
1.125,8.095
1.167,8.095
1.208,8.095
1.25,8.07
1.292,8.07
1.333,8.12
1.375,8.12
1.417,8.095
1.458,8.12
1.5,8.145
1.542,8.145
1.583,8.095
1.625,8.095
1.667,8.095
1.708,8.07
1.75,8.07
1.792,8.07
1.833,8.07
1.875,8.145
1.917,8.12
1.958,8.145
2,8.12
2.042,8.145
2.083,8.12
2.125,8.07
2.167,8.095
2.208,8.095
2.25,8.145
2.292,8.095
2.333,8.12
2.375,8.12
2.417,8.095
2.458,8.145
2.5,8.17
2.542,8.393888889
2.583,8.393888889
2.625,8.418888889
2.667,8.443888889
2.708,8.393888889
2.75,8.343888889
2.792,8.318888889
2.833,8.295
2.875,8.295
2.917,8.27
2.958,8.27
3,8.245
3.042,8.145
3.083,8.145
3.125,8.145
3.167,8.145
3.208,8.145
3.25,8.145
3.292,8.095
3.333,8.095
3.375,8.095
3.417,8.12
3.458,8.12
3.5,8.12
3.542,8.12
3.583,8.245
3.625,8.343888889
3.667,8.318888889
3.708,8.27
3.75,8.295
3.792,8.295
3.833,8.27
3.875,8.245
3.917,8.245
3.958,8.245
4,8.295
4.042,8.22
4.083,8.22
4.125,8.17
4.167,8.195
4.208,8.195
4.25,8.145
4.292,8.17
4.333,8.195
4.375,8.145
4.417,8.195
4.458,8.245
4.5,8.295
4.542,8.245
4.583,8.145
4.625,8.12
4.667,8.12
4.708,8.12
4.75,8.12
4.792,8.12
4.833,8.12
4.875,8.12
4.917,8.095
4.958,8.17
5,8.12
5.042,8.145
5.083,8.17
5.125,8.145
5.167,8.145
5.208,8.145
5.25,8.12
5.292,8.17
5.333,8.195
5.375,8.195
5.417,8.17
5.458,8.195
5.5,8.195
5.542,8.195
5.583,8.145
5.625,8.145
5.667,8.095
5.708,8.095
5.75,8.095
5.792,8.095
5.833,8.095
5.875,8.095
5.917,8.095
5.958,8.17
6,8.17
6.042,8.17
6.083,8.145
6.125,8.195
6.167,8.22
6.208,8.22
6.25,8.195
6.292,8.22
6.333,8.22
6.375,8.22
6.417,8.17
6.458,7.995
6.5,7.995
6.542,8.07
6.583,8.07
6.625,8.02
6.667,8.12
6.708,8.12
6.75,8.12
6.792,8.12
6.833,8.095
6.875,8.145
6.917,8.12
6.958,8.145
7,8.145
7.042,8.12
7.083,8.17
7.125,8.12
7.167,8.12
