$Trinity Lake Swift Cr inflow Tw updated year 2017 YC 06/01/23,
",,,",
Jday,Swift 
1,2.36
1.042,2.36
1.083,2.36
1.125,2.36
1.167,2.36
1.208,2.36
1.25,2.36
1.292,2.36
1.333,2.36
1.375,2.36
1.417,2.36
1.458,2.36
1.5,2.36
1.542,2.36
1.583,2.36
1.625,2.36
1.667,2.36
1.708,2.36
1.75,2.36
1.792,2.36
1.833,2.36
1.875,2.36
1.917,2.36
1.958,2.36
2,1.83
2.042,1.83
2.083,1.83
2.125,1.83
2.167,1.83
2.208,1.83
2.25,1.83
2.292,1.83
2.333,1.83
2.375,1.83
2.417,1.83
2.458,1.83
2.5,1.83
2.542,1.83
2.583,1.83
2.625,1.83
2.667,1.83
2.708,1.83
2.75,1.83
2.792,1.83
2.833,1.83
2.875,1.83
2.917,1.83
2.958,1.83
3,1.26
3.042,1.26
3.083,1.26
3.125,1.26
3.167,1.26
3.208,1.26
3.25,1.26
3.292,1.26
3.333,1.26
3.375,1.26
3.417,1.26
3.458,1.26
3.5,1.26
3.542,1.26
3.583,1.26
3.625,1.26
3.667,1.26
3.708,1.26
3.75,1.26
3.792,1.26
3.833,1.26
3.875,1.26
3.917,1.26
3.958,1.26
4,1.57
4.042,1.57
4.083,1.57
4.125,1.57
4.167,1.57
4.208,1.57
4.25,1.57
4.292,1.57
4.333,1.57
4.375,1.57
4.417,1.57
4.458,1.57
4.5,1.57
4.542,1.57
4.583,1.57
4.625,1.57
4.667,1.57
4.708,1.57
4.75,1.57
4.792,1.57
4.833,1.57
4.875,1.57
4.917,1.57
4.958,1.57
5,1.09
5.042,1.09
5.083,1.09
5.125,1.09
5.167,1.09
5.208,1.09
5.25,1.09
5.292,1.09
5.333,1.09
5.375,1.09
5.417,1.09
5.458,1.09
5.5,1.09
5.542,1.09
5.583,1.09
5.625,1.09
5.667,1.09
5.708,1.09
5.75,1.09
5.792,1.09
5.833,1.09
5.875,1.09
5.917,1.09
5.958,1.09
6,0.42
6.042,0.42
6.083,0.42
6.125,0.42
6.167,0.42
6.208,0.42
6.25,0.42
6.292,0.42
6.333,0.42
6.375,0.42
6.417,0.42
6.458,0.42
6.5,0.42
6.542,0.42
6.583,0.42
6.625,0.42
6.667,0.42
6.708,0.42
6.75,0.42
6.792,0.42
6.833,0.42
6.875,0.42
6.917,0.42
6.958,0.42
7,1.43
7.042,1.43
7.083,1.43
7.125,1.43
7.167,1.43
7.208,1.43
7.25,1.43
7.292,1.43
7.333,1.43
7.375,1.43
7.417,1.43
7.458,1.43
7.5,1.43
7.542,1.43
7.583,1.43
7.625,1.43
7.667,1.43
7.708,1.43
7.75,1.43
7.792,1.43
7.833,1.43
7.875,1.43
7.917,1.43
7.958,1.43
8,2.33
8.042,2.33
8.083,2.33
8.125,2.33
8.167,2.33
8.208,2.33
8.25,2.33
8.292,2.33
8.333,2.33
8.375,2.33
8.417,2.33
8.458,2.33
8.5,2.33
8.542,2.33
8.583,2.33
8.625,2.33
8.667,2.33
8.708,2.33
8.75,2.33
8.792,2.33
8.833,2.33
8.875,2.33
8.917,2.33
8.958,2.33
9,3.38
9.042,3.38
9.083,3.38
9.125,3.38
9.167,3.38
9.208,3.38
9.25,3.38
9.292,3.38
9.333,3.38
9.375,3.38
9.417,3.38
9.458,3.38
9.5,3.38
9.542,3.38
9.583,3.38
9.625,3.38
9.667,3.38
9.708,3.38
9.75,3.38
9.792,3.38
9.833,3.38
9.875,3.38
9.917,3.38
9.958,3.38
10,3.89
10.042,3.89
10.083,3.89
10.125,3.89
10.167,3.89
10.208,3.89
10.25,3.89
10.292,3.89
10.333,3.89
10.375,3.89
10.417,3.89
10.458,3.89
10.5,3.89
10.542,3.89
10.583,3.89
10.625,3.89
10.667,3.89
10.708,3.89
10.75,3.89
10.792,3.89
10.833,3.89
10.875,3.89
10.917,3.89
10.958,3.89
11,4.87
11.042,4.87
11.083,4.87
11.125,4.87
11.167,4.87
11.208,4.87
11.25,4.87
11.292,4.87
11.333,4.87
11.375,4.87
11.417,4.87
11.458,4.87
11.5,4.87
11.542,4.87
11.583,4.87
11.625,4.87
11.667,4.87
11.708,4.87
11.75,4.87
11.792,4.87
11.833,4.87
11.875,4.87
11.917,4.87
11.958,4.87
12,4.2
12.042,4.2
12.083,4.2
12.125,4.2
12.167,4.2
12.208,4.2
12.25,4.2
12.292,4.2
12.333,4.2
12.375,4.2
12.417,4.2
12.458,4.2
12.5,4.2
12.542,4.2
12.583,4.2
12.625,4.2
12.667,4.2
12.708,4.2
12.75,4.2
12.792,4.2
12.833,4.2
12.875,4.2
12.917,4.2
12.958,4.2
13,3.89
13.042,3.89
13.083,3.89
13.125,3.89
13.167,3.89
13.208,3.89
13.25,3.89
13.292,3.89
13.333,3.89
13.375,3.89
13.417,3.89
13.458,3.89
13.5,3.89
13.542,3.89
13.583,3.89
13.625,3.89
13.667,3.89
13.708,3.89
13.75,3.89
13.792,3.89
13.833,3.89
13.875,3.89
13.917,3.89
13.958,3.89
14,3.6
14.042,3.6
14.083,3.6
14.125,3.6
14.167,3.6
14.208,3.6
14.25,3.6
14.292,3.6
14.333,3.6
14.375,3.6
14.417,3.6
14.458,3.6
14.5,3.6
14.542,3.6
14.583,3.6
14.625,3.6
14.667,3.6
14.708,3.6
14.75,3.6
14.792,3.6
14.833,3.6
14.875,3.6
14.917,3.6
14.958,3.6
15,3.35
15.042,3.35
15.083,3.35
15.125,3.35
15.167,3.35
15.208,3.35
15.25,3.35
15.292,3.35
15.333,3.35
15.375,3.35
15.417,3.35
15.458,3.35
15.5,3.35
15.542,3.35
15.583,3.35
15.625,3.35
15.667,3.35
15.708,3.35
15.75,3.35
15.792,3.35
15.833,3.35
15.875,3.35
15.917,3.35
15.958,3.35
16,3.24
16.042,3.24
16.083,3.24
16.125,3.24
16.167,3.24
16.208,3.24
16.25,3.24
16.292,3.24
16.333,3.24
16.375,3.24
16.417,3.24
16.458,3.24
16.5,3.24
16.542,3.24
16.583,3.24
16.625,3.24
16.667,3.24
16.708,3.24
16.75,3.24
16.792,3.24
16.833,3.24
16.875,3.24
16.917,3.24
16.958,3.24
17,3.37
17.042,3.37
17.083,3.37
17.125,3.37
17.167,3.37
17.208,3.37
17.25,3.37
17.292,3.37
17.333,3.37
17.375,3.37
17.417,3.37
17.458,3.37
17.5,3.37
17.542,3.37
17.583,3.37
17.625,3.37
17.667,3.37
17.708,3.37
17.75,3.37
17.792,3.37
17.833,3.37
17.875,3.37
17.917,3.37
17.958,3.37
18,3.7
18.042,3.7
18.083,3.7
18.125,3.7
18.167,3.7
18.208,3.7
18.25,3.7
18.292,3.7
18.333,3.7
18.375,3.7
18.417,3.7
18.458,3.7
18.5,3.7
18.542,3.7
18.583,3.7
18.625,3.7
18.667,3.7
18.708,3.7
18.75,3.7
18.792,3.7
18.833,3.7
18.875,3.7
18.917,3.7
18.958,3.7
19,4.03
19.042,4.03
19.083,4.03
19.125,4.03
19.167,4.03
19.208,4.03
19.25,4.03
19.292,4.03
19.333,4.03
19.375,4.03
19.417,4.03
19.458,4.03
19.5,4.03
19.542,4.03
19.583,4.03
19.625,4.03
19.667,4.03
19.708,4.03
19.75,4.03
19.792,4.03
19.833,4.03
19.875,4.03
19.917,4.03
19.958,4.03
20,4.72
20.042,4.72
20.083,4.72
20.125,4.72
20.167,4.72
20.208,4.72
20.25,4.72
20.292,4.72
20.333,4.72
20.375,4.72
20.417,4.72
20.458,4.72
20.5,4.72
20.542,4.72
20.583,4.72
20.625,4.72
20.667,4.72
20.708,4.72
20.75,4.72
20.792,4.72
20.833,4.72
20.875,4.72
20.917,4.72
20.958,4.72
21,4.92
21.042,4.92
21.083,4.92
21.125,4.92
21.167,4.92
21.208,4.92
21.25,4.92
21.292,4.92
21.333,4.92
21.375,4.92
21.417,4.92
21.458,4.92
21.5,4.92
21.542,4.92
21.583,4.92
21.625,4.92
21.667,4.92
21.708,4.92
21.75,4.92
21.792,4.92
21.833,4.92
21.875,4.92
21.917,4.92
21.958,4.92
22,4.86
22.042,4.86
22.083,4.86
22.125,4.86
22.167,4.86
22.208,4.86
22.25,4.86
22.292,4.86
22.333,4.86
22.375,4.86
22.417,4.86
22.458,4.86
22.5,4.86
22.542,4.86
22.583,4.86
22.625,4.86
22.667,4.86
22.708,4.86
22.75,4.86
22.792,4.86
22.833,4.86
22.875,4.86
22.917,4.86
22.958,4.86
23,4.92
23.042,4.92
23.083,4.92
23.125,4.92
23.167,4.92
23.208,4.92
23.25,4.92
23.292,4.92
23.333,4.92
23.375,4.92
23.417,4.92
23.458,4.92
23.5,4.92
23.542,4.92
23.583,4.92
23.625,4.92
23.667,4.92
23.708,4.92
23.75,4.92
23.792,4.92
23.833,4.92
23.875,4.92
23.917,4.92
23.958,4.92
24,4.72
24.042,4.72
24.083,4.72
24.125,4.72
24.167,4.72
24.208,4.72
24.25,4.72
24.292,4.72
24.333,4.72
24.375,4.72
24.417,4.72
24.458,4.72
24.5,4.72
24.542,4.72
24.583,4.72
24.625,4.72
24.667,4.72
24.708,4.72
24.75,4.72
24.792,4.72
24.833,4.72
24.875,4.72
24.917,4.72
24.958,4.72
25,4.43
25.042,4.43
25.083,4.43
25.125,4.43
25.167,4.43
25.208,4.43
25.25,4.43
25.292,4.43
25.333,4.43
25.375,4.43
25.417,4.43
25.458,4.43
25.5,4.43
25.542,4.43
25.583,4.43
25.625,4.43
25.667,4.43
25.708,4.43
25.75,4.43
25.792,4.43
25.833,4.43
25.875,4.43
25.917,4.43
25.958,4.43
26,4.2
26.042,4.2
26.083,4.2
26.125,4.2
