$Trinity Lake Br3 inflow year 2017 YC updated 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
1,2.831657936
1.042,2.831657936
1.083,2.831657936
1.125,2.831657936
1.167,2.831657936
1.208,2.831657936
1.25,2.831657936
1.292,2.831657936
1.333,2.831657936
1.375,2.831657936
1.417,2.831657936
1.458,2.831657936
1.5,2.831657936
1.542,2.831657936
1.583,2.831657936
1.625,2.831657936
1.667,2.831657936
1.708,2.831657936
1.75,2.831657936
1.792,2.831657936
1.833,2.831657936
1.875,2.831657936
1.917,2.831657936
1.958,2.831657936
2,3.879371372
2.042,3.879371372
2.083,3.879371372
2.125,3.879371372
2.167,3.879371372
2.208,3.879371372
2.25,3.879371372
2.292,3.879371372
2.333,3.879371372
2.375,3.879371372
2.417,3.879371372
2.458,3.879371372
2.5,3.879371372
2.542,3.879371372
2.583,3.879371372
2.625,3.879371372
2.667,3.879371372
2.708,3.879371372
2.75,3.879371372
2.792,3.879371372
2.833,3.879371372
2.875,3.879371372
2.917,3.879371372
2.958,3.879371372
3,6.031431403
3.042,6.031431403
3.083,6.031431403
3.125,6.031431403
3.167,6.031431403
3.208,6.031431403
3.25,6.031431403
3.292,6.031431403
3.333,6.031431403
3.375,6.031431403
3.417,6.031431403
3.458,6.031431403
3.5,6.031431403
3.542,6.031431403
3.583,6.031431403
3.625,6.031431403
3.667,6.031431403
3.708,6.031431403
3.75,6.031431403
3.792,6.031431403
3.833,6.031431403
3.875,6.031431403
3.917,6.031431403
3.958,6.031431403
4,3.681155316
4.042,3.681155316
4.083,3.681155316
4.125,3.681155316
4.167,3.681155316
4.208,3.681155316
4.25,3.681155316
4.292,3.681155316
4.333,3.681155316
4.375,3.681155316
4.417,3.681155316
4.458,3.681155316
4.5,3.681155316
4.542,3.681155316
4.583,3.681155316
4.625,3.681155316
4.667,3.681155316
4.708,3.681155316
4.75,3.681155316
4.792,3.681155316
4.833,3.681155316
4.875,3.681155316
4.917,3.681155316
4.958,3.681155316
5,3.029873991
5.042,3.029873991
5.083,3.029873991
5.125,3.029873991
5.167,3.029873991
5.208,3.029873991
5.25,3.029873991
5.292,3.029873991
5.333,3.029873991
5.375,3.029873991
5.417,3.029873991
5.458,3.029873991
5.5,3.029873991
5.542,3.029873991
5.583,3.029873991
5.625,3.029873991
5.667,3.029873991
5.708,3.029873991
5.75,3.029873991
5.792,3.029873991
5.833,3.029873991
5.875,3.029873991
5.917,3.029873991
5.958,3.029873991
6,3.53957242
6.042,3.53957242
6.083,3.53957242
6.125,3.53957242
6.167,3.53957242
6.208,3.53957242
6.25,3.53957242
6.292,3.53957242
6.333,3.53957242
6.375,3.53957242
