$Trinity Lake Swift Cr inflow Tw updated YC 06/01/23,
",,,",
Jday,Swift 
1,3.85
1.042,3.85
1.083,3.85
1.125,3.85
1.167,3.85
1.208,3.85
1.25,3.85
1.292,3.85
1.333,3.85
1.375,3.85
1.417,3.85
1.458,3.85
1.5,3.85
1.542,3.85
1.583,3.85
1.625,3.85
1.667,3.85
1.708,3.85
1.75,3.85
1.792,3.85
1.833,3.85
1.875,3.85
1.917,3.85
1.958,3.85
2,3.48
2.042,3.48
2.083,3.48
2.125,3.48
2.167,3.48
2.208,3.48
2.25,3.48
2.292,3.48
2.333,3.48
2.375,3.48
2.417,3.48
2.458,3.48
2.5,3.48
2.542,3.48
2.583,3.48
2.625,3.48
2.667,3.48
2.708,3.48
2.75,3.48
2.792,3.48
2.833,3.48
2.875,3.48
2.917,3.48
2.958,3.48
3,4.1
3.042,4.1
3.083,4.1
3.125,4.1
3.167,4.1
3.208,4.1
3.25,4.1
3.292,4.1
3.333,4.1
3.375,4.1
3.417,4.1
3.458,4.1
3.5,4.1
3.542,4.1
3.583,4.1
3.625,4.1
3.667,4.1
3.708,4.1
3.75,4.1
3.792,4.1
3.833,4.1
3.875,4.1
3.917,4.1
3.958,4.1
4,5.55
4.042,5.55
4.083,5.55
4.125,5.55
4.167,5.55
4.208,5.55
4.25,5.55
4.292,5.55
4.333,5.55
4.375,5.55
4.417,5.55
4.458,5.55
4.5,5.55
4.542,5.55
4.583,5.55
4.625,5.55
4.667,5.55
4.708,5.55
4.75,5.55
4.792,5.55
4.833,5.55
4.875,5.55
4.917,5.55
4.958,5.55
5,6.05
5.042,6.05
5.083,6.05
5.125,6.05
5.167,6.05
5.208,6.05
5.25,6.05
5.292,6.05
5.333,6.05
5.375,6.05
5.417,6.05
5.458,6.05
5.5,6.05
5.542,6.05
5.583,6.05
5.625,6.05
5.667,6.05
5.708,6.05
5.75,6.05
5.792,6.05
5.833,6.05
5.875,6.05
5.917,6.05
5.958,6.05
6,4.92
6.042,4.92
6.083,4.92
6.125,4.92
6.167,4.92
6.208,4.92
6.25,4.92
6.292,4.92
6.333,4.92
6.375,4.92
6.417,4.92
6.458,4.92
6.5,4.92
6.542,4.92
6.583,4.92
6.625,4.92
6.667,4.92
6.708,4.92
6.75,4.92
6.792,4.92
6.833,4.92
6.875,4.92
6.917,4.92
6.958,4.92
7,4.01
7.042,4.01
7.083,4.01
7.125,4.01
7.167,4.01
7.208,4.01
7.25,4.01
7.292,4.01
7.333,4.01
7.375,4.01
7.417,4.01
7.458,4.01
7.5,4.01
7.542,4.01
7.583,4.01
7.625,4.01
7.667,4.01
7.708,4.01
7.75,4.01
7.792,4.01
7.833,4.01
7.875,4.01
7.917,4.01
7.958,4.01
8,4.37
8.042,4.37
8.083,4.37
8.125,4.37
8.167,4.37
8.208,4.37
8.25,4.37
8.292,4.37
8.333,4.37
8.375,4.37
8.417,4.37
8.458,4.37
8.5,4.37
8.542,4.37
8.583,4.37
8.625,4.37
8.667,4.37
8.708,4.37
8.75,4.37
8.792,4.37
8.833,4.37
8.875,4.37
8.917,4.37
8.958,4.37
9,4.9
9.042,4.9
9.083,4.9
9.125,4.9
9.167,4.9
9.208,4.9
9.25,4.9
9.292,4.9
9.333,4.9
9.375,4.9
9.417,4.9
9.458,4.9
9.5,4.9
9.542,4.9
9.583,4.9
9.625,4.9
9.667,4.9
9.708,4.9
9.75,4.9
9.792,4.9
9.833,4.9
9.875,4.9
9.917,4.9
9.958,4.9
10,4.57
10.042,4.57
10.083,4.57
10.125,4.57
10.167,4.57
10.208,4.57
10.25,4.57
10.292,4.57
10.333,4.57
10.375,4.57
10.417,4.57
10.458,4.57
10.5,4.57
10.542,4.57
10.583,4.57
10.625,4.57
10.667,4.57
10.708,4.57
10.75,4.57
10.792,4.57
10.833,4.57
10.875,4.57
10.917,4.57
10.958,4.57
11,4.92
11.042,4.92
11.083,4.92
11.125,4.92
11.167,4.92
11.208,4.92
11.25,4.92
11.292,4.92
11.333,4.92
11.375,4.92
11.417,4.92
11.458,4.92
11.5,4.92
11.542,4.92
11.583,4.92
11.625,4.92
11.667,4.92
11.708,4.92
11.75,4.92
11.792,4.92
11.833,4.92
11.875,4.92
11.917,4.92
11.958,4.92
12,4.36
12.042,4.36
12.083,4.36
12.125,4.36
12.167,4.36
12.208,4.36
12.25,4.36
12.292,4.36
12.333,4.36
12.375,4.36
12.417,4.36
12.458,4.36
12.5,4.36
12.542,4.36
12.583,4.36
12.625,4.36
12.667,4.36
12.708,4.36
12.75,4.36
12.792,4.36
12.833,4.36
12.875,4.36
12.917,4.36
12.958,4.36
13,3.71
13.042,3.71
13.083,3.71
13.125,3.71
13.167,3.71
13.208,3.71
13.25,3.71
13.292,3.71
13.333,3.71
13.375,3.71
13.417,3.71
13.458,3.71
13.5,3.71
13.542,3.71
13.583,3.71
13.625,3.71
13.667,3.71
13.708,3.71
13.75,3.71
13.792,3.71
13.833,3.71
13.875,3.71
13.917,3.71
13.958,3.71
14,4.13
14.042,4.13
14.083,4.13
14.125,4.13
14.167,4.13
14.208,4.13
14.25,4.13
14.292,4.13
14.333,4.13
14.375,4.13
14.417,4.13
14.458,4.13
14.5,4.13
14.542,4.13
14.583,4.13
14.625,4.13
14.667,4.13
14.708,4.13
14.75,4.13
14.792,4.13
14.833,4.13
14.875,4.13
14.917,4.13
14.958,4.13
15,4.4
15.042,4.4
15.083,4.4
15.125,4.4
15.167,4.4
15.208,4.4
15.25,4.4
15.292,4.4
15.333,4.4
15.375,4.4
15.417,4.4
15.458,4.4
15.5,4.4
15.542,4.4
15.583,4.4
15.625,4.4
15.667,4.4
15.708,4.4
15.75,4.4
15.792,4.4
15.833,4.4
15.875,4.4
15.917,4.4
15.958,4.4
16,5.31
16.042,5.31
16.083,5.31
16.125,5.31
16.167,5.31
16.208,5.31
16.25,5.31
16.292,5.31
16.333,5.31
16.375,5.31
16.417,5.31
16.458,5.31
16.5,5.31
16.542,5.31
16.583,5.31
16.625,5.31
16.667,5.31
16.708,5.31
16.75,5.31
16.792,5.31
16.833,5.31
16.875,5.31
16.917,5.31
16.958,5.31
17,5.46
17.042,5.46
17.083,5.46
17.125,5.46
17.167,5.46
17.208,5.46
17.25,5.46
17.292,5.46
17.333,5.46
17.375,5.46
17.417,5.46
17.458,5.46
17.5,5.46
17.542,5.46
17.583,5.46
17.625,5.46
17.667,5.46
17.708,5.46
17.75,5.46
17.792,5.46
17.833,5.46
17.875,5.46
17.917,5.46
17.958,5.46
18,5.45
18.042,5.45
18.083,5.45
18.125,5.45
18.167,5.45
18.208,5.45
18.25,5.45
18.292,5.45
18.333,5.45
18.375,5.45
18.417,5.45
18.458,5.45
18.5,5.45
18.542,5.45
18.583,5.45
18.625,5.45
18.667,5.45
18.708,5.45
18.75,5.45
18.792,5.45
18.833,5.45
18.875,5.45
18.917,5.45
18.958,5.45
19,3.83
19.042,3.83
19.083,3.83
19.125,3.83
19.167,3.83
19.208,3.83
19.25,3.83
19.292,3.83
19.333,3.83
19.375,3.83
19.417,3.83
19.458,3.83
19.5,3.83
19.542,3.83
19.583,3.83
19.625,3.83
19.667,3.83
19.708,3.83
19.75,3.83
19.792,3.83
19.833,3.83
19.875,3.83
19.917,3.83
19.958,3.83
20,2.87
20.042,2.87
20.083,2.87
20.125,2.87
20.167,2.87
20.208,2.87
20.25,2.87
20.292,2.87
20.333,2.87
20.375,2.87
20.417,2.87
20.458,2.87
20.5,2.87
20.542,2.87
20.583,2.87
20.625,2.87
20.667,2.87
20.708,2.87
20.75,2.87
20.792,2.87
20.833,2.87
20.875,2.87
20.917,2.87
20.958,2.87
21,2.12
21.042,2.12
21.083,2.12
21.125,2.12
21.167,2.12
21.208,2.12
21.25,2.12
21.292,2.12
21.333,2.12
21.375,2.12
21.417,2.12
21.458,2.12
21.5,2.12
21.542,2.12
21.583,2.12
21.625,2.12
21.667,2.12
21.708,2.12
21.75,2.12
21.792,2.12
21.833,2.12
21.875,2.12
21.917,2.12
21.958,2.12
22,2.19
22.042,2.19
22.083,2.19
22.125,2.19
22.167,2.19
22.208,2.19
22.25,2.19
22.292,2.19
22.333,2.19
22.375,2.19
22.417,2.19
22.458,2.19
22.5,2.19
22.542,2.19
22.583,2.19
22.625,2.19
22.667,2.19
22.708,2.19
22.75,2.19
22.792,2.19
22.833,2.19
22.875,2.19
22.917,2.19
22.958,2.19
23,3.09
23.042,3.09
23.083,3.09
23.125,3.09
23.167,3.09
23.208,3.09
23.25,3.09
23.292,3.09
23.333,3.09
23.375,3.09
23.417,3.09
23.458,3.09
23.5,3.09
23.542,3.09
23.583,3.09
23.625,3.09
23.667,3.09
23.708,3.09
23.75,3.09
23.792,3.09
23.833,3.09
23.875,3.09
23.917,3.09
23.958,3.09
24,3.31
24.042,3.31
24.083,3.31
24.125,3.31
24.167,3.31
24.208,3.31
24.25,3.31
24.292,3.31
24.333,3.31
24.375,3.31
24.417,3.31
24.458,3.31
24.5,3.31
24.542,3.31
24.583,3.31
24.625,3.31
24.667,3.31
24.708,3.31
24.75,3.31
24.792,3.31
24.833,3.31
24.875,3.31
24.917,3.31
24.958,3.31
25,2.38
25.042,2.38
25.083,2.38
25.125,2.38
25.167,2.38
25.208,2.38
25.25,2.38
25.292,2.38
25.333,2.38
25.375,2.38
25.417,2.38
25.458,2.38
25.5,2.38
25.542,2.38
25.583,2.38
25.625,2.38
25.667,2.38
25.708,2.38
25.75,2.38
25.792,2.38
25.833,2.38
25.875,2.38
25.917,2.38
25.958,2.38
26,2.9
26.042,2.9
26.083,2.9
26.125,2.9
26.167,2.9
