$Trinity Lake Br2 inflow Tw year 2018 YC updated 06/01/23,
",,,",
Jday,EF Trinity R
1,4.93
1.042,4.93
1.083,4.93
1.125,4.93
1.167,4.93
1.208,4.93
1.25,4.93
1.292,4.93
1.333,4.93
1.375,4.93
1.417,4.93
1.458,4.93
1.5,4.93
1.542,4.93
1.583,4.93
1.625,4.93
1.667,4.93
1.708,4.93
1.75,4.93
1.792,4.93
1.833,4.93
1.875,4.93
1.917,4.93
1.958,4.93
2,4.54
2.042,4.54
2.083,4.54
2.125,4.54
2.167,4.54
2.208,4.54
2.25,4.54
2.292,4.54
2.333,4.54
2.375,4.54
2.417,4.54
2.458,4.54
2.5,4.54
2.542,4.54
2.583,4.54
2.625,4.54
2.667,4.54
2.708,4.54
2.75,4.54
2.792,4.54
2.833,4.54
2.875,4.54
2.917,4.54
2.958,4.54
3,5.19
3.042,5.19
3.083,5.19
3.125,5.19
3.167,5.19
3.208,5.19
3.25,5.19
3.292,5.19
3.333,5.19
3.375,5.19
3.417,5.19
3.458,5.19
3.5,5.19
3.542,5.19
3.583,5.19
3.625,5.19
3.667,5.19
3.708,5.19
3.75,5.19
3.792,5.19
3.833,5.19
3.875,5.19
3.917,5.19
3.958,5.19
4,6.71
4.042,6.71
4.083,6.71
4.125,6.71
4.167,6.71
4.208,6.71
4.25,6.71
4.292,6.71
4.333,6.71
4.375,6.71
4.417,6.71
4.458,6.71
4.5,6.71
4.542,6.71
4.583,6.71
4.625,6.71
4.667,6.71
4.708,6.71
4.75,6.71
4.792,6.71
4.833,6.71
4.875,6.71
4.917,6.71
4.958,6.71
5,7.23
5.042,7.23
5.083,7.23
5.125,7.23
5.167,7.23
5.208,7.23
5.25,7.23
5.292,7.23
5.333,7.23
5.375,7.23
5.417,7.23
5.458,7.23
5.5,7.23
5.542,7.23
5.583,7.23
5.625,7.23
5.667,7.23
5.708,7.23
5.75,7.23
5.792,7.23
5.833,7.23
5.875,7.23
5.917,7.23
5.958,7.23
6,6.05
6.042,6.05
6.083,6.05
6.125,6.05
6.167,6.05
6.208,6.05
6.25,6.05
6.292,6.05
6.333,6.05
6.375,6.05
6.417,6.05
6.458,6.05
6.5,6.05
6.542,6.05
6.583,6.05
6.625,6.05
6.667,6.05
6.708,6.05
6.75,6.05
6.792,6.05
6.833,6.05
6.875,6.05
6.917,6.05
6.958,6.05
7,5.09
7.042,5.09
7.083,5.09
7.125,5.09
7.167,5.09
7.208,5.09
7.25,5.09
7.292,5.09
7.333,5.09
7.375,5.09
7.417,5.09
7.458,5.09
7.5,5.09
7.542,5.09
7.583,5.09
7.625,5.09
7.667,5.09
7.708,5.09
7.75,5.09
7.792,5.09
7.833,5.09
7.875,5.09
7.917,5.09
7.958,5.09
8,5.48
8.042,5.48
8.083,5.48
8.125,5.48
8.167,5.48
8.208,5.48
8.25,5.48
8.292,5.48
8.333,5.48
8.375,5.48
8.417,5.48
8.458,5.48
8.5,5.48
8.542,5.48
8.583,5.48
8.625,5.48
8.667,5.48
8.708,5.48
8.75,5.48
8.792,5.48
8.833,5.48
8.875,5.48
8.917,5.48
8.958,5.48
9,6.03
9.042,6.03
9.083,6.03
9.125,6.03
9.167,6.03
9.208,6.03
9.25,6.03
9.292,6.03
9.333,6.03
9.375,6.03
9.417,6.03
9.458,6.03
9.5,6.03
9.542,6.03
9.583,6.03
9.625,6.03
9.667,6.03
9.708,6.03
9.75,6.03
9.792,6.03
9.833,6.03
9.875,6.03
9.917,6.03
9.958,6.03
10,5.68
10.042,5.68
10.083,5.68
10.125,5.68
10.167,5.68
10.208,5.68
10.25,5.68
10.292,5.68
10.333,5.68
10.375,5.68
10.417,5.68
10.458,5.68
10.5,5.68
10.542,5.68
10.583,5.68
10.625,5.68
10.667,5.68
10.708,5.68
10.75,5.68
10.792,5.68
10.833,5.68
10.875,5.68
10.917,5.68
10.958,5.68
11,6.05
11.042,6.05
11.083,6.05
11.125,6.05
11.167,6.05
11.208,6.05
11.25,6.05
11.292,6.05
11.333,6.05
11.375,6.05
11.417,6.05
11.458,6.05
11.5,6.05
11.542,6.05
11.583,6.05
11.625,6.05
11.667,6.05
11.708,6.05
11.75,6.05
11.792,6.05
11.833,6.05
11.875,6.05
11.917,6.05
11.958,6.05
12,5.46
12.042,5.46
12.083,5.46
12.125,5.46
12.167,5.46
12.208,5.46
12.25,5.46
12.292,5.46
12.333,5.46
12.375,5.46
