$Trinity Lake Br3 inflow updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
1,0.481381849
1.042,0.481381849
1.083,0.481381849
1.125,0.481381849
1.167,0.481381849
1.208,0.481381849
1.25,0.481381849
1.292,0.481381849
1.333,0.481381849
1.375,0.481381849
1.417,0.481381849
1.458,0.481381849
1.5,0.481381849
1.542,0.481381849
1.583,0.481381849
1.625,0.481381849
1.667,0.481381849
1.708,0.481381849
1.75,0.481381849
1.792,0.481381849
1.833,0.481381849
1.875,0.481381849
1.917,0.481381849
1.958,0.481381849
2,0.906130539
2.042,0.906130539
2.083,0.906130539
2.125,0.906130539
2.167,0.906130539
2.208,0.906130539
2.25,0.906130539
2.292,0.906130539
2.333,0.906130539
2.375,0.906130539
2.417,0.906130539
2.458,0.906130539
2.5,0.906130539
2.542,0.906130539
2.583,0.906130539
2.625,0.906130539
2.667,0.906130539
2.708,0.906130539
2.75,0.906130539
2.792,0.906130539
2.833,0.906130539
2.875,0.906130539
2.917,0.906130539
2.958,0.906130539
3,0.991080278
3.042,0.991080278
3.083,0.991080278
3.125,0.991080278
3.167,0.991080278
3.208,0.991080278
3.25,0.991080278
3.292,0.991080278
3.333,0.991080278
3.375,0.991080278
3.417,0.991080278
3.458,0.991080278
3.5,0.991080278
3.542,0.991080278
3.583,0.991080278
3.625,0.991080278
3.667,0.991080278
3.708,0.991080278
3.75,0.991080278
3.792,0.991080278
3.833,0.991080278
3.875,0.991080278
3.917,0.991080278
3.958,0.991080278
4,1.359195809
4.042,1.359195809
4.083,1.359195809
4.125,1.359195809
4.167,1.359195809
4.208,1.359195809
4.25,1.359195809
4.292,1.359195809
4.333,1.359195809
4.375,1.359195809
4.417,1.359195809
4.458,1.359195809
4.5,1.359195809
4.542,1.359195809
4.583,1.359195809
4.625,1.359195809
4.667,1.359195809
4.708,1.359195809
4.75,1.359195809
4.792,1.359195809
4.833,1.359195809
4.875,1.359195809
4.917,1.359195809
4.958,1.359195809
5,5.012034546
5.042,5.012034546
5.083,5.012034546
5.125,5.012034546
5.167,5.012034546
5.208,5.012034546
5.25,5.012034546
5.292,5.012034546
5.333,5.012034546
5.375,5.012034546
5.417,5.012034546
5.458,5.012034546
5.5,5.012034546
5.542,5.012034546
5.583,5.012034546
5.625,5.012034546
5.667,5.012034546
5.708,5.012034546
5.75,5.012034546
5.792,5.012034546
5.833,5.012034546
5.875,5.012034546
5.917,5.012034546
5.958,5.012034546
6,3.029873991
6.042,3.029873991
6.083,3.029873991
6.125,3.029873991
6.167,3.029873991
6.208,3.029873991
6.25,3.029873991
6.292,3.029873991
6.333,3.029873991
6.375,3.029873991
