$Lewiston met year 2018 YC 06/23/22,,,,,,
",,,",,,,,,
Julian Date,Air Temp,Dewpoint Temp,Wind Speed,Wind Direction,Cloud Cover,Short radiation
1,8.79,4.23,5,5.707226654,0,0
1.042,9.35,3.12,3,5.654866776,0,0
1.083,8.79,4.23,5,5.707226654,0,0
1.125,8.79,4.23,3,5.742133239,0,0
1.167,7.68,4.81,2,5.585053606,0,0
1.208,8.24,2.9,4,6.056292504,0,0
1.25,8.24,2.9,3,5.532693729,0,0
1.292,8.24,3.5,2,5.393067389,0,0
1.333,9.35,4.17,3,5.602506899,0,36.03
1.375,9.9,4.49,3,5.916666164,0,176.89
1.417,12.68,6.5,1,5.445427266,0,295.9
1.458,13.24,7.03,3,6.038839212,0,380.86
1.5,15.46,7.74,2,5.567600314,0,403.87
1.542,17.12,8.28,2,6.091199089,0,405.85
1.583,18.24,8.23,1,5.497787144,0,342.86
1.625,18.24,8.51,2,5.881759579,0,239.88
1.667,16.01,7.5,3,5.619960191,0,89.96
1.708,13.79,7.56,4,5.672320069,0,3.95
1.75,13.24,5.17,4,5.480333851,0,0
1.792,12.12,5.3,4,5.619960191,0,0
1.833,11.57,5,4,5.585053606,0,0
1.875,11.57,3.6,3,6.073745797,0,0
1.917,11.01,3.56,4,5.951572749,0,0
1.958,10.46,3.04,3,5.393067389,0,0
2,10.46,2.32,1,5.218534463,0,0
2.042,10.46,2.32,3,5.148721293,0,0
2.083,9.35,1.99,1,1.815142422,0,0
2.125,8.79,1.92,0,1.972222055,0,0
2.167,6.57,3.55,2,2.28638132,0,0
2.208,7.12,4.09,1,2.460914245,0,0
2.25,7.12,3.91,1,2.775073511,0,0
2.292,6.57,3.55,2,5.846852994,0,0
2.333,6.57,3.9,5,5.602506899,0,24.99
2.375,8.79,3.83,3,5.375614096,0,101.93
2.417,9.35,4.77,1,6.16101226,0,173.98
2.458,11.01,5.13,3,5.637413484,0,261.85
2.5,12.12,5.52,3,5.654866776,0,245.93
2.542,13.79,6.41,2,0.261799388,0,256.85
2.583,13.24,6.36,0,5.305800926,0,186.89
2.625,13.24,5.41,2,5.497787144,0,127.96
2.667,12.12,6.19,2,5.585053606,0,56.95
2.708,12.68,5.83,3,5.602506899,0,3.95
2.75,12.12,5.3,1,2.513274123,0,0
2.792,11.01,5.34,3,4.22369679,0,0
2.833,10.46,5.83,3,5.724679947,0,0
2.875,11.01,6.36,2,5.567600314,0,0
2.917,11.57,5.23,4,0.890117919,0,0
2.958,10.46,4.6,2,5.235987756,0,0
3,9.35,5.72,3,4.764748858,0,0
3.042,8.24,6.21,3,4.206243497,0,0
3.083,8.79,5.17,5,5.759586532,0,0
3.125,9.35,4.96,3,5.410520681,0,0
3.167,10.46,3.27,3,5.532693729,0,0
3.208,9.9,3.64,3,5.707226654,0,0
3.25,9.9,3.64,4,5.532693729,0,0
3.292,8.79,4.42,4,5.654866776,0,0
3.333,8.79,4.23,4,5.358160804,0,11.97
3.375,10.46,4.6,4,5.497787144,0,87.98
3.417,12.12,5.52,3,5.637413484,0,114.94
3.458,13.24,5.65,4,5.550147021,0,228.96
3.5,13.79,4.12,4,5.567600314,0,127.96
3.542,15.46,5.94,3,5.934119457,0,147.95
3.583,16.01,6.44,1,0.41887902,0,94.02
3.625,15.46,5.38,3,1.343903524,0,49.05
3.667,14.9,3.7,3,1.570796327,0,33.94
3.708,14.35,3.79,5,1.169370599,0,1.05
3.75,13.79,2.69,4,1.274090354,0,0
3.792,13.24,1.58,6,0,0,0
3.833,13.24,4.66,4,0.663225116,0,0
3.875,12.12,4.12,3,0.523598776,0,0
3.917,12.12,4.12,5,5.689773362,0,0
3.958,12.12,4.12,6,5.846852994,0,0
4,12.12,4.12,3,5.934119457,0,0
4.042,11.01,6.16,5,6.091199089,0,0
4.083,11.01,5.55,7,1.8675023,0,0
4.125,10.46,6.22,3,1.79768913,0,0
4.167,9.9,7.84,3,0.471238898,0,0
4.208,9.35,7.8,3,5.811946409,0,0
4.25,9.35,8.43,4,5.724679947,0,0
4.292,9.35,8.43,2,0.715584993,0,0
4.333,9.35,8.75,3,0.733038286,0,6.97
4.375,9.35,8.59,4,1.745329252,0,31.03
4.417,9.9,8.98,2,1.308996939,0,38
4.458,9.9,8.98,4,6.178465552,0,71.01
4.5,9.9,9.14,5,0.506145483,0,94.02
4.542,10.46,9.85,4,5.934119457,0,112.97
