$Trinity Lake qdt year 2018 YC 08/26/22,
",,,",
JDAY,qdt
1,0.278396665
1.042,-57.07560334
1.083,0.278396665
1.125,0.278396665
1.167,-13.66360333
1.208,-23.78660334
1.25,-15.38260334
1.292,-46.63560334
1.333,0.278396665
1.375,0.278396665
1.417,0.278396665
1.458,-26.24260334
1.5,0.278396665
1.542,83.58739667
1.583,0.278396665
1.625,15.93039667
1.667,-42.33160334
1.708,0.278396665
1.75,28.71539667
1.792,0.278396665
1.833,0.278396665
1.875,0.278396665
1.917,0.278396665
1.958,9.552396665
2,5.54814889
2.042,0.81214889
2.083,0.81214889
2.125,0.81214889
2.167,-31.82585111
2.208,-11.61785111
2.25,0.81214889
2.292,53.96614889
2.333,0.81214889
2.375,0.81214889
2.417,-27.13785111
2.458,0.81214889
2.5,0.81214889
2.542,15.55614889
2.583,-21.62185111
2.625,-14.77785111
2.667,0.81214889
2.708,-5.28185111
2.75,-13.68285111
2.792,-8.71185111
2.833,0.81214889
2.875,0.81214889
2.917,0.81214889
2.958,46.97714889
3,-0.221129908
3.042,-0.221129908
3.083,14.16487009
3.125,-0.221129908
3.167,-32.58712991
3.208,-0.221129908
3.25,-0.221129908
3.292,29.40887009
3.333,-0.221129908
3.375,0.144870092
3.417,42.38887009
3.458,-0.221129908
3.5,-0.221129908
3.542,-70.05812991
3.583,-0.221129908
3.625,-0.221129908
3.667,-0.963129908
3.708,-25.66612991
3.75,-21.12712991
3.792,-0.221129908
3.833,91.48687009
3.875,-0.221129908
3.917,-4.524129908
3.958,-18.07112991
4,26.97645859
4.042,71.65145859
4.083,-1.435541414
4.125,-58.01454141
4.167,1.773458586
4.208,-1.435541414
4.25,-1.435541414
4.292,-15.43854141
4.333,-13.17554141
4.375,-1.435541414
4.417,53.37945859
4.458,-1.435541414
4.5,-14.35954141
4.542,-3.199541414
4.583,-24.66454141
4.625,-3.199541414
4.667,-16.25054141
4.708,-67.61854141
4.75,-1.435541414
4.792,-4.892541414
4.833,12.25045859
4.875,-1.435541414
4.917,-1.435541414
4.958,20.94945859
5,1.189426343
5.042,-12.36957366
5.083,-56.69657366
5.125,-2.267573657
5.167,-52.46857366
5.208,1.189426343
5.25,0.863426343
5.292,42.58442634
5.333,-2.351573657
5.375,-15.19057366
5.417,1.189426343
5.458,1.189426343
5.5,66.33442634
5.542,11.63042634
5.583,1.189426343
5.625,-19.70457366
5.667,1.189426343
5.708,75.49342634
5.75,1.189426343
5.792,-41.42057366
5.833,1.189426343
5.875,1.189426343
5.917,1.189426343
5.958,65.29042634
6,-28.49830574
6.042,-49.14530574
6.083,-1.31530574
6.125,-1.31530574
6.167,17.74469426
6.208,29.90369426
6.25,-1.31530574
6.292,-1.31530574
6.333,-1.31530574
6.375,-1.31530574
6.417,-1.31530574
6.458,-1.31530574
6.5,-1.43830574
6.542,-1.31530574
6.583,-1.31530574
6.625,-1.31530574
6.667,-1.31530574
6.708,1.36269426
6.75,-3.07930574
6.792,-1.31530574
6.833,-71.13330574
6.875,-1.31530574
6.917,31.70069426
6.958,17.40169426
7,1.35044089
7.042,1.35044089
7.083,-11.61655911
7.125,-40.53755911
7.167,1.35044089
7.208,3.22044089
7.25,-18.35955911
7.292,-80.41355911
7.333,-19.10055911
7.375,-7.39755911
7.417,1.35044089
7.458,-12.14455911
7.5,1.35044089
7.542,1.35044089
7.583,-14.32955911
7.625,-55.22855911
7.667,-18.27855911
7.708,1.35044089
7.75,1.35044089
7.792,1.35044089
7.833,78.46244089
7.875,93.55544089
7.917,88.26444089
7.958,20.93444089
8,3.458754725
8.042,-3.612245275
8.083,10.11775473
8.125,-0.915245275
8.167,-28.30924528
8.208,-0.915245275
8.25,-1.445245275
8.292,-0.915245275
8.333,27.84175473
8.375,4.304754725
8.417,25.36475473
8.458,83.78175473
8.5,30.40775473
8.542,-0.915245275
8.583,-40.93024528
8.625,-85.28924528
8.667,-20.88024528
8.708,-20.31724528
8.75,-18.34024528
8.792,-2.608245275
8.833,-0.915245275
8.875,-0.915245275
8.917,-13.66724528
8.958,-24.04124528
9,-8.5635161
9.042,0.185483899
9.083,-0.589516101
9.125,-0.661516101
9.167,-11.1025161
9.208,-0.661516101
9.25,-0.661516101
9.292,-0.661516101
9.333,-0.661516101
9.375,-5.820516101
9.417,-4.077516101
9.458,-0.661516101
9.5,-0.661516101
9.542,-0.979516101
9.583,-0.661516101
9.625,-0.661516101
9.667,10.6264839
9.708,-0.661516101
9.75,-43.2715161
9.792,-0.661516101
9.833,49.9744839
9.875,-0.661516101
9.917,-0.661516101
9.958,-0.661516101
10,13.30642839
10.042,-0.731571608
10.083,18.55442839
10.125,-2.828571608
10.167,-0.731571608
10.208,-0.731571608
10.25,29.15942839
10.292,-0.731571608
10.333,-0.731571608
10.375,-59.18057161
10.417,-0.731571608
10.458,-0.731571608
10.5,-44.02357161
10.542,-0.731571608
10.583,11.61442839
10.625,-0.731571608
10.667,44.41942839
10.708,-0.731571608
10.75,-0.731571608
10.792,-0.731571608
10.833,12.20842839
10.875,-0.731571608
10.917,-0.731571608
10.958,-16.70557161
11,-24.69896631
11.042,1.403033692
11.083,16.10603369
11.125,1.403033692
11.167,1.403033692
11.208,1.403033692
11.25,18.93203369
11.292,15.30103369
11.333,1.403033692
11.375,1.403033692
11.417,-23.36596631
11.458,1.403033692
11.5,-28.68696631
11.542,-43.81796631
11.583,-1.270966308
11.625,-18.35196631
11.667,-115.9869663
11.708,-60.02396631
11.75,35.12503369
11.792,1.403033692
11.833,142.6850337
11.875,70.96203369
11.917,-15.17596631
11.958,5.056033692
12,13.49149689
12.042,-6.726503108
12.083,-35.48450311
12.125,-3.016503108
12.167,-3.016503108
12.208,38.05149689
12.25,-3.016503108
12.292,-31.80050311
12.333,-35.03150311
12.375,-3.016503108
12.417,-3.016503108
12.458,47.55549689
12.5,-3.016503108
12.542,-3.016503108
12.583,-5.224503108
12.625,-3.016503108
12.667,-34.33950311
12.708,-58.89050311
12.75,-3.016503108
12.792,54.40849689
12.833,-3.016503108
12.875,-3.016503108
12.917,-19.31750311
12.958,-3.016503108
13,76.38810019
13.042,2.497100187
13.083,-47.98389981
13.125,-14.85789981
13.167,2.497100187
13.208,2.497100187
13.25,2.497100187
13.292,19.86810019
13.333,2.497100187
13.375,2.497100187
13.417,-35.39189981
13.458,-26.91589981
13.5,2.497100187
13.542,2.497100187
13.583,2.497100187
13.625,-22.86089981
13.667,2.497100187
13.708,39.13610019
13.75,2.497100187
13.792,-7.872899813
13.833,3.003100187
13.875,55.44210019
13.917,6.800100187
13.958,2.497100187
14,-1.332199053
14.042,-1.332199053
14.083,27.53180095
14.125,-1.332199053
14.167,-16.14719905
14.208,-1.332199053
14.25,-1.332199053
14.292,0.959800947
14.333,-1.332199053
14.375,-1.332199053
14.417,-33.34319905
14.458,-1.332199053
14.5,-1.332199053
14.542,-1.332199053
14.583,-1.332199053
14.625,-1.332199053
14.667,-1.332199053
14.708,-1.332199053
14.75,-18.07719905
14.792,-21.96519905
14.833,-1.332199053
14.875,39.49180095
14.917,125.6528009
14.958,-1.332199053
15,-96.69423416
15.042,-0.199234158
15.083,58.09876584
15.125,-0.199234158
15.167,-27.39823416
15.208,-32.21423416
15.25,-0.199234158
15.292,-0.199234158
15.333,21.82476584
15.375,-0.199234158
15.417,-141.9992342
15.458,-0.199234158
15.5,41.68876584
15.542,-0.199234158
15.583,-0.199234158
15.625,-28.94923416
15.667,-17.62423416
15.708,-0.199234158
15.75,45.27476584
15.792,27.66676584
15.833,31.50576584
15.875,11.08876584
15.917,-0.199234158
15.958,-0.199234158
16,-0.565550975
16.042,-14.50655098
16.083,-33.51955098
16.125,-26.59755098
16.167,-19.75455098
16.208,-24.55855098
16.25,-0.565550975
16.292,-0.565550975
16.333,-0.565550975
16.375,34.23544903
16.417,-0.565550975
16.458,-0.565550975
16.5,33.95144903
16.542,29.06444903
16.583,-0.565550975
16.625,-19.81655098
16.667,-0.565550975
16.708,-0.565550975
16.75,-42.45555098
16.792,6.076449025
16.833,-0.565550975
16.875,-0.565550975
16.917,-0.565550975
16.958,10.18844903
17,29.56445615
17.042,0.851456153
17.083,9.260456153
17.125,38.74245615
17.167,0.851456153
17.208,-10.19654385
17.25,-35.36854385
17.292,0.851456153
17.333,-0.339543847
17.375,-13.96354385
17.417,-13.49554385
17.458,-26.75454385
17.5,0.851456153
17.542,43.46145615
17.583,30.26445615
17.625,36.03945615
17.667,26.88345615
17.708,0.851456153
17.75,-54.70254385
17.792,-45.21554385
17.833,0.851456153
17.875,0.851456153
17.917,10.31845615
17.958,6.199456153
18,0.498640044
18.042,0.498640044
18.083,-50.72935996
18.125,0.498640044
18.167,0.498640044
18.208,-6.58935996
18.25,-7.332359956
18.292,12.63264004
18.333,-7.523359956
18.375,-16.00935996
18.417,0.498640044
18.458,0.498640044
18.5,0.498640044
18.542,-6.66535996
18.583,-11.13635996
18.625,0.498640044
18.667,0.498640044
18.708,18.91964004
18.75,11.78664004
18.792,71.54064004
18.833,44.14764004
18.875,0.498640044
18.917,-13.36435996
18.958,0.498640044
19,-0.935284329
19.042,-51.64528433
19.083,-0.935284329
19.125,-0.935284329
19.167,-31.51128433
19.208,-0.935284329
19.25,0.248715671
19.292,-16.47028433
19.333,-0.935284329
19.375,-32.47728433
19.417,-0.935284329
19.458,-0.935284329
19.5,-28.54728433
