$Trinity Lake Br1 inflow Tw year 2018 updated YC 06/01/23,
",,,",
Jday,Trinity R
1,4.51
1.042,4.51
1.083,4.51
1.125,4.51
1.167,4.51
1.208,4.51
1.25,4.51
1.292,4.51
1.333,4.51
1.375,4.51
1.417,4.51
1.458,4.51
1.5,4.51
1.542,4.51
1.583,4.51
1.625,4.51
1.667,4.51
1.708,4.51
1.75,4.51
1.792,4.51
1.833,4.51
1.875,4.51
1.917,4.51
1.958,4.51
2,4.12
2.042,4.12
2.083,4.12
2.125,4.12
2.167,4.12
2.208,4.12
2.25,4.12
2.292,4.12
2.333,4.12
2.375,4.12
2.417,4.12
2.458,4.12
2.5,4.12
2.542,4.12
2.583,4.12
2.625,4.12
2.667,4.12
2.708,4.12
2.75,4.12
2.792,4.12
2.833,4.12
2.875,4.12
2.917,4.12
2.958,4.12
3,4.77
3.042,4.77
3.083,4.77
3.125,4.77
3.167,4.77
3.208,4.77
3.25,4.77
3.292,4.77
3.333,4.77
3.375,4.77
3.417,4.77
3.458,4.77
3.5,4.77
3.542,4.77
3.583,4.77
3.625,4.77
3.667,4.77
3.708,4.77
3.75,4.77
3.792,4.77
3.833,4.77
3.875,4.77
3.917,4.77
3.958,4.77
4,6.29
4.042,6.29
4.083,6.29
4.125,6.29
4.167,6.29
4.208,6.29
4.25,6.29
4.292,6.29
4.333,6.29
4.375,6.29
4.417,6.29
4.458,6.29
4.5,6.29
4.542,6.29
4.583,6.29
4.625,6.29
4.667,6.29
4.708,6.29
4.75,6.29
4.792,6.29
4.833,6.29
4.875,6.29
4.917,6.29
4.958,6.29
5,6.82
5.042,6.82
5.083,6.82
5.125,6.82
5.167,6.82
5.208,6.82
5.25,6.82
5.292,6.82
5.333,6.82
5.375,6.82
5.417,6.82
5.458,6.82
5.5,6.82
5.542,6.82
5.583,6.82
5.625,6.82
5.667,6.82
5.708,6.82
5.75,6.82
5.792,6.82
5.833,6.82
5.875,6.82
5.917,6.82
5.958,6.82
6,5.63
6.042,5.63
6.083,5.63
6.125,5.63
6.167,5.63
6.208,5.63
6.25,5.63
6.292,5.63
6.333,5.63
6.375,5.63
6.417,5.63
6.458,5.63
6.5,5.63
6.542,5.63
6.583,5.63
6.625,5.63
6.667,5.63
6.708,5.63
6.75,5.63
6.792,5.63
6.833,5.63
6.875,5.63
6.917,5.63
6.958,5.63
7,4.67
7.042,4.67
7.083,4.67
7.125,4.67
7.167,4.67
7.208,4.67
7.25,4.67
7.292,4.67
7.333,4.67
7.375,4.67
7.417,4.67
7.458,4.67
7.5,4.67
7.542,4.67
7.583,4.67
7.625,4.67
7.667,4.67
7.708,4.67
7.75,4.67
7.792,4.67
7.833,4.67
7.875,4.67
7.917,4.67
7.958,4.67
8,5.06
8.042,5.06
8.083,5.06
8.125,5.06
8.167,5.06
8.208,5.06
8.25,5.06
8.292,5.06
8.333,5.06
8.375,5.06
8.417,5.06
8.458,5.06
8.5,5.06
8.542,5.06
8.583,5.06
8.625,5.06
8.667,5.06
8.708,5.06
8.75,5.06
8.792,5.06
8.833,5.06
8.875,5.06
8.917,5.06
8.958,5.06
9,5.61
9.042,5.61
9.083,5.61
9.125,5.61
9.167,5.61
9.208,5.61
9.25,5.61
9.292,5.61
9.333,5.61
9.375,5.61
9.417,5.61
9.458,5.61
9.5,5.61
9.542,5.61
9.583,5.61
9.625,5.61
9.667,5.61
9.708,5.61
9.75,5.61
9.792,5.61
9.833,5.61
9.875,5.61
9.917,5.61
9.958,5.61
10,5.26
10.042,5.26
10.083,5.26
10.125,5.26
10.167,5.26
10.208,5.26
10.25,5.26
10.292,5.26
10.333,5.26
10.375,5.26
10.417,5.26
10.458,5.26
10.5,5.26
10.542,5.26
10.583,5.26
10.625,5.26
10.667,5.26
10.708,5.26
10.75,5.26
10.792,5.26
10.833,5.26
10.875,5.26
10.917,5.26
10.958,5.26
11,5.63
11.042,5.63
11.083,5.63
11.125,5.63
11.167,5.63
11.208,5.63
11.25,5.63
11.292,5.63
11.333,5.63
11.375,5.63
11.417,5.63
11.458,5.63
11.5,5.63
11.542,5.63
11.583,5.63
11.625,5.63
11.667,5.63
11.708,5.63
11.75,5.63
11.792,5.63
11.833,5.63
11.875,5.63
11.917,5.63
11.958,5.63
12,5.04
12.042,5.04
12.083,5.04
12.125,5.04
12.167,5.04
12.208,5.04
12.25,5.04
12.292,5.04
12.333,5.04
12.375,5.04
12.417,5.04
12.458,5.04
12.5,5.04
12.542,5.04
12.583,5.04
12.625,5.04
12.667,5.04
12.708,5.04
12.75,5.04
12.792,5.04
12.833,5.04
12.875,5.04
12.917,5.04
12.958,5.04
13,4.36
13.042,4.36
13.083,4.36
13.125,4.36
13.167,4.36
13.208,4.36
13.25,4.36
13.292,4.36
13.333,4.36
13.375,4.36
13.417,4.36
13.458,4.36
13.5,4.36
13.542,4.36
13.583,4.36
13.625,4.36
13.667,4.36
13.708,4.36
13.75,4.36
13.792,4.36
13.833,4.36
13.875,4.36
13.917,4.36
13.958,4.36
14,4.8
14.042,4.8
14.083,4.8
14.125,4.8
14.167,4.8
14.208,4.8
14.25,4.8
14.292,4.8
14.333,4.8
14.375,4.8
14.417,4.8
14.458,4.8
14.5,4.8
14.542,4.8
14.583,4.8
14.625,4.8
14.667,4.8
14.708,4.8
14.75,4.8
14.792,4.8
14.833,4.8
14.875,4.8
14.917,4.8
14.958,4.8
15,5.09
15.042,5.09
15.083,5.09
15.125,5.09
15.167,5.09
15.208,5.09
15.25,5.09
15.292,5.09
15.333,5.09
15.375,5.09
15.417,5.09
15.458,5.09
15.5,5.09
15.542,5.09
15.583,5.09
15.625,5.09
15.667,5.09
15.708,5.09
15.75,5.09
15.792,5.09
15.833,5.09
15.875,5.09
15.917,5.09
15.958,5.09
16,6.04
16.042,6.04
16.083,6.04
16.125,6.04
