$Trinity Br1 inflow year 2019 updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
1,3.652838737
1.042,3.652838737
1.083,3.652838737
1.125,3.652838737
1.167,3.652838737
1.208,3.652838737
1.25,3.652838737
1.292,3.652838737
1.333,3.652838737
1.375,3.652838737
1.417,3.652838737
1.458,3.652838737
1.5,3.652838737
1.542,3.652838737
1.583,3.652838737
1.625,3.652838737
1.667,3.652838737
1.708,3.652838737
1.75,3.652838737
1.792,3.652838737
1.833,3.652838737
1.875,3.652838737
1.917,3.652838737
1.958,3.652838737
2,4.162537166
2.042,4.162537166
2.083,4.162537166
2.125,4.162537166
2.167,4.162537166
2.208,4.162537166
2.25,4.162537166
2.292,4.162537166
2.333,4.162537166
2.375,4.162537166
2.417,4.162537166
2.458,4.162537166
2.5,4.162537166
2.542,4.162537166
2.583,4.162537166
2.625,4.162537166
2.667,4.162537166
2.708,4.162537166
2.75,4.162537166
2.792,4.162537166
2.833,4.162537166
2.875,4.162537166
2.917,4.162537166
2.958,4.162537166
3,4.728868753
3.042,4.728868753
3.083,4.728868753
3.125,4.728868753
3.167,4.728868753
3.208,4.728868753
3.25,4.728868753
3.292,4.728868753
3.333,4.728868753
3.375,4.728868753
3.417,4.728868753
3.458,4.728868753
3.5,4.728868753
3.542,4.728868753
3.583,4.728868753
3.625,4.728868753
3.667,4.728868753
3.708,4.728868753
3.75,4.728868753
3.792,4.728868753
3.833,4.728868753
3.875,4.728868753
3.917,4.728868753
3.958,4.728868753
4,4.275803483
4.042,4.275803483
4.083,4.275803483
4.125,4.275803483
4.167,4.275803483
4.208,4.275803483
4.25,4.275803483
4.292,4.275803483
4.333,4.275803483
4.375,4.275803483
4.417,4.275803483
4.458,4.275803483
4.5,4.275803483
4.542,4.275803483
4.583,4.275803483
4.625,4.275803483
4.667,4.275803483
4.708,4.275803483
4.75,4.275803483
4.792,4.275803483
4.833,4.275803483
4.875,4.275803483
4.917,4.275803483
4.958,4.275803483
5,6.62607957
5.042,6.62607957
5.083,6.62607957
5.125,6.62607957
5.167,6.62607957
5.208,6.62607957
5.25,6.62607957
5.292,6.62607957
5.333,6.62607957
5.375,6.62607957
5.417,6.62607957
5.458,6.62607957
5.5,6.62607957
5.542,6.62607957
5.583,6.62607957
5.625,6.62607957
5.667,6.62607957
5.708,6.62607957
5.75,6.62607957
5.792,6.62607957
5.833,6.62607957
5.875,6.62607957
5.917,6.62607957
5.958,6.62607957
6,9.571003823
6.042,9.571003823
6.083,9.571003823
6.125,9.571003823
6.167,9.571003823
6.208,9.571003823
6.25,9.571003823
6.292,9.571003823
6.333,9.571003823
6.375,9.571003823
