$Trinity Br4 inflow year 2019 YC the same Tw as Stuart Fork 06/1/23,
",,,",
Jday,Stuart
1,1.19
1.042,1.19
1.083,1.19
1.125,1.19
1.167,1.19
1.208,1.19
1.25,1.19
1.292,1.19
1.333,1.19
1.375,1.19
1.417,1.19
1.458,1.19
1.5,1.19
1.542,1.19
1.583,1.19
1.625,1.19
1.667,1.19
1.708,1.19
1.75,1.19
1.792,1.19
1.833,1.19
1.875,1.19
1.917,1.19
1.958,1.19
2,1.01
2.042,1.01
2.083,1.01
2.125,1.01
2.167,1.01
2.208,1.01
2.25,1.01
2.292,1.01
2.333,1.01
2.375,1.01
2.417,1.01
2.458,1.01
2.5,1.01
2.542,1.01
2.583,1.01
2.625,1.01
2.667,1.01
2.708,1.01
2.75,1.01
2.792,1.01
2.833,1.01
2.875,1.01
2.917,1.01
2.958,1.01
3,1.74
3.042,1.74
3.083,1.74
3.125,1.74
3.167,1.74
3.208,1.74
3.25,1.74
3.292,1.74
3.333,1.74
3.375,1.74
3.417,1.74
3.458,1.74
3.5,1.74
3.542,1.74
3.583,1.74
3.625,1.74
3.667,1.74
3.708,1.74
3.75,1.74
3.792,1.74
3.833,1.74
3.875,1.74
3.917,1.74
3.958,1.74
4,2.21
4.042,2.21
4.083,2.21
4.125,2.21
4.167,2.21
4.208,2.21
4.25,2.21
4.292,2.21
4.333,2.21
4.375,2.21
4.417,2.21
4.458,2.21
4.5,2.21
4.542,2.21
4.583,2.21
4.625,2.21
4.667,2.21
4.708,2.21
4.75,2.21
4.792,2.21
4.833,2.21
4.875,2.21
4.917,2.21
4.958,2.21
5,2.65
5.042,2.65
5.083,2.65
5.125,2.65
5.167,2.65
5.208,2.65
5.25,2.65
5.292,2.65
5.333,2.65
5.375,2.65
5.417,2.65
5.458,2.65
5.5,2.65
5.542,2.65
5.583,2.65
5.625,2.65
5.667,2.65
5.708,2.65
5.75,2.65
5.792,2.65
5.833,2.65
5.875,2.65
5.917,2.65
5.958,2.65
6,2.41
6.042,2.41
6.083,2.41
6.125,2.41
6.167,2.41
6.208,2.41
6.25,2.41
6.292,2.41
6.333,2.41
6.375,2.41
6.417,2.41
6.458,2.41
6.5,2.41
6.542,2.41
6.583,2.41
6.625,2.41
6.667,2.41
6.708,2.41
6.75,2.41
6.792,2.41
6.833,2.41
6.875,2.41
6.917,2.41
6.958,2.41
7,2.35
7.042,2.35
7.083,2.35
7.125,2.35
7.167,2.35
