$Dam release the same as Cal/Val flow allocation YC 08/14/2023,,,
",,,",,,
JDAY,WdamL,WdamU,Spill
1.000,6.862,0,0
1.042,6.87,0,0
1.083,6.862,0,0
1.125,6.876,0,0
1.167,6.87,0,0
1.208,6.862,0,0
1.250,6.87,0,0
1.292,6.862,0,0
1.333,6.87,0,0
1.375,6.846,0,0
1.417,6.87,0,0
1.458,6.862,0,0
1.500,6.87,0,0
1.542,6.862,0,0
1.583,6.87,0,0
1.625,6.862,0,0
1.667,6.862,0,0
1.708,6.87,0,0
1.750,6.862,0,0
1.792,6.87,0,0
1.833,6.862,0,0
1.875,6.87,0,0
1.917,6.862,0,0
1.958,6.87,0,0
2.000,6.862,0,0
2.042,6.87,0,0
2.083,6.862,0,0
2.125,6.87,0,0
2.167,6.86,0,0
2.208,6.86,0,0
2.250,6.87,0,0
2.292,6.862,0,0
2.333,6.87,0,0
2.375,6.862,0,0
2.417,6.87,0,0
2.458,6.86,0,0
2.500,6.86,0,0
2.542,6.87,0,0
2.583,6.86,0,0
2.625,6.87,0,0
2.667,6.86,0,0
2.708,6.87,0,0
2.750,6.86,0,0
2.792,6.87,0,0
2.833,6.846,0,0
2.875,6.87,0,0
2.917,6.86,0,0
2.958,6.886,0,0
3.000,6.86,0,0
3.042,6.87,0,0
3.083,6.86,0,0
3.125,6.87,0,0
3.167,6.86,0,0
3.208,6.86,0,0
3.250,6.854,0,0
3.292,6.86,0,0
3.333,6.87,0,0
3.375,6.86,0,0
3.417,6.87,0,0
3.458,6.86,0,0
3.500,6.87,0,0
3.542,6.86,0,0
3.583,6.87,0,0
3.625,6.86,0,0
3.667,6.86,0,0
3.708,6.87,0,0
3.750,6.86,0,0
3.792,6.87,0,0
3.833,6.86,0,0
3.875,6.87,0,0
3.917,6.86,0,0
3.958,6.87,0,0
4.000,6.86,0,0
4.042,6.86,0,0
4.083,6.87,0,0
4.125,6.86,0,0
4.167,6.87,0,0
4.208,6.86,0,0
4.250,6.87,0,0
