Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,          22.50,   531589.45484,  4499634.50803, 10,   363.820
  3,  1,          72.50,   531635.68850,  4499653.42221, 10,   363.820
  4,  1,         140.00,   531699.11722,  4499676.51005, 10,   363.820
  5,  1,         222.50,   531771.08815,  4499715.17131, 10,   363.820
  6,  1,         307.94,   531845.64540,  4499755.30400, 10,   363.820
  7,  1,         385.87,   531916.12977,  4499752.95674, 10,   363.820
  8,  1,         455.87,   531967.98749,  4499707.87512, 10,   363.820
  9,  1,         525.87,   532011.08159,  4499652.71265, 10,   363.820
 10,  1,         595.87,   532065.51734,  4499613.15922, 10,   363.820
 11,  1,         665.87,   532129.30926,  4499617.61843, 10,   363.820
 12,  1,         735.87,   532175.00332,  4499665.77098, 10,   363.820
 13,  1,         805.87,   532189.79441,  4499732.49212, 10,   363.820
 14,  1,         875.87,   532199.44044,  4499801.13672, 10,   363.820
 15,  1,         945.87,   532235.89873,  4499857.27774, 10,   356.820
 16,  1,        1015.87,   532297.17978,  4499885.85035, 10,   356.820
 17,  1,        1085.87,   532361.00269,  4499872.86555, 10,   356.820
 18,  1,        1155.87,   532416.36776,  4499830.38570, 10,   356.820
 19,  1,        1228.37,   532473.09568,  4499785.45630, 10,   356.820
 20,  1,        1305.87,   532529.52297,  4499733.30280, 10,   354.820
 21,  1,        1380.87,   532589.04034,  4499693.60076, 10,   354.820
 22,  1,        1450.87,   532657.84764,  4499684.54131, 10,   354.820
 23,  1,        1520.87,   532724.56905,  4499699.33119, 10,   355.820
 24,  1,        1590.87,   532786.90142,  4499731.09111, 10,   351.820
 25,  1,        1660.87,   532851.31987,  4499757.11909, 10,   351.820
 26,  1,        1730.87,   532919.99404,  4499763.12540, 10,   352.820
 27,  1,        1800.87,   532987.07859,  4499746.39828, 10,   353.820
 28,  1,        1870.87,   533052.18516,  4499720.75096, 10,   351.820
 29,  1,        1940.87,   533119.17666,  4499700.90484, 10,   350.820
 30,  1,        2010.87,   533187.74787,  4499686.95399, 10,   350.820
 31,  1,        2080.87,   533257.19495,  4499679.65541, 10,   348.820
 32,  1,        2150.87,   533326.98192,  4499674.77556, 10,   349.820
 33,  1,        2220.87,   533396.35914,  4499665.64105, 10,   350.820
 34,  1,        2290.87,   533465.90673,  4499658.94310, 10,   349.820
 35,  1,        2360.87,   533528.83728,  4499678.78547, 10,   349.820
 36,  1,        2433.37,   533561.36052,  4499737.06980, 10,   350.820
 37,  1,        2510.87,   533578.95442,  4499812.11094, 10,   351.820
 38,  1,        2590.87,   533620.26148,  4499878.21576, 10,   352.820
 39,  1,        2673.37,   533676.98308,  4499938.08431, 10,   352.820
 40,  1,        2758.37,   533732.73783,  4500002.22641, 10,   347.820
 41,  1,        2845.87,   533799.02686,  4500057.28360, 10,   347.820
 42,  1,        2943.37,   533875.12085,  4500042.65964, 10,   346.820
 43,  1,        3055.87,   533912.24347,  4499945.53605, 10,   346.820
 44,  1,        3170.87,   533939.74282,  4499837.90428, 10,   345.820
 45,  1,        3288.37,   534029.50420,  4499795.72113, 10,   344.820
 46,  1,        3415.87,   534154.24900,  4499783.25593, 10,   344.820
 47,  1,        3545.87,   534270.61923,  4499728.99459, 10,   343.820
 48,  1,        3675.87,   534372.81228,  4499649.15490, 10,   342.820
 49,  1,        3805.87,   534477.40911,  4499573.16201, 10,   343.820
 50,  1,        3935.87,   534596.48534,  4499523.83734, 10,   342.820
 51,  1,        4060.87,   534711.23213,  4499537.01288, 10,   342.820
 52,  1,        4180.87,   534819.57502,  4499587.53491, 10,   342.820
 53,  1,        4295.87,   534930.12094,  4499617.60571, 10,   341.820
 54,  1,        4390.87,   535023.89659,  4499621.58765, 10,   341.820
 55,  1,        4470.87,   535101.09448,  4499602.33881, 10,   340.820
 56,  1,        4550.87,   535173.32233,  4499568.65586, 10,   340.820
 57,  1,        4630.87,   535236.24701,  4499520.37079, 10,   340.820
 58,  1,        4710.87,   535281.43393,  4499455.83305, 10,   339.820
 59,  1,        4810.87,   535308.75303,  4499360.49098, 10,   338.820
 60,  1,        4940.87,   535307.01601,  4499232.46507, 10,   338.820
 61,  1,        5075.87,   535289.19561,  4499098.77567, 10,   338.820
 62,  1,        5215.87,   535296.54841,  4498960.16200, 10,   337.820
 63,  1,        5380.87,   535354.56743,  4498808.35789, 10,   335.820
 64,  1,        5575.87,   535480.00241,  4498662.92393, 10,   333.820
 65,  1,        5785.87,   535659.10455,  4498559.51628, 10,   329.820
 66,  1,        6025.87,   535874.68323,  4498456.09822, 10,   328.820
 67,  1,        6325.87,   536126.75156,  4498293.95046, 10,   327.820
 68,  1,        6680.87,   536333.08481,  4498023.14012, 10,   323.820
 69,  1,        7120.87,   536547.66052,  4497642.19096, 10,   320.820
 70,  1,        7720.87,   536994.16544,  4497262.40204, 10,   318.820
