 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
    1.0000,      0.00,      1.25,    327.66,
    1.0420,      8.99,      1.25,    327.66,
    1.0838,      8.98,      1.25,    327.66,
    1.1257,      8.97,      1.25,    327.66,
    1.1670,      8.96,      1.25,    327.66,
    1.2088,      8.95,      1.25,    327.66,
    1.2507,      8.93,      1.25,    327.66,
    1.2920,      8.91,      1.26,    327.66,
    1.3338,      8.90,      1.25,    327.66,
    1.3757,      8.89,      1.25,    327.66,
    1.4170,      8.89,      1.25,    327.66,
    1.4588,      8.89,      1.26,    327.66,
    1.5007,      8.89,      1.25,    327.66,
    1.5427,      8.89,      1.26,    327.66,
    1.5842,      8.89,      1.25,    327.66,
    1.6257,      8.89,      1.25,    327.66,
    1.6677,      8.89,      1.25,    327.66,
    1.7092,      8.89,      1.25,    327.66,
    1.7507,      8.89,      1.25,    327.66,
    1.7925,      8.90,      1.25,    327.66,
    1.8342,      8.90,      1.25,    327.66,
    1.8762,      8.90,      1.25,    327.66,
    1.9176,      8.90,      1.25,    327.66,
    1.9594,      8.90,      1.25,    327.66,
    2.0014,      8.89,      1.25,    327.66,
    2.0427,      8.89,      1.25,    327.66,
    2.0843,      8.88,      1.25,    327.66,
    2.1264,      8.87,      1.25,    327.66,
    2.1677,      8.87,      1.25,    327.66,
    2.2098,      8.86,      1.25,    327.66,
    2.2514,      8.85,      1.25,    327.66,
    2.2927,      8.85,      1.25,    327.66,
    2.3347,      8.84,      1.25,    327.66,
    2.3764,      8.83,      1.25,    327.66,
    2.4184,      8.83,      1.25,    327.66,
    2.4599,      8.84,      1.25,    327.66,
    2.5014,      8.84,      1.25,    327.66,
    2.5434,      8.84,      1.25,    327.66,
    2.5850,      8.84,      1.25,    327.66,
    2.6264,      8.84,      1.25,    327.66,
    2.6684,      8.84,      1.25,    327.66,
    2.7100,      8.85,      1.25,    327.66,
    2.7514,      8.85,      1.25,    327.66,
    2.7934,      8.85,      1.25,    327.66,
    2.8350,      8.85,      1.25,    327.66,
    2.8771,      8.85,      1.25,    327.66,
    2.9184,      8.85,      1.25,    327.66,
    2.9604,      8.85,      1.25,    327.66,
    3.0021,      8.85,      1.25,    327.66,
    3.0434,      8.85,      1.25,    327.66,
    3.0854,      8.84,      1.25,    327.66,
    3.1268,      8.83,      1.25,    327.66,
    3.1684,      8.83,      1.25,    327.66,
    3.2104,      8.82,      1.25,    327.66,
    3.2521,      8.81,      1.25,    327.66,
    3.2941,      8.80,      1.25,    327.66,
    3.3356,      8.80,      1.25,    327.66,
    3.3771,      8.79,      1.25,    327.66,
    3.4191,      8.79,      1.26,    327.66,
    3.4606,      8.79,      1.25,    327.66,
    3.5025,      8.79,      1.25,    327.66,
    3.5441,      8.79,      1.25,    327.66,
    3.5859,      8.79,      1.25,    327.66,
    3.6278,      8.79,      1.25,    327.66,
    3.6691,      8.80,      1.25,    327.66,
    3.7111,      8.80,      1.25,    327.66,
    3.7525,      8.80,      1.25,    327.66,
    3.7941,      8.80,      1.25,    327.66,
    3.8361,      8.80,      1.25,    327.66,
    3.8779,      8.80,      1.25,    327.66,
    3.9191,      8.79,      1.25,    327.66,
    3.9611,      8.79,      1.25,    327.66,
    4.0028,      8.78,      1.25,    327.66,
    4.0448,      8.78,      1.25,    327.66,
    4.0861,      8.77,      1.25,    327.66,
    4.1277,      8.76,      1.25,    327.66,
    4.1698,      8.76,      1.25,    327.66,
    4.2111,      8.75,      1.25,    327.66,
    4.2533,      8.74,      1.25,    327.66,
    4.2948,      8.74,      1.25,    327.66,
    4.3361,      8.73,      1.25,    327.66,
    4.3778,      8.72,      1.25,    327.66,
    4.4198,      8.72,      1.25,    327.66,
    4.4617,      8.72,      1.25,    327.66,
    4.5035,      8.72,      1.25,    327.66,
    4.5448,      8.72,      1.25,    327.66,
    4.5867,      8.73,      1.25,    327.66,
    4.6285,      8.73,      1.26,    327.66,
    4.6698,      8.73,      1.25,    327.66,
    4.7117,      8.73,      1.26,    327.66,
    4.7532,      8.73,      1.25,    327.66,
    4.7950,      8.73,      1.25,    327.66,
    4.8364,      8.73,      1.25,    327.66,
    4.8784,      8.73,      1.25,    327.66,
    4.9205,      8.73,      1.25,    327.66,
    4.9618,      8.73,      1.25,    327.66,
    5.0035,      8.73,      1.25,    327.66,
    5.0455,      8.73,      1.25,    327.66,
    5.0872,      8.73,      1.25,    327.66,
    5.1285,      8.72,      1.25,    327.66,
    5.1705,      8.72,      1.25,    327.66,
    5.2122,      8.71,      1.25,    327.66,
    5.2535,      8.70,      1.26,    327.66,
    5.2955,      8.70,      1.25,    327.66,
    5.3373,      8.69,      1.25,    327.66,
    5.3792,      8.69,      1.25,    327.66,
    5.4205,      8.68,      1.25,    327.66,
    5.4623,      8.68,      1.25,    327.66,
    5.5042,      8.67,      1.25,    327.66,
    5.5455,      8.67,      1.25,    327.66,
    5.5873,      8.67,      1.25,    327.66,
    5.6292,      8.66,      1.25,    327.66,
    5.6705,      8.66,      1.25,    327.66,
    5.7123,      8.66,      1.25,    327.66,
    5.7539,      8.65,      1.25,    327.66,
    5.7956,      8.65,      1.25,    327.66,
    5.8375,      8.65,      1.25,    327.66,
    5.8793,      8.64,      1.25,    327.66,
    5.9212,      8.64,      1.25,    327.66,
    5.9624,      8.64,      1.25,    327.66,
    6.0042,      8.63,      1.25,    327.66,
    6.0462,      8.63,      1.25,    327.66,
    6.0879,      8.63,      1.25,    327.66,
    6.1292,      8.62,      1.25,    327.66,
    6.1712,      8.62,      1.25,    327.66,
    6.2129,      8.62,      1.25,    327.66,
    6.2549,      8.62,      1.26,    327.66,
    6.2962,      8.61,      1.25,    327.66,
    6.3379,      8.61,      1.25,    327.66,
    6.3799,      8.61,      1.25,    327.66,
    6.4212,      8.61,      1.25,    327.66,
    6.4630,      8.60,      1.25,    327.66,
    6.5049,      8.60,      1.25,    327.66,
    6.5462,      8.60,      1.25,    327.66,
    6.5879,      8.60,      1.25,    327.66,
    6.6299,      8.60,      1.25,    327.66,
    6.6719,      8.59,      1.25,    327.66,
    6.7130,      8.59,      1.25,    327.66,
    6.7549,      8.59,      1.25,    327.66,
    6.7969,      8.59,      1.25,    327.66,
    6.8380,      8.58,      1.25,    327.66,
    6.8799,      8.58,      1.25,    327.66,
    6.9219,      8.58,      1.25,    327.66,
    6.9637,      8.58,      1.25,    327.66,
    7.0049,      8.57,      1.25,    327.66,
    7.0469,      8.57,      1.25,    327.66,
    7.0882,      8.57,      1.25,    327.66,
    7.1306,      8.56,      1.25,    327.66,
    7.1719,      8.56,      1.25,    327.66,
    7.2139,      8.56,      1.25,    327.66,
    7.2556,      8.55,      1.25,    327.66,
    7.2969,      8.55,      1.25,    327.66,
    7.3389,      8.55,      1.25,    327.66,
    7.3806,      8.54,      1.25,    327.66,
    7.4219,      8.54,      1.25,    327.66,
    7.4639,      8.54,      1.25,    327.66,
    7.5056,      8.54,      1.25,    327.66,
    7.5476,      8.54,      1.25,    327.66,
    7.5889,      8.54,      1.25,    327.66,
    7.6306,      8.54,      1.25,    327.66,
    7.6726,      8.54,      1.25,    327.66,
    7.7139,      8.54,      1.25,    327.66,
    7.7556,      8.54,      1.25,    327.66,
    7.7976,      8.54,      1.25,    327.66,
    7.8389,      8.54,      1.25,    327.66,
    7.8808,      8.53,      1.25,    327.66,
    7.9226,      8.53,      1.25,    327.66,
    7.9643,      8.53,      1.25,    327.66,
    8.0063,      8.53,      1.25,    327.66,
    8.0476,      8.52,      1.25,    327.66,
    8.0890,      8.52,      1.25,    327.66,
    8.1313,      8.52,      1.25,    327.66,
    8.1726,      8.52,      1.25,    327.66,
    8.2148,      8.51,      1.25,    327.66,
    8.2563,      8.51,      1.25,    327.66,
    8.2976,      8.51,      1.25,    327.66,
    8.3398,      8.51,      1.25,    327.66,
    8.3813,      8.51,      1.25,    327.66,
    8.4233,      8.51,      1.25,    327.66,
    8.4649,      8.51,      1.25,    327.66,
    8.5063,      8.51,      1.25,    327.66,
    8.5483,      8.51,      1.25,    327.66,
    8.5899,      8.51,      4.41,    327.66,
    8.6316,      8.51,     44.57,    327.66,
    8.6732,      8.51,     46.30,    327.66,
    8.7149,      8.51,     46.36,    327.66,
    8.7566,      8.51,     44.45,    327.66,
    8.7980,      8.51,     12.86,    327.66,
    8.8400,      8.51,     15.98,    327.66,
    8.8820,      8.51,     17.13,    327.66,
    8.9232,      8.51,     35.57,    327.66,
    8.9652,      8.50,      6.06,    327.66,
    9.0067,      8.49,      4.16,    327.66,
    9.0483,      8.50,     15.31,    327.66,
    9.0901,      8.49,     15.98,    327.66,
    9.1318,      8.48,     15.97,    327.66,
    9.1735,      8.48,     16.02,    327.66,
    9.2150,      8.48,     16.08,    327.66,
    9.2566,      8.47,     17.37,    327.66,
    9.2987,      8.50,     49.47,    327.66,
    9.3400,      8.46,     18.92,    327.66,
    9.3817,      8.45,     15.78,    327.66,
    9.4234,      8.45,     15.83,    327.66,
    9.4653,      8.49,     28.45,    327.66,
    9.5070,      8.48,     37.88,    327.66,
    9.5486,      8.48,     37.84,    327.66,
    9.5905,      8.47,     37.72,    327.66,
    9.6321,      8.46,     37.73,    327.66,
    9.6738,      8.46,     37.81,    327.66,
    9.7157,      8.45,     38.35,    327.66,
    9.7570,      8.44,     54.95,    327.66,
    9.7991,      8.44,     50.59,    327.66,
    9.8405,      8.43,     48.86,    327.66,
    9.8825,      8.42,     48.15,    327.66,
    9.9240,      8.42,     47.26,    327.66,
    9.9659,      8.41,     40.95,    327.66,
   10.0075,      8.41,     42.83,    327.66,
   10.0495,      8.41,     38.17,    327.66,
   10.0906,      8.41,     36.50,    327.66,
   10.1329,      8.41,     37.58,    327.66,
   10.1746,      8.41,     37.61,    327.66,
   10.2163,      8.41,     37.80,    327.66,
   10.2576,      8.41,     37.68,    327.66,
