SEGMENT#, BRANCH#, XC, YC, UTMZONE
102,  1,   546857.99955,  4495953.46172, 10
101,  1,   546870.37325,  4496088.20921, 10
100,  1,   546887.33734,  4496238.19998, 10
 99,  1,   546878.81863,  4496440.46932, 10
 98,  1,   546824.01504,  4496679.93108, 10
 97,  1,   546753.89825,  4496841.12445, 10
 96,  1,   546680.38741,  4496956.12604, 10
 95,  1,   546570.18046,  4497065.23246, 10
 94,  1,   546434.46362,  4497153.50950, 10
 93,  1,   546303.78749,  4497278.35391, 10
 92,  1,   546228.64761,  4497415.97050, 10
 91,  1,   546212.87753,  4497532.04337, 10
 90,  1,   546233.00715,  4497634.64957, 10
 89,  1,   546303.26923,  4497738.14181, 10
 88,  1,   546407.65786,  4497827.46359, 10
 87,  1,   546465.99896,  4497930.46476, 10
 86,  1,   546455.83806,  4498100.31159, 10
 85,  1,   546450.33733,  4498333.03980, 10
 84,  1,   546513.06522,  4498533.71350, 10
 83,  1,   546653.46054,  4498653.73728, 10
 82,  1,   546768.70457,  4498749.65566, 10
 81,  1,   546843.95735,  4498835.37305, 10
 80,  1,   546923.83483,  4498942.99519, 10
 79,  1,   546983.32735,  4499075.71981, 10
 78,  1,   547022.57335,  4499244.57585, 10
 77,  1,   547074.41264,  4499444.50927, 10
 76,  1,   547142.46129,  4499587.21573, 10
 75,  1,   547204.88200,  4499699.32068, 10
 74,  1,   547305.16982,  4499924.49750, 10
 73,  1,   547418.45983,  4500166.73153, 10
 72,  1,   547471.25734,  4500293.33304, 10
 71,  1,   547442.81297,  4500434.71768, 10
 70,  1,   547395.52336,  4500599.51846, 10
 69,  1,   547366.50232,  4500766.96547, 10
 68,  1,   547319.90262,  4500904.49912, 10
 67,  1,   547261.44750,  4500951.47623, 10
 66,  1,   547167.68559,  4500973.94967, 10
 65,  1,   546941.27320,  4500970.49351, 10
 64,  1,   546666.47844,  4500934.58215, 10
 63,  1,   546490.29017,  4500900.26096, 10
 62,  1,   546337.60329,  4500901.17576, 10
 61,  1,   546179.07364,  4500935.46190, 10
 60,  1,   545998.16776,  4501016.67463, 10
 59,  1,   545790.16560,  4501157.24376, 10
 58,  1,   545674.13213,  4501335.64762, 10
 57,  1,   545678.93698,  4501548.00288, 10
 56,  1,   545706.30382,  4501811.27977, 10
 55,  1,   545686.63337,  4502060.63267, 10
 54,  1,   545648.44359,  4502249.59080, 10
 53,  1,   545630.22641,  4502432.97581, 10
 52,  1,   545646.95344,  4502598.10735, 10
 51,  1,   545705.23106,  4502715.76243, 10
 50,  1,   545780.75545,  4502802.93819, 10
 49,  1,   545842.10304,  4502896.15767, 10
 48,  1,   545920.41757,  4503011.15099, 10
 47,  1,   546053.67986,  4503138.10132, 10
 46,  1,   546215.18432,  4503287.17612, 10
 45,  1,   546383.27514,  4503482.74581, 10
 44,  1,   546499.77870,  4503711.20200, 10
 43,  1,   546527.51454,  4503883.05879, 10
 42,  1,   546529.01944,  4503973.44776, 10
 41,  1,   546514.95411,  4504049.00835, 10
 40,  1,   546472.53264,  4504130.41460, 10
 39,  1,   546436.77938,  4504249.66270, 10
 38,  1,   546431.60962,  4504381.29697, 10
 37,  1,   546469.83086,  4504501.81189, 10
 36,  1,   546555.75385,  4504669.96118, 10
 35,  1,   546631.92099,  4504845.79754, 10
 34,  1,   546635.29941,  4504957.34606, 10
 33,  1,   546578.40475,  4505040.95304, 10
 32,  1,   546493.83369,  4505128.64997, 10
 31,  1,   546434.96488,  4505228.62139, 10
 30,  1,   546410.88500,  4505325.26672, 10
 29,  1,   546409.12270,  4505386.88933, 10
 28,  1,   546432.22472,  4505468.04136, 10
 27,  1,   546478.49286,  4505586.10667, 10
 26,  1,   546533.27122,  4505669.79633, 10
 25,  1,   546590.83990,  4505720.14371, 10
 24,  1,   546663.71590,  4505786.65730, 10
 23,  1,   546735.38929,  4505879.92058, 10
 22,  1,   546796.72188,  4505958.14721, 10
 21,  1,   546875.03365,  4506023.81384, 10
 20,  1,   546948.10566,  4506083.71677, 10
 19,  1,   547011.60135,  4506139.35754, 10
 18,  1,   547073.71675,  4506194.24567, 10
 17,  1,   547144.55169,  4506251.29101, 10
 16,  1,   547221.53814,  4506344.03884, 10
 15,  1,   547250.96057,  4506456.43990, 10
 14,  1,   547268.41083,  4506576.76437, 10
 13,  1,   547299.23335,  4506691.70336, 10
 12,  1,   547389.07112,  4506792.49414, 10
 11,  1,   547632.43559,  4506869.33015, 10
 10,  1,   547830.75967,  4506903.79095, 10
  9,  1,   547946.47561,  4506957.86736, 10
  8,  1,   548132.50460,  4507094.73937, 10
  7,  1,   548247.25162,  4507218.79412, 10
  6,  1,   548309.43707,  4507284.76572, 10
  5,  1,   548432.36492,  4507349.18844, 10
  4,  1,   548601.29697,  4507409.32371, 10
  3,  1,   548763.68224,  4507450.29827, 10
  2,  1,   548930.94952,  4507524.45183, 10
116,  2,   546220.70402,  4497806.46183, 10
115,  2,   546132.03600,  4497854.20599, 10
114,  2,   546032.54260,  4497881.27800, 10
113,  2,   545935.25056,  4497884.10180, 10
112,  2,   545831.88922,  4497865.58369, 10
111,  2,   545757.59495,  4497851.40501, 10
110,  2,   545698.92889,  4497859.57148, 10
109,  2,   545610.06882,  4497862.89016, 10
108,  2,   545531.69305,  4497860.70293, 10
107,  2,   545481.52568,  4497846.41683, 10
106,  2,   545435.50343,  4497798.33813, 10
105,  2,   545346.61518,  4497728.65222, 10
