$Lewiston withdrawals year 2017 YC 06/22/22,,,
",,,",,,
Julian Day,Fish Hatchery,Power Plant + River,Clear Creek Intake
1,1.1321415,3.1134245,0.0283
1.042,1.1321415,3.1134245,0.0283
1.083,1.1321415,3.1134245,0.0283
1.125,1.1321415,3.1134245,0.0283
1.167,1.1321415,3.1134245,0.0283
1.208,1.1290002,3.104793,0.0283
1.25,1.1352828,3.1220843,1.3301
1.292,1.1321415,3.1134245,3.0281
1.333,1.1321415,3.1134245,2.8583
1.375,1.1321415,3.1134245,2.547
1.417,1.1290002,3.104793,0.3962
1.458,1.1321415,3.1134245,0.0283
1.5,1.1352828,3.1220843,0.0283
1.542,1.1321415,3.1134245,0.0283
1.583,1.1321415,3.1134245,0.0283
1.625,1.1290002,3.104793,0.0283
1.667,1.1321415,3.1134245,0.0283
1.708,1.1321415,3.1134245,0.0283
1.75,1.1352828,3.1220843,0.0283
1.792,1.1321415,3.1134245,0.0283
1.833,1.1290002,3.104793,0.0283
1.875,1.1321415,3.1134245,0.0283
1.917,1.1321415,3.1134245,0.0283
1.958,1.1321415,3.1134245,0.0283
2,1.1321415,3.1134245,0.0283
2.042,1.1321415,3.1134245,0.0283
2.083,1.1321415,3.1134245,0.0283
2.125,1.1321415,3.1134245,0.0283
2.167,1.1321415,3.1134245,0.0283
2.208,1.1321415,3.1134245,0.0283
2.25,1.1321415,3.1134245,0.0283
2.292,1.1321415,3.1134245,0.0283
2.333,1.1321415,3.1134245,0.0283
2.375,1.1321415,3.1134245,0.0283
2.417,1.1321415,3.1134245,0.0283
2.458,1.1321415,3.1134245,0.0283
2.5,1.1321415,3.1134245,0.0283
2.542,1.1321415,3.1134245,0.0283
2.583,1.1321415,3.1134245,0.0283
2.625,1.1321415,3.1134245,0.0283
2.667,1.1321415,3.1134245,1.2735
2.708,1.1321415,3.1134245,3.1979
2.75,1.1321415,3.1134245,36.0542
2.792,1.1321415,3.1134245,38.1201
2.833,1.1321415,3.1134245,37.8088
2.875,1.1321415,3.1134245,36.5636
2.917,1.1321415,3.1134245,2.3489
2.958,1.1321415,3.1134245,0.0283
3,1.1321415,3.1134245,0.0283
3.042,1.1321415,3.1134245,0.0283
3.083,1.1321415,3.1134245,0.0283
3.125,1.1290002,3.104793,0.0283
3.167,1.1352828,3.1220843,0.0283
3.208,1.1321415,3.1134245,0.0283
3.25,1.1321415,3.1134245,0.0283
3.292,1.1321415,3.1134245,0.0283
3.333,1.1290002,3.104793,0.0283
3.375,1.1321415,3.1134245,0.0283
3.417,1.1352828,3.1220843,0.0283
3.458,1.1321415,3.1134245,0.0283
3.5,1.1321415,3.1134245,0.0283
3.542,1.1290002,3.104793,0.0283
3.583,1.1321415,3.1134245,0.0283
3.625,1.1321415,3.1134245,0.0283
3.667,1.1352828,3.1220843,1.0471
3.708,1.1290002,3.104793,4.1035
3.75,1.1321415,3.1134245,36.5636
3.792,1.1321415,3.1134245,38.0635
3.833,1.1321415,3.1134245,37.9786
3.875,1.1321415,3.1134245,38.1201
3.917,1.1321415,3.1134245,36.7617
3.958,1.1321415,3.1134245,4.9525
4,1.1321415,3.1134245,3.2545
4.042,1.1321415,3.1134245,0.4245
4.083,1.1321415,3.1134245,0.0283
4.125,1.1321415,3.1134245,0.0283
4.167,1.1321415,3.1134245,0.0283
4.208,1.1321415,3.1134245,0.0283
4.25,1.1321415,3.1134245,0.0283
4.292,1.1321415,3.1134245,0.0283
4.333,1.1321415,3.1134245,0.0283
4.375,1.1321415,3.1134245,1.3301
4.417,1.1321415,3.1134245,2.5187
4.458,1.1321415,3.1134245,2.4621
4.5,1.1321415,3.1134245,2.8866
4.542,1.1321415,3.1134245,8.6315
4.583,1.1321415,3.1134245,42.7613
4.625,1.1321415,3.1134245,38.3748
4.667,1.1321415,3.1134245,38.1767
4.708,1.1321415,3.1134245,38.0352
4.75,1.1321415,3.1134245,37.6673
4.792,1.1321415,3.1134245,38.2333
4.833,1.1321415,3.1134245,38.3465
4.875,1.1321415,3.1134245,36.3938
4.917,1.1321415,3.1134245,2.4904
4.958,1.1321415,3.1134245,0.0283
5,1.1321415,3.1134245,0.0283
5.042,1.1321415,3.1134245,0.0283
5.083,1.1321415,3.1134245,0.0283
5.125,1.1290002,3.104793,0.0283
5.167,1.1352828,3.1220843,0.0283
5.208,1.1321415,3.1134245,0.0283
5.25,1.1321415,3.1134245,0.0283
5.292,1.1321415,3.1134245,0.0283
5.333,1.1321415,3.1134245,0.0283
5.375,1.1290002,3.104793,0.0283
5.417,1.1352828,3.1220843,0.5094
5.458,1.1321415,3.1134245,0.0283
5.5,1.1321415,3.1134245,0.0283
5.542,1.1290002,3.104793,0.0283
5.583,1.1321415,3.1134245,0.1415
5.625,1.1321415,3.1134245,0.3396
5.667,1.1321415,3.1134245,0.0283
5.708,1.1352828,3.1220843,0.0283
5.75,1.1290002,3.104793,2.4904
5.792,1.1321415,3.1134245,42.1104
5.833,1.1321415,3.1134245,44.2612
5.875,1.1321415,3.1134245,44.2895
5.917,1.1321415,3.1134245,42.8745
