$Lewiston inflow year 2018 YC 06/23/22,
",,,",
Julian Date,Inflow
1,0.0849
1.042,0.0849
1.083,0.0849
1.125,0.0849
1.167,0.0849
1.208,0.0849
1.25,0.0849
1.292,0.0849
1.333,0.0849
1.375,0.0849
1.417,0.0849
1.458,0.0849
1.5,0.0849
1.542,0.0849
1.583,0.0849
1.625,0.0849
1.667,0.0849
1.708,0.0849
1.75,3.1305177
1.792,51.8984644
1.833,54.2529112
1.875,54.3472634
1.917,51.8234128
1.958,3.0684558
2,0.0849
2.042,0.0849
2.083,0.0849
2.125,0.0849
2.167,0.0849
2.208,0.0849
2.25,0.0849
2.292,0.0849
2.333,0.0849
2.375,0.0849
2.417,0.0849
2.458,0.0849
2.5,0.0849
2.542,0.0849
2.583,0.0849
2.625,3.1711282
2.667,51.9287737
2.708,54.2595051
2.75,54.2627879
2.792,54.4136552
2.833,54.5168936
2.875,54.3669602
2.917,53.7233899
2.958,38.3884689
3,2.8622903
3.042,4.0989437
3.083,2.5963269
3.125,0.0849
3.167,0.0849
3.208,0.0849
3.25,0.0849
3.292,0.0849
3.333,0.0849
3.375,0.0849
3.417,0.0849
3.458,0.0849
3.5,0.0849
3.542,0.0849
3.583,0.095371
3.625,5.0734259
3.667,52.0887819
3.708,54.3963639
3.75,54.1328343
3.792,54.4747266
3.833,54.2148194
3.875,54.3262931
3.917,51.8479489
3.958,4.5260473
4,4.8013214
4.042,0.095088
4.083,0.0849
4.125,0.0849
4.167,0.0849
4.208,0.0849
4.25,0.0849
4.292,0.0849
4.333,0.0849
4.375,0.0849
4.417,0.0849
4.458,0.0849
4.5,0.0849
4.542,0.0849
4.583,0.0849
4.625,3.1337156
4.667,51.9478762
4.708,54.3169824
4.75,54.2839846
4.792,54.2860222
4.833,54.2920218
4.875,54.4007787
4.917,51.8721454
4.958,8.6882981
5,3.754278
5.042,7.9217926
5.083,0.9416259
5.125,10.6888534
5.167,5.5996927
5.208,13.4697246
5.25,3.9485292
5.292,7.4120247
5.333,2.3266845
5.375,0.0849
5.417,10.850786
5.458,1.0955213
5.5,13.7822698
5.542,13.9362218
5.583,15.2187212
5.625,56.5347685
5.667,54.131957
5.708,54.2289128
5.75,54.3844779
5.792,54.4742738
5.833,54.3193313
5.875,54.2838997
5.917,51.9221798
5.958,4.0895764
6,0.0849
6.042,0.0849
6.083,0.0849
6.125,0.0849
6.167,0.0849
6.208,0.0849
6.25,0.0849
6.292,0.0849
6.333,0.0849
6.375,0.0849
6.417,0.0849
6.458,0.0849
6.5,0.0849
6.542,0.0849
6.583,0.0849
6.625,0.0849
6.667,0.0849
6.708,28.076996
6.75,53.6454234
6.792,54.3355755
6.833,54.4255978
6.875,55.4410867
6.917,55.482716
6.958,45.4923915
7,23.8842095
7.042,2.8700728
7.083,0.0849
7.125,0.0849
7.167,0.0849
7.208,0.0849
7.25,0.0849
7.292,0.0849
7.333,0.0849
7.375,0.0849
7.417,2.2708769
7.458,15.5058813
7.5,16.5149461
7.542,17.5439907
7.583,17.3910858
7.625,15.7064717
7.667,16.4590253
7.708,43.2665399
7.75,54.0898466
7.792,54.2775039
7.833,54.5593153
7.875,57.868689
7.917,21.1558065
7.958,4.3476724
8,0.3259311
8.042,0.0849
8.083,0.0849
8.125,0.0849
8.167,0.0849
8.208,0.0849
8.25,0.0849
8.292,0.0849
8.333,2.7897857
8.375,37.3263416
8.417,58.2646626
8.458,59.2102222
8.5,46.8925623
8.542,42.6633254
8.583,21.1325439
8.625,21.4022712
8.667,51.9077185
8.708,50.6783382
8.75,54.0421611
8.792,54.4244658
8.833,51.769473
8.875,3.0591168
8.917,0.0849
8.958,0.0849
9,0.0849
9.042,0.0849
9.083,0.0849
9.125,0.0849
9.167,0.0849
9.208,0.0849
9.25,0.0849
9.292,2.9019669
9.333,42.0528378
9.375,43.7449797
9.417,44.1676685
9.458,42.985153
9.5,54.3977223
9.542,48.7161011
9.583,45.5589531
9.625,49.876769
9.667,54.1946698
9.708,54.1940755
9.75,54.2363274
9.792,52.6591118
9.833,20.9184261
9.875,2.5784979
9.917,0.0849
9.958,0.0849
10,0.0849
10.042,0.0849
10.083,0.0849
10.125,0.0849
10.167,0.0849
10.208,0.0849
10.25,0.0849
10.292,0.0849
10.333,0.0849
10.375,0.0849
10.417,3.1917023
10.458,51.8043386
10.5,54.0648577
10.542,54.385525
10.583,52.9858353
10.625,54.367979
10.667,53.5840124
10.708,54.3449994
10.75,54.0568205
10.792,54.1913304
10.833,52.6146525
10.875,21.1306195
10.917,20.0798122
10.958,20.0240046
11,19.7477117
11.042,2.4978429
11.083,0.0849
11.125,0.0849
11.167,0.0849
11.208,0.0849
11.25,0.0849
11.292,0.0849
11.333,0.0849
11.375,0.0849
11.417,0.0849
11.458,0.0849
11.5,0.0849
11.542,0.0849
11.583,4.5293018
11.625,51.815319
11.667,54.1476352
11.708,54.1131092
11.75,54.0203418
11.792,54.4185511
11.833,54.5751067
11.875,51.7567946
11.917,3.0723046
11.958,0.0849
12,0.0849
12.042,0.0849
12.083,0.0849
12.125,0.0849
12.167,0.0849
12.208,0.0849
12.25,0.0849
12.292,0.0849
12.333,0.0849
12.375,0.0849
12.417,0.0849
12.458,0.0849
12.5,0.0849
12.542,0.0849
12.583,3.099982
12.625,51.772586
12.667,54.0720176
12.708,54.1040249
12.75,54.3562628
12.792,54.1425695
12.833,54.1929152
12.875,53.7661229
12.917,44.0864475
12.958,43.741612
13,41.7731206
13.042,3.2455289
13.083,0.0849
13.125,0.0849
13.167,0.0849
13.208,0.0849
13.25,0.0849
13.292,0.0849
13.333,0.0849
13.375,0.0849
13.417,0.0849
13.458,0.0849
13.5,0.0849
13.542,5.3241639
13.583,51.8907102
13.625,54.2330729
13.667,54.1308533
13.708,54.3933924
13.75,54.1390886
13.792,54.437314
13.833,54.1279384
13.875,54.0927049
13.917,51.8273748
13.958,3.5030306
14,7.0631706
14.042,1.2500393
14.083,0.0849
14.125,0.0849
14.167,0.0849
14.208,0.0849
14.25,0.0849
14.292,0.0849
14.333,0.0849
14.375,0.0849
14.417,0.0849
14.458,0.0849
14.5,0.0849
14.542,0.0849
14.583,3.1173582
14.625,51.7125334
14.667,54.2048861
14.708,54.0657633
14.75,54.1264102
14.792,54.2466852
14.833,54.2817489
14.875,54.2411384
14.917,51.8523071
14.958,3.0450517
15,0.0849
15.042,0.0849
15.083,0.0849
15.125,0.0849
15.167,0.0849
15.208,0.0849
15.25,0.0849
15.292,0.0849
15.333,0.0849
15.375,0.0849
15.417,0.0849
15.458,0.0849
15.5,0.0849
15.542,0.0849
15.583,0.0849
15.625,0.0849
15.667,4.1625904
15.708,51.6868653
15.75,54.1519368
15.792,54.2860222
15.833,54.4149004
15.875,51.7042132
15.917,3.0522399
15.958,0.0849
16,0.0849
16.042,0.0849
16.083,0.0849
16.125,0.0849
16.167,0.0849
16.208,0.0849
16.25,0.0849
16.292,0.0849
16.333,0.0849
16.375,0.0849
16.417,0.0849
16.458,0.0849
16.5,0.0849
16.542,0.0849
16.583,0.0849
16.625,0.0849
16.667,0.0958521
16.708,3.0564283
16.75,51.8886443
16.792,54.105638
16.833,54.0875826
16.875,54.1629738
16.917,54.0615749
16.958,54.2853996
17,51.5117732
17.042,3.3024968
17.083,0.0849
17.125,0.0849
17.167,0.0849
17.208,0.0849
17.25,0.0849
17.292,0.0849
17.333,0.0849
17.375,0.0849
17.417,0.0849
17.458,0.0849
17.5,0.0849
17.542,0.0849
17.583,3.164506
17.625,51.9480177
17.667,54.114694
17.708,54.2765983
17.75,54.110732
17.792,54.2056502
17.833,53.6813361
17.875,44.1210018
17.917,41.9135735
17.958,2.7722114
18,0.0849
18.042,0.0849
18.083,0.0849
18.125,0.0849
18.167,0.0849
18.208,0.0849
18.25,0.0849
18.292,0.0849
18.333,0.0849
18.375,0.0849
18.417,0.0849
18.458,0.0849
18.5,0.0849
18.542,0.0849
18.583,0.0849
18.625,2.8304811
18.667,51.8691739
18.708,54.0039278
18.75,54.1330607
18.792,54.2920784
18.833,53.9474693
18.875,51.7886887
18.917,2.9139095
18.958,0.0849
19,0.0849
19.042,0.0849
19.083,0.0849
19.125,0.0849
19.167,0.0849
19.208,0.0849
19.25,0.0849
19.292,0.0849
19.333,0.0849
