$Lewiston withdrawals year 2018 with QB included YC 10/06/2022,,,
",,,",,,
Julian Day,Fish Hatchery,Power Plant + River,Clear Creek Intake
1,0.6792849,3.1134245,2.5753
1.042,0.6792849,3.1134245,2.6319
1.083,0.6792849,3.1134245,2.6319
1.125,0.6792849,3.1134245,2.6036
1.167,0.6792849,3.1134245,2.6036
1.208,0.6792849,3.1134245,2.6036
1.25,0.6792849,3.1134245,2.6036
1.292,0.6792849,3.1134245,0.6792
1.333,0.6792849,3.1134245,0.3679
1.375,0.6792849,3.1134245,0.3679
1.417,0.6792849,3.1134245,0.3679
1.458,0.6792849,3.1134245,0.3679
1.5,0.6792849,3.1134245,0.3679
1.542,0.6792849,3.1134245,0.3679
1.583,0.6792849,3.1134245,0.3396
1.625,0.6792849,3.1134245,0.3679
1.667,0.6792849,3.1134245,0.3396
1.708,0.6792849,3.1134245,0.3396
1.75,0.6792849,3.1134245,0.3396
1.792,0.6792849,3.1134245,0.3396
1.833,0.6792849,3.1134245,0.3113
1.875,0.6792849,3.1134245,0.3396
1.917,0.6792849,3.1134245,0.3396
1.958,0.6792849,3.1134245,0.3396
2,0.6792849,3.1134245,0.3396
2.042,0.6792849,3.1134245,0.3679
2.083,0.6792849,3.1134245,0.3679
2.125,0.6792849,3.1134245,0.3396
2.167,0.6792849,3.1134245,0.3113
2.208,0.6792849,3.1134245,0.3396
2.25,0.6792849,3.1134245,0.3396
2.292,0.6792849,3.1134245,0.3396
2.333,0.6774171,3.104793,0.3113
2.375,0.6792849,3.1134245,0.3396
2.417,0.6792849,3.1134245,0.3396
2.458,0.6792849,3.1134245,0.3396
2.5,0.6792849,3.1134245,0.3396
2.542,0.681181,3.1220843,0.3679
2.583,0.6792849,3.1134245,0.3679
2.625,0.6792849,3.1134245,0.3113
2.667,0.6792849,3.1134245,0.3396
2.708,0.6792849,3.1134245,0.3113
2.75,0.6792849,3.1134245,3.1696
2.792,0.6792849,3.1134245,37.0164
2.833,0.6792849,3.1134245,38.2899
2.875,0.6792849,3.1134245,38.5163
2.917,0.6792849,3.1134245,36.9598
2.958,0.6774171,3.104793,2.547
3,0.6792849,3.1134245,0.3679
3.042,0.6792849,3.1134245,0.3679
3.083,0.6792849,3.1134245,0.3679
3.125,0.6792849,3.1134245,0.3396
3.167,0.6792849,3.1134245,0.3679
3.208,0.6792849,3.1134245,0.3396
3.25,0.6792849,3.1134245,0.3679
3.292,0.6792849,3.1134245,2.1791
3.333,0.6792849,3.1134245,16.7253
3.375,0.6792849,3.1134245,1.9244
3.417,0.6792849,3.1134245,0.3679
3.458,0.6792849,3.1134245,0.3679
3.5,0.6792849,3.1134245,0.3396
3.542,0.6792849,3.1134245,0.3396
3.583,0.6792849,3.1134245,0.3396
3.625,0.6792849,3.1134245,0.3679
3.667,0.6792849,3.1134245,0.3396
3.708,0.6792849,3.1134245,0.3396
3.75,0.6792849,3.1134245,6.2543
3.792,0.6792849,3.1134245,84.2491
3.833,0.6792849,3.1134245,64.0146
3.875,0.6792849,3.1134245,6.509
3.917,0.6792849,3.1134245,2.9149
3.958,0.6792849,3.1134245,0.5943
4,0.6792849,3.1134245,0.3679
4.042,0.6792849,3.1134245,0.3396
4.083,0.6792849,3.1134245,0.3396
4.125,0.6792849,3.1134245,0.3396
4.167,0.6792849,3.1134245,0.3396
4.208,0.6792849,3.1134245,0.3679
4.25,0.6792849,3.1134245,0.3396
4.292,0.6792849,3.1134245,0.3396
4.333,0.6792849,3.1134245,0.3113
4.375,0.6792849,3.1134245,0.3396
4.417,0.6792849,3.1134245,0.3396
4.458,0.6792849,3.1134245,0.3396
4.5,0.6792849,3.1134245,0.3396
4.542,0.6792849,3.1134245,0.3396
4.583,0.6792849,3.1134245,0.3113
4.625,0.6792849,3.1134245,0.3396
4.667,0.6792849,3.1134245,3.113
4.708,0.6774171,3.104793,37.2428
4.75,0.6792849,3.1134245,38.9408
4.792,0.6792849,3.1134245,38.9408
4.833,0.6792849,3.1134245,39.2804
4.875,0.6792849,3.1134245,38.9125
4.917,0.6792849,3.1134245,37.0447
4.958,0.6792849,3.1134245,2.3206
5,0.6792849,3.1134245,0.283
5.042,0.6792849,3.1134245,0.3396
5.083,0.681181,3.1220843,0.3113
5.125,0.6792849,3.1134245,0.283
5.167,0.6774171,3.104793,0.3113
5.208,0.6792849,3.1134245,0.283
5.25,0.6792849,3.1134245,0.3113
5.292,0.6792849,3.1134245,0.3113
5.333,0.6792849,3.1134245,1.5565
5.375,0.6792849,3.1134245,2.9432
5.417,0.6792849,3.1134245,2.7168
5.458,0.6792849,3.1134245,0.7641
5.5,0.6792849,3.1134245,0.3396
5.542,0.6792849,3.1134245,0.3396
5.583,0.6792849,3.1134245,0.3396
5.625,0.6792849,3.1134245,0.3396
5.667,0.6792849,3.1134245,0.3396
5.708,0.6792849,3.1134245,3.0847
5.75,0.6792849,3.1134245,36.9032
5.792,0.6792849,3.1134245,38.2899
5.833,0.6792849,3.1134245,37.3843
5.875,0.6792849,3.1134245,18.5648
5.917,0.6792849,3.1134245,17.7441
5.958,0.6792849,3.1134245,17.8007
6,0.6792849,3.1134245,15.0556
6.042,0.6792849,3.1134245,1.698
6.083,0.6792849,3.1134245,0.3396
6.125,0.6792849,3.1134245,0.3679
6.167,0.6792849,3.1134245,0.3396
6.208,0.6792849,3.1134245,0.3396
6.25,0.6792849,3.1134245,0.3396
6.292,0.6792849,3.1134245,0.3396
6.333,0.6792849,3.1134245,0.3679
6.375,0.6792849,3.1134245,0.3679
6.417,0.6792849,3.1134245,0.3396
6.458,0.6792849,3.1134245,0.3113
6.5,0.6792849,3.1134245,0.3113
6.542,0.6792849,3.1134245,0.3113
6.583,0.6792849,3.1134245,0.3396
6.625,0.6792849,3.1134245,0.3113
6.667,0.6774171,3.104793,0.3113
6.708,0.6792849,3.1134245,3.0281
6.75,0.6792849,3.1134245,36.8466
6.792,0.681181,3.1220843,38.488
6.833,0.6792849,3.1134245,38.3465
6.875,0.6792849,3.1134245,37.356
6.917,0.6792849,3.1134245,19.0176
6.958,0.6792849,3.1134245,17.4045
7,0.6792849,3.1134245,3.8205
7.042,0.6792849,3.1134245,0.6226
7.083,0.6792849,3.1134245,0.3396
7.125,0.6792849,3.1134245,0.3396
7.167,0.6792849,3.1134245,0.3396
7.208,0.6774171,3.104793,0.3396
7.25,0.681181,3.1220843,2.4338
7.292,0.6792849,3.1134245,17.8856
