$Lewiston 2019 withdrawals YC 06/15/22,,,
",,,",,,
Julian Day,Fish Hatchery,Power Plant + River,Clear Creek Intake
1,0.0283,3.133093,0.9596813
1.042,0.0283,3.1503843,0.9666148
1.083,0.0283,3.1417245,0.9479934
1.125,0.0283,3.1417245,0.9916603
1.167,0.0283,3.1417245,0.9753595
1.208,0.0283,3.133093,0.9668695
1.25,0.0283,3.1503843,0.9668412
1.292,0.0283,3.133093,0.945503
1.333,0.0283,3.1417245,0.9532855
1.375,0.0283,3.1503843,0.9670959
1.417,0.0283,3.1417245,0.9552099
1.458,0.0283,3.133093,0.9649451
1.5,0.0283,3.1417245,0.9770292
1.542,0.0283,3.1503843,0.9577286
1.583,0.0283,3.1417245,0.9410599
1.625,0.0283,3.133093,0.9666148
1.667,0.0283,3.1417245,4.2995341
1.708,0.0283,3.1417245,10.5699368
1.75,0.0283,3.1503843,38.3710644
1.792,0.0283,3.133093,42.5536912
1.833,0.0283,3.1417245,26.3123495
1.875,0.0283,3.1417245,29.547464
1.917,0.0283,3.1417245,2.4735615
1.958,0.0283,3.1417245,0.983991
2,0.0283,3.1417245,0.9652847
2.042,0.0283,3.1417245,0.9665016
2.083,0.0283,3.1417245,0.9722465
2.125,0.0283,3.1417245,0.952578
2.167,0.0283,3.1417245,0.983991
2.208,0.0283,3.1417245,0.9623981
2.25,0.0283,3.1417245,0.9580965
2.292,0.0283,3.1417245,2.7816636
2.333,0.0283,3.1417245,17.8833643
2.375,0.0283,3.1417245,18.391887
2.417,0.0283,3.1417245,18.7916245
2.458,0.0283,3.1417245,18.3263725
2.5,0.0283,3.1417245,18.3414564
2.542,0.0283,3.1417245,18.5179918
2.583,0.0283,3.1417245,18.4345068
2.625,0.0283,3.1417245,18.5171145
2.667,0.0283,3.1417245,18.6876786
2.708,0.0283,3.1417245,18.8541958
2.75,0.0283,3.1417245,18.8433852
2.792,0.0283,3.1417245,18.186429
2.833,0.0283,3.1417245,2.322864
2.875,0.0283,3.1417245,0.9837646
2.917,0.0283,3.1417245,0.9443993
2.958,0.0283,3.1417245,0.9482481
3,0.0283,3.1417245,0.9518422
3.042,0.0283,3.1417245,0.9624264
3.083,0.0283,3.133093,0.9529459
3.125,0.0283,3.1503843,0.9762085
3.167,0.0283,3.1417245,0.9552099
3.208,0.0283,3.1417245,0.9443993
3.25,0.0283,3.1417245,2.6258721
3.292,0.0283,3.1417245,17.5920724
3.333,0.0283,3.133093,18.4094896
3.375,0.0283,3.1417245,18.6735003
3.417,0.0283,3.1503843,18.7616831
3.458,0.0283,3.133093,18.5058794
3.5,0.0283,3.1417245,17.6485026
3.542,0.0283,3.1417245,2.2647924
3.583,0.0283,3.1503843,0.9577286
3.625,0.0283,3.133093,0.9599077
3.667,0.0283,3.1417245,0.9576154
3.708,0.0283,3.1417245,0.952578
3.75,0.0283,3.1417245,0.9292871
3.792,0.0283,3.1417245,0.9672091
3.833,0.0283,3.1417245,0.9503989
3.875,0.0283,3.1417245,0.9408052
3.917,0.0283,3.1417245,0.9479934
3.958,0.0283,3.1417245,0.9672091
4,0.0283,3.1417245,0.969841
4.042,0.0283,3.1417245,0.9552099
4.083,0.0283,3.1417245,0.9573607
4.125,0.0283,3.1417245,0.9621717
4.167,0.0283,3.1417245,0.9482481
4.208,0.0283,3.1417245,0.9544741
4.25,0.0283,3.1417245,0.9456162
4.292,0.0283,3.1417245,0.9623981
4.333,0.0283,3.1417245,0.9424749
4.375,0.0283,3.1417245,0.9532855
4.417,0.0283,3.1417245,0.9120241
4.458,0.0283,3.1417245,0.9405788
4.5,0.0283,3.1417245,0.9424749
4.542,0.0283,3.1417245,0.9535119
4.583,0.0283,3.1417245,0.9552099
4.625,0.0283,3.1417245,0.9424749
4.667,0.0283,3.1417245,0.9484745
4.708,0.0283,3.1417245,3.8285089
4.75,0.0283,3.1417245,37.83427
4.792,0.0283,3.1417245,39.3068888
4.833,0.0283,3.1417245,37.6508294
