$Trinity Lake Swift Cr inflow year 2017 updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
1,2.718391618
1.042,2.718391618
1.083,2.718391618
1.125,2.718391618
1.167,2.718391618
1.208,2.718391618
1.25,2.718391618
1.292,2.718391618
1.333,2.718391618
1.375,2.718391618
1.417,2.718391618
1.458,2.718391618
1.5,2.718391618
1.542,2.718391618
1.583,2.718391618
1.625,2.718391618
1.667,2.718391618
1.708,2.718391618
1.75,2.718391618
1.792,2.718391618
1.833,2.718391618
1.875,2.718391618
1.917,2.718391618
1.958,2.718391618
2,3.709471896
2.042,3.709471896
2.083,3.709471896
2.125,3.709471896
2.167,3.709471896
2.208,3.709471896
2.25,3.709471896
2.292,3.709471896
2.333,3.709471896
2.375,3.709471896
2.417,3.709471896
2.458,3.709471896
2.5,3.709471896
2.542,3.709471896
2.583,3.709471896
2.625,3.709471896
2.667,3.709471896
2.708,3.709471896
2.75,3.709471896
2.792,3.709471896
2.833,3.709471896
2.875,3.709471896
2.917,3.709471896
2.958,3.709471896
3,5.776582189
3.042,5.776582189
3.083,5.776582189
3.125,5.776582189
3.167,5.776582189
3.208,5.776582189
3.25,5.776582189
3.292,5.776582189
3.333,5.776582189
3.375,5.776582189
3.417,5.776582189
3.458,5.776582189
3.5,5.776582189
3.542,5.776582189
3.583,5.776582189
3.625,5.776582189
3.667,5.776582189
3.708,5.776582189
3.75,5.776582189
3.792,5.776582189
3.833,5.776582189
3.875,5.776582189
3.917,5.776582189
3.958,5.776582189
4,3.51125584
4.042,3.51125584
4.083,3.51125584
4.125,3.51125584
4.167,3.51125584
4.208,3.51125584
4.25,3.51125584
4.292,3.51125584
4.333,3.51125584
4.375,3.51125584
4.417,3.51125584
4.458,3.51125584
4.5,3.51125584
4.542,3.51125584
4.583,3.51125584
4.625,3.51125584
4.667,3.51125584
4.708,3.51125584
4.75,3.51125584
4.792,3.51125584
4.833,3.51125584
4.875,3.51125584
4.917,3.51125584
4.958,3.51125584
5,2.888291094
5.042,2.888291094
5.083,2.888291094
5.125,2.888291094
5.167,2.888291094
5.208,2.888291094
5.25,2.888291094
5.292,2.888291094
5.333,2.888291094
5.375,2.888291094
5.417,2.888291094
5.458,2.888291094
5.5,2.888291094
5.542,2.888291094
5.583,2.888291094
5.625,2.888291094
5.667,2.888291094
5.708,2.888291094
5.75,2.888291094
5.792,2.888291094
5.833,2.888291094
5.875,2.888291094
5.917,2.888291094
5.958,2.888291094
6,3.369672944
6.042,3.369672944
6.083,3.369672944
6.125,3.369672944
6.167,3.369672944
6.208,3.369672944
6.25,3.369672944
6.292,3.369672944
6.333,3.369672944
6.375,3.369672944
