$Lewiston met year 2017 YC 06/22/22,,,,,,
",,,",,,,,,
Julian Date,Air Temp,Dewpoint Temp,Wind Speed,Wind Direction,Cloud Cover,Short radiation
1,3.24,1.76,2,3.089232776,0,0
1.042,2.12,1.26,5,2.879793266,0,0
1.083,1.57,0.56,2,2.042035225,0,0
1.125,1.57,-0.04,5,2.775073511,0,0
1.167,1.01,-0.75,5,2.635447171,0,0
1.208,0.46,-1.45,4,2.722713633,0,0
1.25,0.46,-0.98,4,1.692969374,0,0
1.292,0.46,-0.98,3,2.757620218,0,0
1.333,1.01,-1.38,5,3.735004599,0,26.96
1.375,2.68,-1.12,4,2.722713633,0,166.9
1.417,4.35,-1.85,9,4.22369679,0,326.93
1.458,4.35,-2.27,10,4.22369679,0,391.9
1.5,4.35,-2.27,11,3.595378259,0,247.9
1.542,3.79,-1.76,11,3.735004599,0,373.89
1.583,3.79,-0.97,9,3.612831552,0,189.91
1.625,2.68,-2.23,8,3.787364477,0,147.95
1.667,1.01,-3.27,7,3.298672286,0,56.02
1.708,1.01,-3.27,9,3.874630939,0,6.97
1.75,0.46,-1.92,9,3.94444411,0,0
1.792,-0.1,-1.37,7,3.508111797,0,0
1.833,-0.1,-2.06,9,3.874630939,0,0
1.875,-0.1,-3.54,7,3.700098014,0,0
1.917,-0.1,-2.63,7,3.019419606,0,0
1.958,-0.65,-2.88,6,3.595378259,0,0
2,-1.21,-2.21,7,3.001966313,0,0
2.042,-0.65,-2.32,8,3.682644722,0,0
2.083,-1.21,-2.08,4,3.211405824,0,0
2.125,-1.76,-2.25,6,2.28638132,0,0
2.167,-1.21,-2.6,7,2.565634,0,0
2.208,-1.21,-3.01,7,2.652900463,0,0
2.25,-0.65,-2.88,7,2.617993878,0,0
2.292,-0.65,-3.03,6,2.775073511,0,0
2.333,-0.65,-2.88,6,2.722713633,0,14.99
2.375,0.46,-3.62,8,3.001966313,0,122.96
2.417,1.01,-4.02,6,3.001966313,0,167.94
2.458,-0.1,-1.92,6,3.106686069,0,96
2.5,0.46,-0.83,7,2.757620218,0,167.94
2.542,0.46,-0.83,7,2.443460953,0,193.97
2.583,0.46,-0.25,7,2.583087293,0,84.03
2.625,0.46,-0.25,9,2.548180708,0,66.01
2.667,-0.1,-0.47,6,2.28638132,0,51.02
2.708,-0.1,-0.85,7,2.373647783,0,13.02
2.75,-0.1,-0.59,7,2.548180708,0,0
2.792,-0.1,-0.47,3,2.478367538,0,0
2.833,-0.65,-1.02,2,2.391101075,0,0
2.875,-0.65,-1.14,5,2.21656815,0,0
2.917,-0.1,-0.98,3,3.403392041,0,0
2.958,-0.1,-0.47,3,3.001966313,0,0
3,-0.1,-0.47,0,0.157079633,7,0
3.042,-0.1,-0.34,0,3.752457892,7,0
3.083,-0.1,-0.47,3,3.926990817,7,0
3.125,-0.1,-0.47,3,3.385938749,7,0
3.167,0.46,0.04,4,3.560471674,7,0
3.208,0.46,0.04,3,5.777039824,7,0
3.25,0.46,0.18,2,5.689773362,7,0
3.292,0.46,0.32,2,5.096361416,7,0
3.333,0.46,0.18,3,5.532693729,7,1.98
3.375,1.01,0.73,5,5.585053606,7,11.97
3.417,2.12,1.69,3,5.829399702,7,19.99
3.458,2.68,1.96,4,5.934119457,7,28.94
3.5,2.68,2.25,3,5.899212872,7,26.96
3.542,2.12,1.69,6,5.811946409,7,36.96
3.583,2.12,1.84,4,5.986479334,7,28.94
3.625,2.12,1.84,4,6.091199089,7,13.95
3.667,1.57,1.43,3,0.052359878,7,5
3.708,1.57,1.43,3,6.213372137,7,0
3.75,1.57,1.43,5,6.108652382,7,0
3.792,1.57,1.56,5,5.969026042,7,0
3.833,1.57,1.56,5,5.707226654,7,0
3.875,1.57,1.56,4,5.707226654,7,0
3.917,2.12,2.11,5,5.567600314,7,0
3.958,2.12,2.11,5,5.532693729,7,0
4,2.12,2.11,2.5,4.145156973,0,0
4.042,2.12,2.11,0,2.757620218,0,0
4.083,2.4,2.39,2.5,2.644173817,0,0
4.125,2.68,2.67,5,2.530727415,0,0
4.167,3.24,3.23,2,2.949606436,0,0
4.208,3.24,3.23,2,2.49582083,0,0
4.25,2.68,2.4,4,3.647738137,0,0
4.292,2.12,1.98,3,3.717551307,0,0
4.333,2.12,0.96,5,4.171336912,0,11.97
4.375,3.24,1.13,7,3.961897402,0,109.95
4.417,4.35,1.21,7,3.630284844,0,304.85
4.458,4.9,0.85,8,3.996803987,0,391.9
4.5,4.35,-0.05,6,3.94444411,0,297.88
4.542,4.9,-1.11,7,3.106686069,0,283.93
