$Trinity Lake Swift Cr flow year 2018 YC updated 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
1,0.481381849
1.042,0.481381849
1.083,0.481381849
1.125,0.481381849
1.167,0.481381849
1.208,0.481381849
1.25,0.481381849
1.292,0.481381849
1.333,0.481381849
1.375,0.481381849
1.417,0.481381849
1.458,0.481381849
1.5,0.481381849
1.542,0.481381849
1.583,0.481381849
1.625,0.481381849
1.667,0.481381849
1.708,0.481381849
1.75,0.481381849
1.792,0.481381849
1.833,0.481381849
1.875,0.481381849
1.917,0.481381849
1.958,0.481381849
2,0.849497381
2.042,0.849497381
2.083,0.849497381
2.125,0.849497381
2.167,0.849497381
2.208,0.849497381
2.25,0.849497381
2.292,0.849497381
2.333,0.849497381
2.375,0.849497381
2.417,0.849497381
2.458,0.849497381
2.5,0.849497381
2.542,0.849497381
2.583,0.849497381
2.625,0.849497381
2.667,0.849497381
2.708,0.849497381
2.75,0.849497381
2.792,0.849497381
2.833,0.849497381
2.875,0.849497381
2.917,0.849497381
2.958,0.849497381
3,0.962763698
3.042,0.962763698
3.083,0.962763698
3.125,0.962763698
3.167,0.962763698
3.208,0.962763698
3.25,0.962763698
3.292,0.962763698
3.333,0.962763698
3.375,0.962763698
3.417,0.962763698
3.458,0.962763698
3.5,0.962763698
3.542,0.962763698
3.583,0.962763698
3.625,0.962763698
3.667,0.962763698
3.708,0.962763698
3.75,0.962763698
3.792,0.962763698
3.833,0.962763698
3.875,0.962763698
3.917,0.962763698
3.958,0.962763698
4,1.30256265
4.042,1.30256265
4.083,1.30256265
4.125,1.30256265
4.167,1.30256265
4.208,1.30256265
4.25,1.30256265
4.292,1.30256265
4.333,1.30256265
4.375,1.30256265
4.417,1.30256265
4.458,1.30256265
4.5,1.30256265
4.542,1.30256265
4.583,1.30256265
4.625,1.30256265
4.667,1.30256265
4.708,1.30256265
4.75,1.30256265
4.792,1.30256265
4.833,1.30256265
4.875,1.30256265
4.917,1.30256265
4.958,1.30256265
5,4.785501911
5.042,4.785501911
5.083,4.785501911
5.125,4.785501911
5.167,4.785501911
5.208,4.785501911
5.25,4.785501911
5.292,4.785501911
5.333,4.785501911
5.375,4.785501911
5.417,4.785501911
5.458,4.785501911
5.5,4.785501911
5.542,4.785501911
5.583,4.785501911
5.625,4.785501911
5.667,4.785501911
5.708,4.785501911
5.75,4.785501911
5.792,4.785501911
5.833,4.785501911
5.875,4.785501911
5.917,4.785501911
5.958,4.785501911
6,2.888291094
6.042,2.888291094
6.083,2.888291094
6.125,2.888291094
6.167,2.888291094
6.208,2.888291094
6.25,2.888291094
6.292,2.888291094
6.333,2.888291094
6.375,2.888291094
