$Trinity Lake updated withdrawals year 2018 YC 08/31/22,,
",,,",,
Jday,Power generation and Jet (cms),Auxiallary (cms)
1,0.0283,0.0283
1.042,0.0283,0.0283
1.083,0.0283,0.0283
1.125,0.0283,0.0283
1.167,0.0283,0.0283
1.208,0.0283,0.0283
1.25,0.0283,0.0283
1.292,0.0283,0.0283
1.333,0.0283,0.0283
1.375,0.0283,0.0283
1.417,0.0283,0.0283
1.458,0.0283,0.0283
1.5,0.0283,0.0283
1.542,0.0283,0.0283
1.583,0.0283,0.0283
1.625,0.0283,0.0283
1.667,0.0283,0.0283
1.708,0.0283,0.0283
1.75,3.0739177,0.0283
1.792,51.8418644,0.0283
1.833,54.1963112,0.0283
1.875,54.2906634,0.0283
1.917,51.7668128,0.0283
1.958,3.0118558,0.0283
2,0.0283,0.0283
2.042,0.0283,0.0283
2.083,0.0283,0.0283
2.125,0.0283,0.0283
2.167,0.0283,0.0283
2.208,0.0283,0.0283
2.25,0.0283,0.0283
2.292,0.0283,0.0283
2.333,0.0283,0.0283
2.375,0.0283,0.0283
2.417,0.0283,0.0283
2.458,0.0283,0.0283
2.5,0.0283,0.0283
2.542,0.0283,0.0283
2.583,0.0283,0.0283
2.625,3.1145282,0.0283
2.667,51.8721737,0.0283
2.708,54.2029051,0.0283
2.75,54.2061879,0.0283
2.792,54.3570552,0.0283
2.833,54.4602936,0.0283
2.875,54.3103602,0.0283
2.917,53.6667899,0.0283
2.958,38.3318689,0.0283
3,2.8056903,0.0283
3.042,4.0423437,0.0283
3.083,2.5397269,0.0283
3.125,0.0283,0.0283
3.167,0.0283,0.0283
3.208,0.0283,0.0283
3.25,0.0283,0.0283
3.292,0.0283,0.0283
3.333,0.0283,0.0283
3.375,0.0283,0.0283
3.417,0.0283,0.0283
3.458,0.0283,0.0283
3.5,0.0283,0.0283
3.542,0.0283,0.0283
3.583,0.038771,0.0283
3.625,5.0168259,0.0283
3.667,52.0321819,0.0283
3.708,54.3397639,0.0283
3.75,54.0762343,0.0283
3.792,54.4181266,0.0283
3.833,54.1582194,0.0283
3.875,54.2696931,0.0283
3.917,51.7913489,0.0283
3.958,4.4694473,0.0283
4,4.7447214,0.0283
4.042,0.038488,0.0283
4.083,0.0283,0.0283
4.125,0.0283,0.0283
4.167,0.0283,0.0283
4.208,0.0283,0.0283
4.25,0.0283,0.0283
4.292,0.0283,0.0283
4.333,0.0283,0.0283
4.375,0.0283,0.0283
4.417,0.0283,0.0283
4.458,0.0283,0.0283
4.5,0.0283,0.0283
4.542,0.0283,0.0283
4.583,0.0283,0.0283
4.625,3.0771156,0.0283
4.667,51.8912762,0.0283
4.708,54.2603824,0.0283
4.75,54.2273846,0.0283
4.792,54.2294222,0.0283
4.833,54.2354218,0.0283
4.875,54.3441787,0.0283
4.917,51.8155454,0.0283
4.958,8.6316981,0.0283
5,3.697678,0.0283
5.042,7.8651926,0.0283
5.083,0.8850259,0.0283
5.125,10.6322534,0.0283
5.167,5.5430927,0.0283
5.208,13.4131246,0.0283
5.25,3.8919292,0.0283
5.292,7.3554247,0.0283
5.333,2.2700845,0.0283
5.375,0.0283,0.0283
5.417,10.794186,0.0283
5.458,1.0389213,0.0283
5.5,13.7256698,0.0283
5.542,13.8796218,0.0283
5.583,15.1621212,0.0283
5.625,56.4781685,0.0283
5.667,54.075357,0.0283
5.708,54.1723128,0.0283
5.75,54.3278779,0.0283
5.792,54.4176738,0.0283
5.833,54.2627313,0.0283
5.875,54.2272997,0.0283
5.917,51.8655798,0.0283
5.958,4.0329764,0.0283
6,0.0283,0.0283
6.042,0.0283,0.0283
6.083,0.0283,0.0283
6.125,0.0283,0.0283
6.167,0.0283,0.0283
6.208,0.0283,0.0283
6.25,0.0283,0.0283
6.292,0.0283,0.0283
6.333,0.0283,0.0283
6.375,0.0283,0.0283
6.417,0.0283,0.0283
6.458,0.0283,0.0283
6.5,0.0283,0.0283
6.542,0.0283,0.0283
6.583,0.0283,0.0283
6.625,0.0283,0.0283
6.667,0.0283,0.0283
6.708,28.020396,0.0283
6.75,53.5888234,0.0283
6.792,54.2789755,0.0283
6.833,54.3689978,0.0283
6.875,55.3844867,0.0283
6.917,55.426116,0.0283
6.958,45.4357915,0.0283
7,23.8276095,0.0283
7.042,2.8134728,0.0283
7.083,0.0283,0.0283
7.125,0.0283,0.0283
7.167,0.0283,0.0283
7.208,0.0283,0.0283
7.25,0.0283,0.0283
7.292,0.0283,0.0283
7.333,0.0283,0.0283
7.375,0.0283,0.0283
7.417,2.2142769,0.0283
7.458,15.4492813,0.0283
7.5,16.4583461,0.0283
7.542,17.4873907,0.0283
7.583,17.3344858,0.0283
