$Trinity Lake Br2 inflow Tw year 2019 updated YC 06/01/23,
",,,",
Jday,EF Trinity R
1,2.23
1.042,2.23
1.083,2.23
1.125,2.23
1.167,2.23
1.208,2.23
1.25,2.23
1.292,2.23
1.333,2.23
1.375,2.23
1.417,2.23
1.458,2.23
1.5,2.23
1.542,2.23
1.583,2.23
1.625,2.23
1.667,2.23
1.708,2.23
1.75,2.23
1.792,2.23
1.833,2.23
1.875,2.23
1.917,2.23
1.958,2.23
2,2.04
2.042,2.04
2.083,2.04
2.125,2.04
2.167,2.04
2.208,2.04
2.25,2.04
2.292,2.04
2.333,2.04
2.375,2.04
2.417,2.04
2.458,2.04
2.5,2.04
2.542,2.04
2.583,2.04
2.625,2.04
2.667,2.04
2.708,2.04
2.75,2.04
2.792,2.04
2.833,2.04
2.875,2.04
2.917,2.04
2.958,2.04
3,2.83
3.042,2.83
3.083,2.83
3.125,2.83
3.167,2.83
3.208,2.83
3.25,2.83
3.292,2.83
3.333,2.83
3.375,2.83
3.417,2.83
3.458,2.83
3.5,2.83
3.542,2.83
3.583,2.83
3.625,2.83
3.667,2.83
3.708,2.83
3.75,2.83
3.792,2.83
3.833,2.83
3.875,2.83
3.917,2.83
3.958,2.83
4,3.34
4.042,3.34
4.083,3.34
4.125,3.34
4.167,3.34
4.208,3.34
4.25,3.34
4.292,3.34
4.333,3.34
4.375,3.34
4.417,3.34
4.458,3.34
4.5,3.34
4.542,3.34
4.583,3.34
4.625,3.34
4.667,3.34
4.708,3.34
4.75,3.34
4.792,3.34
4.833,3.34
4.875,3.34
4.917,3.34
4.958,3.34
5,3.82
5.042,3.82
5.083,3.82
5.125,3.82
5.167,3.82
5.208,3.82
5.25,3.82
5.292,3.82
5.333,3.82
5.375,3.82
5.417,3.82
5.458,3.82
5.5,3.82
5.542,3.82
5.583,3.82
5.625,3.82
5.667,3.82
5.708,3.82
5.75,3.82
5.792,3.82
5.833,3.82
5.875,3.82
5.917,3.82
5.958,3.82
6,3.56
6.042,3.56
6.083,3.56
6.125,3.56
6.167,3.56
6.208,3.56
6.25,3.56
6.292,3.56
6.333,3.56
6.375,3.56
6.417,3.56
6.458,3.56
6.5,3.56
6.542,3.56
6.583,3.56
6.625,3.56
6.667,3.56
6.708,3.56
6.75,3.56
6.792,3.56
6.833,3.56
6.875,3.56
6.917,3.56
6.958,3.56
7,3.5
7.042,3.5
7.083,3.5
7.125,3.5
7.167,3.5
7.208,3.5
7.25,3.5
7.292,3.5
7.333,3.5
7.375,3.5
7.417,3.5
7.458,3.5
7.5,3.5
7.542,3.5
7.583,3.5
7.625,3.5
7.667,3.5
7.708,3.5
7.75,3.5
7.792,3.5
7.833,3.5
7.875,3.5
7.917,3.5
7.958,3.5
8,4.96
8.042,4.96
8.083,4.96
8.125,4.96
8.167,4.96
8.208,4.96
8.25,4.96
8.292,4.96
8.333,4.96
8.375,4.96
8.417,4.96
8.458,4.96
8.5,4.96
8.542,4.96
8.583,4.96
8.625,4.96
8.667,4.96
8.708,4.96
8.75,4.96
8.792,4.96
8.833,4.96
8.875,4.96
8.917,4.96
8.958,4.96
9,5.52
9.042,5.52
9.083,5.52
9.125,5.52
9.167,5.52
9.208,5.52
9.25,5.52
9.292,5.52
9.333,5.52
9.375,5.52
9.417,5.52
9.458,5.52
9.5,5.52
9.542,5.52
9.583,5.52
9.625,5.52
9.667,5.52
9.708,5.52
9.75,5.52
9.792,5.52
9.833,5.52
9.875,5.52
9.917,5.52
9.958,5.52
10,5.76
10.042,5.76
10.083,5.76
10.125,5.76
10.167,5.76
10.208,5.76
10.25,5.76
10.292,5.76
10.333,5.76
10.375,5.76
10.417,5.76
10.458,5.76
10.5,5.76
10.542,5.76
10.583,5.76
10.625,5.76
10.667,5.76
10.708,5.76
10.75,5.76
10.792,5.76
10.833,5.76
10.875,5.76
10.917,5.76
10.958,5.76
11,5.75
11.042,5.75
11.083,5.75
11.125,5.75
11.167,5.75
11.208,5.75
11.25,5.75
11.292,5.75
11.333,5.75
11.375,5.75
11.417,5.75
11.458,5.75
11.5,5.75
11.542,5.75
11.583,5.75
11.625,5.75
11.667,5.75
11.708,5.75
11.75,5.75
11.792,5.75
11.833,5.75
11.875,5.75
11.917,5.75
11.958,5.75
12,6.13
12.042,6.13
12.083,6.13
12.125,6.13
12.167,6.13
12.208,6.13
12.25,6.13
12.292,6.13
12.333,6.13
12.375,6.13
