$Lewiston 2019 met data YC 06/15/22,,,,,,
",,,",,,,,,
Julian Date,Air Temp,Dewpoint Temp,Wind Speed,Wind Direction,Cloud Cover,Short radiation
1,1.01,-10.74,8,0.27925268,0,0
1.042,-0.65,-6.49,6,0.052359878,0,0
1.083,-0.1,-8.25,7,0,0,0
1.125,-0.1,-8.48,0,2.984513021,0,0
1.167,-0.1,-9.2,7,1.117010721,0,0
1.208,0.46,-10.93,6,0.087266463,0,0
1.25,0.46,-10.93,5,0.052359878,0,0
1.292,-1.76,-6.47,6,5.550147021,0,1.05
1.333,-0.1,-7.58,1,5.462880559,0,36.96
1.375,1.57,-10.23,3,5.532693729,0,175.96
1.417,4.35,-12.52,2,6.16101226,0,332.86
1.458,7.12,-11.06,3,3.717551307,0,411.89
1.5,6.57,-6.71,1,3.106686069,0,372.84
1.542,9.35,-6.48,1,1.466076572,0,406.89
1.583,9.35,-8.2,1,0.157079633,0,345.88
1.625,9.35,-6.48,3,2.07694181,0,237.91
1.667,7.68,-8.35,0,5.777039824,0,86.93
1.708,7.12,-10.13,0,3.159045946,0,8.02
1.75,6.01,-9.02,2,5.672320069,0,0
1.792,5.46,-6.41,0,5.969026042,0,0
1.833,4.35,-7.11,4,5.654866776,0,0
1.875,3.24,-5.91,3,5.462880559,0,0
1.917,3.79,-6.74,2,4.78220215,0,0
1.958,3.24,-5.4,3,5.689773362,0,0
2,3.24,-5.4,3,5.794493117,0,0
2.042,2.12,-5.04,4,5.585053606,0,0
2.083,1.57,-4.08,3,5.567600314,0,0
2.125,1.57,-4.69,2,5.742133239,0,0
2.167,1.01,-4.41,3,5.672320069,0,0
2.208,1.01,-5.23,0,3.176499239,0,0
2.25,0.46,-4.94,3,5.672320069,0,0
2.292,0.46,-4.74,2,5.183627878,0,0
2.333,1.57,-3.29,2,5.811946409,0,41.03
2.375,3.79,-2.17,1,5.742133239,0,184.91
2.417,5.46,-2.13,2,6.108652382,0,307.87
2.458,8.24,0.48,0,0.506145483,0,408.87
2.5,9.9,0.78,3,2.129301687,0,425.13
2.542,12.12,0.86,1,2.07694181,0,425.18
2.583,11.57,0.06,3,2.07694181,0,365.87
2.625,13.24,0.29,1,5.340707511,0,254.88
2.667,11.01,-1.39,0,4.520402763,0,94.95
2.708,9.35,-0.8,2,2.042035225,0,5
2.75,8.24,-0.76,2,5.672320069,0,0
2.792,7.12,-0.34,1,4.71238898,0,0
2.833,7.68,-0.28,1,3.822271062,0,0
2.875,6.57,0.04,0,4.974188368,0,0
2.917,5.46,0.44,3,5.602506899,0,0
2.958,3.79,0.84,3,5.969026042,0,0
3,4.9,-0.1,0,2.652900463,0,0
3.042,4.35,0.5,2,5.393067389,0,0
3.083,4.35,-0.05,3,5.724679947,0,0
3.125,4.35,-0.05,1,3.647738137,0,0
3.167,3.79,-0.22,1,6.038839212,0,0
3.208,3.79,-0.78,0,0.052359878,0,0
3.25,3.24,-0.39,1,4.031710572,0,0
3.292,3.79,-0.41,0,0.06981317,0,0
3.333,3.24,-0.04,3,5.619960191,0,14.99
3.375,3.24,0.13,3,5.811946409,0,79.96
3.417,6.01,1.92,1,3.141592654,0,200.95
3.458,7.12,2.23,0,0.174532925,0,224.89
3.5,8.24,1.85,2,6.091199089,0,313.92
3.542,8.24,0.95,3,5.811946409,0,216.87
3.583,8.79,1.23,3,5.724679947,0,170.96
3.625,8.79,1,1,5.515240436,0,139
3.667,8.24,0.72,1,0.157079633,0,69.97
3.708,7.12,0.57,1,0.052359878,0,8.02
3.75,6.57,0.47,4,6.021385919,0,0
3.792,6.57,1.1,2,0.575958653,0,0
3.833,6.01,1.16,3,5.654866776,0,0
3.875,5.46,0.83,3,1.221730476,0,0
3.917,6.01,0.96,2,5.916666164,0,0
3.958,4.9,0.48,2,5.497787144,0,0
4,4.9,0.67,3,5.846852994,0,0
4.042,3.79,-0.22,4,5.759586532,0,0
4.083,3.79,1.01,5,5.427973974,0,0
4.125,3.79,0.32,5,5.497787144,0,0
4.167,3.24,-0.57,3,5.532693729,0,0
4.208,2.68,-1.12,4,5.689773362,0,0
4.25,2.12,-1.66,5,5.602506899,0,0
4.292,1.57,-1.5,5,5.497787144,0,0
4.333,2.12,-2.39,4,5.585053606,0,18.01
4.375,4.35,-2.49,3,5.619960191,0,179.91
4.417,5.46,-0.58,4,5.672320069,0,280.91
4.458,6.01,-0.7,3,5.619960191,0,221.87
4.5,8.24,-0.5,4,5.951572749,0,302.88
4.542,8.79,-2.47,4,6.213372137,0,268.94
4.583,11.01,-3.46,6,1.239183769,0,371.91
4.625,9.9,-4.09,5,2.251474735,0,254.88
4.667,8.79,-4.04,6,1.884955592,0,69.97
4.708,7.68,-4.09,4,1.972222055,0,6.97
4.75,7.12,-4.29,5,1.308996939,0,0
4.792,6.57,-4.2,4,0.890117919,0,0
