$Trinity Lake withdrawals year 2019 updated YC 08/07/2023,,
",,,",,
Jday,Power generation and Jet (cms),Auxiallary (cms)
1,0.0283,0.0283
1.042,0.0283,0.0283
1.083,0.0283,0.0283
1.125,0.0283,0.0283
1.167,0.0283,0.0283
1.208,0.0283,0.0283
1.25,0.0283,0.0283
1.292,4.4681172,0.0283
1.333,23.1951894,0.0283
1.375,23.6953353,0.0283
1.417,25.4298423,0.0283
1.458,28.9907747,0.0283
1.5,18.3255801,0.0283
1.542,17.5573483,0.0283
1.583,25.8071662,0.0283
1.625,32.6991501,0.0283
1.667,23.8408256,0.0283
1.708,24.5627303,0.0283
1.75,40.5580884,0.0283
1.792,41.3222733,0.0283
1.833,40.8242216,0.0283
1.875,3.1052175,0.0283
1.917,0.0283,0.0283
1.958,0.0283,0.0283
2,0.0283,0.0283
2.042,0.0283,0.0283
2.083,0.0283,0.0283
2.125,0.0283,0.0283
2.167,0.0283,0.0283
2.208,0.0283,0.0283
2.25,3.3125999,0.0283
2.292,48.243576,0.0283
2.333,27.8803393,0.0283
2.375,27.3654491,0.0283
2.417,42.8033821,0.0283
2.458,28.0151039,0.0283
2.5,26.7419152,0.0283
2.542,4.1244137,0.0283
2.583,0.0283,0.0283
2.625,0.0283,0.0283
2.667,0.0283,0.0283
2.708,0.0283,0.0283
2.75,0.0283,0.0283
2.792,0.0283,0.0283
2.833,0.0283,0.0283
2.875,0.0283,0.0283
2.917,0.0283,0.0283
2.958,0.0283,0.0283
3,2.3776528,0.0283
3.042,16.2396154,0.0283
3.083,16.3645033,0.0283
3.125,16.3021584,0.0283
3.167,16.3758799,0.0283
3.208,18.2546886,0.0283
3.25,22.6453487,0.0283
3.292,49.6635851,0.0283
3.333,51.5830892,0.0283
3.375,51.6000692,0.0283
3.417,51.5864003,0.0283
3.458,51.6694042,0.0283
3.5,51.6825637,0.0283
3.542,49.5262735,0.0283
3.583,3.1699113,0.0283
3.625,0.0283,0.0283
3.667,0.0283,0.0283
3.708,0.0283,0.0283
3.75,0.0283,0.0283
3.792,0.0283,0.0283
3.833,0.0283,0.0283
3.875,0.0283,0.0283
3.917,0.0283,0.0283
3.958,0.0283,0.0283
4,0.0283,0.0283
4.042,0.0283,0.0283
4.083,0.0283,0.0283
4.125,0.0283,0.0283
4.167,0.0283,0.0283
4.208,0.0283,0.0283
4.25,0.0283,0.0283
4.292,0.0283,0.0283
4.333,0.0283,0.0283
4.375,0.0283,0.0283
4.417,0.0283,0.0283
4.458,0.0283,0.0283
4.5,0.0283,0.0283
4.542,2.9050233,0.0283
4.583,29.9454186,0.0283
4.625,50.6240871,0.0283
4.667,51.4513527,0.0283
4.708,51.7352017,0.0283
4.75,51.5264609,0.0283
4.792,51.7412862,0.0283
4.833,51.5002551,0.0283
4.875,49.4317232,0.0283
4.917,3.2638107,0.0283
4.958,0.0283,0.0283
5,0.0283,0.0283
5.042,0.0283,0.0283
5.083,0.0283,0.0283
5.125,0.0283,0.0283
5.167,0.0283,0.0283
5.208,0.0283,0.0283
5.25,0.0283,0.0283
5.292,0.0283,0.0283
5.333,0.0283,0.0283
5.375,0.0283,0.0283
5.417,0.0283,0.0283
5.458,0.0283,0.0283
5.5,0.0283,0.0283
5.542,0.0283,0.0283
5.583,0.0283,0.0283
5.625,4.3072317,0.0283
5.667,29.4941751,0.0283
5.708,31.0577218,0.0283
5.75,50.5804768,0.0283
5.792,51.7074394,0.0283
5.833,51.5303663,0.0283
5.875,51.6604614,0.0283
5.917,49.5141045,0.0283
5.958,3.2682255,0.0283
6,0.0283,0.0283
6.042,0.0283,0.0283
6.083,0.0283,0.0283
6.125,0.0283,0.0283
6.167,0.0283,0.0283
6.208,0.0283,0.0283
6.25,0.0283,0.0283
6.292,0.0283,0.0283
6.333,0.0283,0.0283
6.375,0.0283,0.0283
6.417,5.8811362,0.0283
6.458,49.4421093,0.0283
6.5,49.4947473,0.0283
6.542,3.1570348,0.0283
6.583,0.0283,0.0283
6.625,0.0283,0.0283
6.667,0.0283,0.0283
6.708,0.0283,0.0283
6.75,0.0283,0.0283
6.792,0.0283,0.0283
6.833,0.0283,0.0283
6.875,0.0283,0.0283
6.917,0.0283,0.0283
6.958,0.0283,0.0283
7,0.0283,0.0283
7.042,0.0283,0.0283
7.083,0.0283,0.0283
7.125,0.0283,0.0283
7.167,0.0283,0.0283
7.208,0.0283,0.0283
7.25,0.0283,0.0283
7.292,0.0283,0.0283
7.333,0.0283,0.0283
7.375,0.0283,0.0283
7.417,0.0283,0.0283
7.458,0.0283,0.0283
7.5,0.0283,0.0283
7.542,0.0283,0.0283
7.583,0.0283,0.0283
7.625,0.0283,0.0283
