$Trinity Br1  inflow Tw year 2019 YC updated 06/1/23,
",,,",
Jday,Trinity R
1,1.81
1.042,1.81
1.083,1.81
1.125,1.81
1.167,1.81
1.208,1.81
1.25,1.81
1.292,1.81
1.333,1.81
1.375,1.81
1.417,1.81
1.458,1.81
1.5,1.81
1.542,1.81
1.583,1.81
1.625,1.81
1.667,1.81
1.708,1.81
1.75,1.81
1.792,1.81
1.833,1.81
1.875,1.81
1.917,1.81
1.958,1.81
2,1.62
2.042,1.62
2.083,1.62
2.125,1.62
2.167,1.62
2.208,1.62
2.25,1.62
2.292,1.62
2.333,1.62
2.375,1.62
2.417,1.62
2.458,1.62
2.5,1.62
2.542,1.62
2.583,1.62
2.625,1.62
2.667,1.62
2.708,1.62
2.75,1.62
2.792,1.62
2.833,1.62
2.875,1.62
2.917,1.62
2.958,1.62
3,2.41
3.042,2.41
3.083,2.41
3.125,2.41
3.167,2.41
3.208,2.41
3.25,2.41
3.292,2.41
3.333,2.41
3.375,2.41
3.417,2.41
3.458,2.41
3.5,2.41
3.542,2.41
3.583,2.41
3.625,2.41
3.667,2.41
3.708,2.41
3.75,2.41
3.792,2.41
3.833,2.41
3.875,2.41
3.917,2.41
3.958,2.41
4,2.92
4.042,2.92
4.083,2.92
4.125,2.92
4.167,2.92
4.208,2.92
4.25,2.92
4.292,2.92
4.333,2.92
4.375,2.92
4.417,2.92
4.458,2.92
4.5,2.92
4.542,2.92
4.583,2.92
4.625,2.92
4.667,2.92
4.708,2.92
4.75,2.92
4.792,2.92
4.833,2.92
4.875,2.92
4.917,2.92
4.958,2.92
5,3.4
5.042,3.4
5.083,3.4
5.125,3.4
5.167,3.4
5.208,3.4
5.25,3.4
5.292,3.4
5.333,3.4
5.375,3.4
5.417,3.4
5.458,3.4
5.5,3.4
5.542,3.4
5.583,3.4
5.625,3.4
5.667,3.4
5.708,3.4
5.75,3.4
5.792,3.4
5.833,3.4
5.875,3.4
5.917,3.4
5.958,3.4
6,3.14
6.042,3.14
6.083,3.14
6.125,3.14
6.167,3.14
6.208,3.14
6.25,3.14
6.292,3.14
6.333,3.14
6.375,3.14
6.417,3.14
6.458,3.14
6.5,3.14
6.542,3.14
6.583,3.14
6.625,3.14
6.667,3.14
6.708,3.14
6.75,3.14
6.792,3.14
6.833,3.14
6.875,3.14
6.917,3.14
6.958,3.14
7,3.08
7.042,3.08
7.083,3.08
7.125,3.08
7.167,3.08
7.208,3.08
7.25,3.08
7.292,3.08
7.333,3.08
7.375,3.08
7.417,3.08
7.458,3.08
7.5,3.08
7.542,3.08
7.583,3.08
7.625,3.08
7.667,3.08
7.708,3.08
7.75,3.08
7.792,3.08
7.833,3.08
7.875,3.08
7.917,3.08
7.958,3.08
8,4.54
8.042,4.54
8.083,4.54
8.125,4.54
8.167,4.54
8.208,4.54
8.25,4.54
8.292,4.54
8.333,4.54
8.375,4.54
8.417,4.54
8.458,4.54
8.5,4.54
8.542,4.54
8.583,4.54
8.625,4.54
8.667,4.54
8.708,4.54
8.75,4.54
8.792,4.54
8.833,4.54
8.875,4.54
8.917,4.54
8.958,4.54
9,5.1
9.042,5.1
9.083,5.1
9.125,5.1
9.167,5.1
9.208,5.1
9.25,5.1
9.292,5.1
9.333,5.1
9.375,5.1
9.417,5.1
9.458,5.1
9.5,5.1
9.542,5.1
9.583,5.1
9.625,5.1
9.667,5.1
9.708,5.1
9.75,5.1
9.792,5.1
9.833,5.1
9.875,5.1
9.917,5.1
9.958,5.1
10,5.34
10.042,5.34
10.083,5.34
10.125,5.34
10.167,5.34
10.208,5.34
10.25,5.34
10.292,5.34
10.333,5.34
10.375,5.34
10.417,5.34
10.458,5.34
10.5,5.34
10.542,5.34
10.583,5.34
10.625,5.34
10.667,5.34
10.708,5.34
10.75,5.34
10.792,5.34
10.833,5.34
10.875,5.34
10.917,5.34
10.958,5.34
11,5.33
11.042,5.33
11.083,5.33
11.125,5.33
11.167,5.33
11.208,5.33
11.25,5.33
11.292,5.33
11.333,5.33
11.375,5.33
11.417,5.33
11.458,5.33
11.5,5.33
11.542,5.33
11.583,5.33
11.625,5.33
11.667,5.33
11.708,5.33
11.75,5.33
11.792,5.33
11.833,5.33
11.875,5.33
11.917,5.33
11.958,5.33
12,5.71
12.042,5.71
12.083,5.71
12.125,5.71
12.167,5.71
12.208,5.71
12.25,5.71
12.292,5.71
12.333,5.71
12.375,5.71
12.417,5.71
12.458,5.71
12.5,5.71
12.542,5.71
12.583,5.71
12.625,5.71
12.667,5.71
12.708,5.71
12.75,5.71
12.792,5.71
12.833,5.71
12.875,5.71
12.917,5.71
12.958,5.71
13,5.42
13.042,5.42
13.083,5.42
13.125,5.42
13.167,5.42
13.208,5.42
13.25,5.42
13.292,5.42
13.333,5.42
13.375,5.42
13.417,5.42
13.458,5.42
13.5,5.42
13.542,5.42
13.583,5.42
13.625,5.42
13.667,5.42
13.708,5.42
13.75,5.42
13.792,5.42
13.833,5.42
13.875,5.42
13.917,5.42
13.958,5.42
14,4.3
14.042,4.3
14.083,4.3
14.125,4.3
14.167,4.3
14.208,4.3
14.25,4.3
14.292,4.3
14.333,4.3
14.375,4.3
14.417,4.3
14.458,4.3
14.5,4.3
14.542,4.3
14.583,4.3
14.625,4.3
14.667,4.3
14.708,4.3
14.75,4.3
14.792,4.3
14.833,4.3
14.875,4.3
14.917,4.3
14.958,4.3
15,5.18
15.042,5.18
15.083,5.18
15.125,5.18
15.167,5.18
15.208,5.18
15.25,5.18
15.292,5.18
15.333,5.18
15.375,5.18
15.417,5.18
15.458,5.18
15.5,5.18
15.542,5.18
15.583,5.18
15.625,5.18
15.667,5.18
15.708,5.18
15.75,5.18
15.792,5.18
15.833,5.18
15.875,5.18
15.917,5.18
15.958,5.18
16,5.25
16.042,5.25
16.083,5.25
16.125,5.25
16.167,5.25
