WHI dam release 2018 flow allocation the same as Cal/Val YC 08/14/2023,,,
",,,",,,
JDAY,Wdaml,Wdamu,SPILL
1.000,5.81,0,0
1.042,5.81,0,0
1.083,5.794,0,0
1.125,5.826,0,0
1.167,5.81,0,0
1.208,5.81,0,0
1.250,5.794,0,0
1.292,5.826,0,0
1.333,5.81,0,0
1.375,5.794,0,0
1.417,5.81,0,0
1.458,5.826,0,0
1.500,5.794,0,0
1.542,5.81,0,0
1.583,5.826,0,0
1.625,5.794,0,0
1.667,5.81,0,0
1.708,5.826,0,0
1.750,5.794,0,0
1.792,5.81,0,0
1.833,5.81,0,0
1.875,5.826,0,0
1.917,5.794,0,0
1.958,5.81,0,0
2.000,5.81,0,0
2.042,5.81,0,0
2.083,5.81,0,0
2.125,5.81,0,0
2.167,5.81,0,0
2.208,5.81,0,0
2.250,5.81,0,0
2.292,5.81,0,0
2.333,5.81,0,0
2.375,5.81,0,0
2.417,5.81,0,0
2.458,5.81,0,0
2.500,5.81,0,0
2.542,5.81,0,0
2.583,5.81,0,0
2.625,5.81,0,0
2.667,5.81,0,0
2.708,5.81,0,0
2.750,5.81,0,0
2.792,5.81,0,0
2.833,5.81,0,0
2.875,5.81,0,0
2.917,5.81,0,0
2.958,5.81,0,0
3.000,5.81,0,0
3.042,5.81,0,0
3.083,5.81,0,0
3.125,5.81,0,0
3.167,5.81,0,0
3.208,5.81,0,0
3.250,5.794,0,0
3.292,5.826,0,0
3.333,5.808,0,0
3.375,5.826,0,0
3.417,5.826,0,0
3.458,5.81,0,0
3.500,5.826,0,0
3.542,5.842,0,0
3.583,5.808,0,0
3.625,5.826,0,0
3.667,5.842,0,0
3.708,5.81,0,0
3.750,5.826,0,0
3.792,5.842,0,0
3.833,5.81,0,0
3.875,5.826,0,0
3.917,5.826,0,0
3.958,5.826,0,0
4.000,5.826,0,0
4.042,5.826,0,0
4.083,5.826,0,0
4.125,5.826,0,0
4.167,5.826,0,0
4.208,5.826,0,0
4.250,5.826,0,0
4.292,5.826,0,0
4.333,5.826,0,0
4.375,5.826,0,0
4.417,5.828,0,0
4.458,5.826,0,0
4.500,5.826,0,0
4.542,5.826,0,0
4.583,5.826,0,0
4.625,5.826,0,0
4.667,5.826,0,0
4.708,5.826,0,0
4.750,5.826,0,0
4.792,5.826,0,0
4.833,5.826,0,0
4.875,5.826,0,0
4.917,5.826,0,0
4.958,5.826,0,0
5.000,5.826,0,0
5.042,5.81,0,0
5.083,5.842,0,0
5.125,5.826,0,0
5.167,5.826,0,0
5.208,5.826,0,0
5.250,5.826,0,0
5.292,5.826,0,0
5.333,5.826,0,0
5.375,5.826,0,0
5.417,5.81,0,0
5.458,5.826,0,0
5.500,5.842,0,0
5.542,5.81,0,0
5.583,5.826,0,0
5.625,5.842,0,0
5.667,5.81,0,0
5.708,5.826,0,0
5.750,5.824,0,0
5.792,5.824,0,0
5.833,5.824,0,0
5.875,5.826,0,0
5.917,5.842,0,0
5.958,5.81,0,0
6.000,5.826,0,0
6.042,5.842,0,0
6.083,5.81,0,0
6.125,5.826,0,0
6.167,5.826,0,0
6.208,5.826,0,0
6.250,5.826,0,0
6.292,5.826,0,0
6.333,5.826,0,0
6.375,5.826,0,0
6.417,5.826,0,0
6.458,5.826,0,0
6.500,5.826,0,0
6.542,5.826,0,0
6.583,5.826,0,0
6.625,5.826,0,0
6.667,5.826,0,0
6.708,5.826,0,0
6.750,5.826,0,0
6.792,5.826,0,0
6.833,5.826,0,0
6.875,5.826,0,0
6.917,5.826,0,0
6.958,5.826,0,0
7.000,5.826,0,0
7.042,5.826,0,0
7.083,5.826,0,0
7.125,5.826,0,0
7.167,5.826,0,0
7.208,5.81,0,0
7.250,5.842,0,0
7.292,5.81,0,0
7.333,5.842,0,0
7.375,5.826,0,0
7.417,5.81,0,0
7.458,5.842,0,0
7.500,5.826,0,0
7.542,5.81,0,0
7.583,5.842,0,0
7.625,5.826,0,0
7.667,5.81,0,0
7.708,5.842,0,0
7.750,5.826,0,0
7.792,5.81,0,0
7.833,5.826,0,0
7.875,5.826,0,0
7.917,5.826,0,0
7.958,5.826,0,0
8.000,5.826,0,0
8.042,5.826,0,0
8.083,5.826,0,0
8.125,5.826,0,0
8.167,5.826,0,0
8.208,5.826,0,0
8.250,5.826,0,0
8.292,5.826,0,0
8.333,5.826,0,0
8.375,5.826,0,0
8.417,5.826,0,0
8.458,5.826,0,0
8.500,5.826,0,0
8.542,5.826,0,0
8.583,5.826,0,0
8.625,5.826,0,0
8.667,5.826,0,0
8.708,5.826,0,0
8.750,5.826,0,0
8.792,5.826,0,0
8.833,5.826,0,0
8.875,5.826,0,0
8.917,5.826,0,0
8.958,5.826,0,0
9.000,5.826,0,0
9.042,5.826,0,0
9.083,5.826,0,0
9.125,5.826,0,0
9.167,5.826,0,0
9.208,5.826,0,0
9.250,5.81,0,0
9.292,5.842,0,0
9.333,5.826,0,0
9.375,5.81,0,0
9.417,5.842,0,0
9.458,5.81,0,0
9.500,5.826,0,0
9.542,5.842,0,0
9.583,5.81,0,0
9.625,5.826,0,0
9.667,5.842,0,0
9.708,5.81,0,0
9.750,5.826,0,0
9.792,5.824,0,0
9.833,5.826,0,0
9.875,5.826,0,0
9.917,5.826,0,0
9.958,5.826,0,0
10.000,5.826,0,0
10.042,5.826,0,0
10.083,5.826,0,0
10.125,4.878,0.948,0
10.167,4.852,0.974,0
10.208,5.826,0,0
10.250,5.826,0,0
10.292,5.826,0,0
10.333,5.82,0,0
10.375,5.784,0,0
10.417,5.8,0,0
10.458,5.798,0,0
10.500,5.798,0,0
10.542,5.75,0.05,0
10.583,5.749,0.051,0
10.625,5.8,0,0
10.667,5.8,0,0
10.708,5.8,0,0
10.750,5.8,0,0
10.792,5.8,0,0
10.833,5.8,0,0
10.875,5.8,0,0
10.917,5.8,0,0
10.958,5.8,0,0
11.000,5.8,0,0
11.042,5.8,0,0
11.083,5.784,0,0
11.125,5.816,0,0
11.167,5.8,0,0
11.208,5.784,0,0
11.250,5.816,0,0
11.292,5.784,0,0
11.333,5.816,0,0
11.375,5.8,0,0
11.417,5.782,0,0
11.458,5.8,0,0
11.500,5.816,0,0
11.542,5.8,0,0
11.583,5.782,0,0
11.625,5.8,0,0
11.667,5.814,0,0
11.708,5.782,0,0
11.750,5.8,0,0
11.792,5.816,0,0
11.833,5.782,0,0
11.875,5.8,0,0
11.917,5.816,0,0
11.958,5.784,0,0
12.000,5.8,0,0
12.042,5.8,0,0
12.083,5.8,0,0
12.125,5.8,0,0
12.167,5.8,0,0
12.208,5.8,0,0
12.250,5.8,0,0
12.292,5.8,0,0
12.333,5.8,0,0
12.375,5.8,0,0
12.417,5.8,0,0
12.458,5.8,0,0
12.500,5.8,0,0
12.542,5.8,0,0
12.583,5.8,0,0
12.625,5.798,0,0
12.667,5.8,0,0
12.708,5.8,0,0
12.750,5.8,0,0
12.792,5.8,0,0
12.833,5.8,0,0
12.875,5.8,0,0
12.917,5.798,0,0
12.958,5.8,0,0
13.000,5.798,0,0
13.042,5.798,0,0
13.083,5.8,0,0
13.125,5.8,0,0
13.167,5.8,0,0
13.208,5.784,0,0
13.250,5.816,0,0
13.292,5.784,0,0
13.333,5.816,0,0
13.375,5.8,0,0
13.417,5.335,0.449,0
13.458,5.403,0.397,0
13.500,5.504,0.312,0
13.542,5.619,0.181,0
13.583,5.78,0,0
