 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
    1.0000,      0.00,      0.40,    327.66,
    1.0420,      9.00,      0.40,    327.66,
    1.0834,      8.99,      0.40,    327.66,
    1.1257,      8.99,      0.40,    327.66,
    1.1670,      8.98,      0.40,    327.66,
    1.2089,      8.98,      0.40,    327.66,
    1.2507,      8.97,      0.40,    327.66,
    1.2920,      8.96,      1.54,    327.66,
    1.3339,      8.96,      2.35,    327.66,
    1.3757,      8.96,      2.04,    327.66,
    1.4170,      8.96,      0.53,    327.66,
    1.4589,      8.96,      0.40,    327.66,
    1.5007,      8.96,      0.40,    327.66,
    1.5427,      8.96,      0.40,    327.66,
    1.5839,      8.96,      0.40,    327.66,
    1.6257,      8.96,      0.40,    327.66,
    1.6677,      8.96,      0.40,    327.66,
    1.7089,      8.96,      0.40,    327.66,
    1.7507,      8.96,      0.40,    327.66,
    1.7927,      8.96,      0.40,    327.66,
    1.8344,      8.96,      0.40,    327.66,
    1.8757,      8.96,      0.40,    327.66,
    1.9177,      8.96,      0.40,    327.66,
    1.9594,      8.96,      0.40,    327.66,
    2.0014,      8.96,      0.41,    327.66,
    2.0427,      8.96,      1.83,    327.66,
    2.0844,      8.96,      2.46,    327.66,
    2.1264,      8.96,      2.43,    327.66,
    2.1677,      8.96,      2.49,    327.66,
    2.2094,      8.96,      2.45,    327.66,
    2.2514,      8.95,      0.43,    327.66,
    2.2927,      8.95,      0.40,    327.66,
    2.3349,      8.95,      0.40,    327.66,
    2.3764,      8.94,      0.40,    327.66,
    2.4184,      8.94,      0.40,    327.66,
    2.4599,      8.94,      0.40,    327.66,
    2.5014,      8.94,      0.40,    327.66,
    2.5434,      8.94,      0.40,    327.66,
    2.5849,      8.94,      0.40,    327.66,
    2.6264,      8.94,      0.40,    327.66,
    2.6684,      8.94,      0.40,    327.66,
    2.7099,      8.94,      0.40,    327.66,
    2.7521,      8.94,      0.40,    327.66,
    2.7933,      8.94,      0.40,    327.66,
    2.8350,      8.94,      0.40,    327.66,
    2.8766,      8.94,      0.40,    327.66,
    2.9182,      8.94,      0.40,    327.66,
    2.9602,      8.95,      0.40,    327.66,
    3.0021,      8.95,      0.40,    327.66,
    3.0434,      8.95,      0.40,    327.66,
    3.0856,      8.95,      0.40,    327.66,
    3.1271,      8.95,      0.40,    327.66,
    3.1684,      8.95,      0.40,    327.66,
    3.2105,      8.95,      0.40,    327.66,
    3.2521,      8.95,      0.40,    327.66,
    3.2941,      8.95,      0.40,    327.66,
    3.3355,      8.94,      2.42,    327.66,
    3.3771,      8.94,      1.57,    327.66,
    3.4191,      8.94,      0.63,    327.66,
    3.4605,      8.94,      6.34,    327.66,
    3.5021,      8.94,      4.48,    327.66,
