date, balance_flow [cfs]
59960160,209.925715551,
59960220,-134.201689671,
59960280,-135.355689671,
59960340,210.781715551,
59960400,-135.270689671,
59960460,-135.295689671,
59960520,210.916715551,
59960580,-135.635689671,
59960640,-136.168689671,
59960700,-135.117689671,
59960760,-135.185689671,
59960820,-134.269689671,
59960880,-135.032689671,
59960940,211.092715551,
59961000,-135.168689671,
59961060,-134.771689671,
59961120,212.102715551,
59961180,-134.186689671,
59961240,211.823715551,
59961300,-135.170689671,
59961360,-137.560689671,
59961420,210.922715551,
59961480,-136.976689671,
59961540,-186.651689679,
59961600,96.7967155507,
59961660,94.2287155507,
59961720,-253.306689671,
59961780,91.0367155507,
59961840,92.3967155507,
59961900,-255.762689671,
59961960,92.1427155507,
59962020,-154.191689671,
59962080,-136.112689671,
59962140,209.555715551,
59962200,-138.572689671,
59962260,-138.331689671,
59962320,-137.585689671,
59962380,207.180715551,
59962440,-141.271689671,
59962500,-137.371689671,
59962560,103.306715551,
59962620,-619.862474006,
59962680,6.6343364386,
59962740,11.419336446,
59962800,9.3723364386,
59962860,423.34574166,
59962920,473.394120773,
59962980,-136.972689671,
59963040,207.965538813,
59963100,-137.000219885,
59963160,-138.389573362,
59963220,-137.592926838,
59963280,-138.346280314,
59963340,207.783771431,
59963400,-138.835987267,
59963460,208.710064479,
59963520,-137.69669422,
59963580,-136.924047696,
59963640,-137.618401172,
59963700,209.096650573,
59963760,-137.158108125,
59963820,-137.843461609,
59963880,-137.740815077,
59963940,209.838236668,
59964000,-251.08552203,
59964060,-325.826254611,
59964120,-56.3242028726,
59964180,297.966848873,
59964240,-56.4049098252,
59964300,24.1807366982,
59964360,404.661167556,
59964420,-237.590996364,
59964480,202.588878644,
59964540,-137.348233531,
59964600,208.598464739,
59964660,-136.885647436,
59964720,-138.312354388,
59964780,208.012343881,
59964840,-137.218768293,
59964900,-136.146475246,
59964960,208.091223023,
59965020,-137.844889151,
59965080,-137.966596104,
59965140,-136.248303057,
59965200,-137.272010009,
59965260,210.48668826,
59965320,209.233981308,
59965380,-483.138536089,
59965440,-240.066837819,
59965500,-42.5265186623,
59965560,-150.193225615,
59965620,-236.977932567,
59965680,-72.51863952,
59965740,582.534248306,
59965800,-397.151674313,
59965860,432.715023965,
59965920,-583.138368455,
59965980,118.868795473,
59966040,115.953148949,
59966100,-229.921902797,
59966160,24.9258559018,
59966220,-39.2277906219,
59966280,-330.560437146,
59966340,156.933321553,
59966400,-12.5377301931,
59966460,-144.768781939,
59966520,-136.293428462,
59966580,209.468330236,
59966640,-137.07472151,
59966700,-136.247368033,
59966760,210.388390665,
59966820,-136.827661081,
59966880,210.386097617,
59966940,-138.328954128,
59967000,207.25880457,
59967060,-139.153247176,
59967120,207.312511522,
59967180,-137.885540223,
59967240,-137.640186747,
59967300,155.778571951,
59967360,-260.160479794,
59967420,75.4932789037,
59967480,83.26963238,
59967540,-272.473419366,
59967600,73.7643393325,
59967660,-58.6973071912,
59967720,132.729046285,
59967780,-142.57800546,
59967840,208.987753238,
59967900,-484.18770373,
59967960,207.28446019,
59968020,-138.001591555,
59968080,-138.779238079,
59968140,-137.548884603,
59968200,-137.812531126,
59968260,207.891227572,
59968320,-289.313824174,
59968380,-375.02384981,
59968440,-89.320091112,
59968500,-467.97952197,
59968560,223.872021063,
59968620,284.213158881,
59968680,404.248107127,
59968740,-249.66834984,
59968800,83.46523212,
59968860,83.52323212,
59968920,-257.23917311,
59968980,86.00823212,
59969040,-258.987173102,
59969100,82.60823212,
59969160,186.04723212,
59969220,-138.381173102,
59969280,-138.080173102,
59969340,-136.836173102,
59969400,-136.839173102,
59969460,208.49423212,
59969520,207.87823212,
59969580,-139.047173102,
59969640,-169.606173102,
59969700,112.71023212,
59969760,-30.75276788,
59969820,-688.586957436,
59969880,12.4538530075,
59969940,-346.701552207,
59970000,29.2078530075,
59970060,191.246853008,
59970120,403.107637342,
59970180,-271.498173102,
59970240,-66.7885911419,
59970300,-68.6572376656,
59970360,-65.4158841893,
59970420,277.783874509,
59970480,-73.4541772367,
59970540,-142.55882376,
59970600,101.759529716,
59970660,-294.82952203,
59970720,199.127236668,
59970780,-137.603815077,
59970840,208.273943621,
59970900,-139.136108125,
59970960,-139.793754648,
59971020,205.78100405,
59971080,-140.288047696,
59971140,-137.942694219,
59971200,110.572064479,
59971260,-403.403771601,
59971320,-108.537012903,
